"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",51.3507522077823,2.7273,1782.84208586449,1782.84208586449
1969,"FALL",23.2067161816818,1.2578,1745.02434263649,1745.02434263649
1970,"FALL",24.8805145779495,1.3483,1745.32482221683,1745.32482221683
1971,"FALL",41.454160778814,2.2147,1771.77318728559,1771.77318728559
1972,"FALL",39.9524672088609,2.1309,1774.91047017039,1774.91047017039
1973,"FALL",31.873400962411,1.6983,1776.78272168704,1776.78272168704
1974,"FALL",15.3994106212396,0.8496,1712.54833112518,1712.54833112518
1975,"FALL",33.4429142253363,1.7858,1772.71330638013,1772.71330638013
1976,"FALL",37.6970984789914,1.9935,1791.00067614705,1791.00067614705
1977,"FALL",31.6650056920422,1.6752,1790.2224028201,1790.2224028201
1978,"FALL",47.2220249620113,2.4986,1789.93936452459,1789.93936452459
1979,"FALL",31.8240132166743,1.6851,1788.55339247963,1788.55339247963
1980,"FALL",30.8125695142115,1.6293,1791.15383994424,1791.15383994424
1981,"FALL",21.2432556551566,1.1235,1790.81047219907,1790.81047219907
1982,"FALL",29.5544117264882,1.5641,1789.54745390245,1789.54745390245
1983,"FALL",48.590854695442,2.5705,1790.32696733873,1790.32696733873
1984,"FALL",26.3258955411155,1.3959,1785.94423247479,1785.94423247479
1985,"FALL",67.3456996152477,3.5619,1790.72404096824,1790.72404096824
1986,"FALL",27.3158095082779,1.4461,1788.929500607,1788.929500607
1987,"FALL",36.9181351324841,1.9522,1791.10414570659,1791.10414570659
1988,"FALL",33.7158989106433,1.783,1790.96460519592,1790.96460519592
1989,"FALL",35.4331319499372,1.8658,1799.08521545381,1799.08521545381
1990,"FALL",28.6594231541712,1.5158,1790.71270313836,1790.71270313836
1991,"FALL",16.0221873426594,0.848,1789.40888474757,1789.40888474757
1992,"FALL",18.6943094311863,0.9941,1780.52604679472,1780.52604679472
1993,"FALL",24.0790966268457,1.2753,1788.11233645775,1788.11233645775
1994,"FALL",14.9960598794153,0.7941,1788.43469077135,1788.43469077135
1995,"FALL",30.016064066991,1.5919,1785.54959903204,1785.54959903204
1996,"FALL",8.44239910878427,0.447,1788.67989010834,1788.67989010834
1997,"FALL",15.6882779777756,0.832,1785.61033386726,1785.61033386726
1998,"FALL",10.7766533341528,0.5711,1786.99935810765,1786.99935810765
1999,"FALL",15.47691468112,0.8202,1786.96838345769,1786.96838345769
2000,"FALL",13.6661963211613,0.7233,1789.42296711756,1789.42296711756
2001,"FALL",38.5832818716289,2.0399,1791.43006380847,1791.43006380847
2002,"FALL",22.2370888045457,1.1757,1791.39140975978,1791.39140975978
2003,"FALL",26.9170625695969,1.4231,1791.43858967022,1791.43858967022
2004,"FALL",23.4364702285217,1.2391,1791.41071975802,1791.41071975802
2005,"FALL",17.7947501922499,0.9408,1791.44878744153,1791.44878744153
2006,"FALL",26.7729209929754,1.4155,1791.4108790516,1791.4108790516
2007,"FALL",16.5369951360818,0.8743,1791.45546563901,1791.45546563901
2008,"FALL",25.7841225920574,1.3632,1791.44091784458,1791.44091784458
2009,"FALL",4.93407908329404,1.1145,342.716831161421,342.716831161421
2010,"FALL",13.431268532081,2.8249,375.459964320188,375.459964320188
2011,"FALL",8.47338726833651,1.7706,378.560220735147,378.560220735147
2012,"FALL",9.72618656866387,1.9822,390.676347929768,390.676347929768
2013,"FALL",6.69889120336304,1.3339,402.20340380561,402.20340380561
2014,"FALL",6.67206557054633,1.4359,364.660879625763,364.660879625763
2015,"FALL",1.88462255846596,0.4192,349.575992000467,349.575992000467
2016,"FALL",6.23184054373887,1.3004,379.224895704312,379.224895704312
2017,"FALL",5.10695172339042,1.1382,348.686673993184,348.686673993184
2018,"FALL",8.37402759704944,1.7796,370.556731684055,370.556731684055
2019,"FALL",11.0813085327359,2.4433,353.538596682189,353.538596682189
