"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",1678.56252836516,42.521,3847.60830734264,3847.60830734264
1969,"SPRING",675.970333868644,17.1235,3847.61779933217,3847.61779933217
1970,"SPRING",804.829741389616,20.3878,3847.60465273161,3847.60465273161
1971,"SPRING",983.475083295451,24.9132,3847.60642268135,3847.60642268135
1972,"SPRING",442.761805378982,11.216,3847.59098947024,3847.59098947024
1973,"SPRING",1992.64950480862,21.3887,9216.36567350338,9216.36567350338
1974,"SPRING",3849.31222881215,41.3178,9216.35331216122,9216.35331216122
1975,"SPRING",3686.28483676346,39.5679,9216.35198421817,9216.35198421817
1976,"SPRING",2424.13362199858,26.0202,9216.35276438529,9216.35276438529
1977,"SPRING",1245.50893955327,13.3691,9216.32600214873,9216.32600214873
1978,"SPRING",1612.66652999049,17.3101,9216.33283453294,9216.33283453294
1979,"SPRING",958.577759422902,10.2892,9216.3487873003,9216.3487873003
1980,"SPRING",1238.61595527765,13.2951,9216.33425305302,9216.33425305302
1981,"SPRING",1334.26930516875,14.3218,9216.35203095106,9216.35203095106
1982,"SPRING",331.246497694863,8.3911,3847.59325588853,3847.59325588853
1983,"SPRING",368.661190085043,9.3388,3847.629139558,3847.629139558
1984,"SPRING",505.298393582816,12.8001,3847.61285914029,3847.61285914029
1985,"SPRING",782.296368893175,19.817,3847.60240648522,3847.60240648522
1986,"SPRING",781.409507357818,19.7945,3847.60922154042,3847.60922154042
1987,"SPRING",1080.61992499387,27.374,3847.61425072648,3847.61425072648
1988,"SPRING",612.702717354965,15.5209,3847.59786710156,3847.59786710156
1989,"SPRING",853.846449210897,21.6295,3847.60142033287,3847.60142033287
1990,"SPRING",1005.21607209076,25.4639,3847.61239280221,3847.61239280221
1991,"SPRING",457.174432117893,11.581,3847.62483479745,3847.62483479745
1992,"SPRING",405.97699306718,10.2841,3847.61810043835,3847.61810043835
1993,"SPRING",922.58538223809,23.3707,3847.61552815316,3847.61552815316
1994,"SPRING",760.745964807115,19.2711,3847.60011004621,3847.60011004621
1995,"SPRING",593.035842155636,15.0227,3847.59824902072,3847.59824902072
1996,"SPRING",2418.81157323171,61.2728,3847.6106416415,3847.6106416415
1997,"SPRING",248.300720140021,6.2899,3847.60998012721,3847.60998012721
1998,"SPRING",386.241900966954,9.7842,3847.6083989182,3847.6083989182
1999,"SPRING",1037.45020549133,26.2805,3847.60451852641,3847.60451852641
2000,"SPRING",388.511395133242,9.8417,3847.60453105908,3847.60453105908
2001,"SPRING",790.229779308207,20.0179,3847.61578041756,3847.61578041756
2002,"SPRING",461.18624851284,11.6827,3847.5998571635,3847.5998571635
2003,"SPRING",189.17524203589,4.7921,3847.64804649088,3847.64804649088
2004,"SPRING",960.047650832931,24.3197,3847.61304963849,3847.61304963849
2005,"SPRING",437.016120992721,11.0704,3847.60912878234,3847.60912878234
2006,"SPRING",552.844518281612,14.0045,3847.62053826707,3847.62053826707
2007,"SPRING",399.447617209252,10.1187,3847.6179470609,3847.6179470609
2008,"SPRING",1169.51814246906,29.626,3847.6073127289,3847.6073127289
2009,"SPRING",105.320918690057,20.0387,425.587581480119,425.587581480119
2010,"SPRING",274.868811392306,34.2178,703.291887240868,703.291887240868
2011,"SPRING",195.944688033875,32.0249,511.851053504851,511.851053504851
2012,"SPRING",232.098205729799,37.0207,526.941699454085,526.941699454085
2013,"SPRING",89.2179187304669,17.3452,414.36661860611,414.36661860611
2014,"SPRING",155.141117510355,22.6311,585.521770971606,585.521770971606
2015,"SPRING",55.4193859388905,11.3992,386.169081504759,386.169081504759
2016,"SPRING",66.1662313262728,9.6076,588.686366275374,588.686366275374
2017,"SPRING",47.1198131460813,7.4612,531.53129719189,531.53129719189
2018,"SPRING",143.187211908037,18.223,685.749941875852,685.749941875852
2019,"SPRING",154.672513883164,21.4985,619.457236007924,619.457236007924
2020,"SPRING",49.1071457607433,8.0192,512.369634885566,512.369634885566
