"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",77.6606730379511,3.6949,2001.83423199413,2001.83423199413
1969,"SPRING",44.0424236472396,2.1124,1984.94715239725,1984.94715239725
1970,"SPRING",26.4064693668179,1.2695,1980.06848104119,1980.06848104119
1971,"SPRING",47.7627255487846,2.2946,1981.52730535974,1981.52730535974
1972,"SPRING",28.7661762135212,1.3854,1976.38055532851,1976.38055532851
1973,"SPRING",156.39839503756,4.6182,3286.5660871673,3286.5660871673
1974,"SPRING",120.738599433983,3.5669,3284.97292982655,3284.97292982655
1975,"SPRING",198.103492771445,5.8475,3287.83228339367,3287.83228339367
1976,"SPRING",151.803745203443,4.4737,3293.24821073032,3293.24821073032
1977,"SPRING",143.834435739579,4.2394,3292.80171108127,3292.80171108127
1978,"SPRING",182.841671848135,5.3889,3292.93124474633,3292.93124474633
1979,"SPRING",73.1180885818762,2.1554,3292.32108109289,3292.32108109289
1980,"SPRING",93.4176870628026,2.7537,3292.44242520255,3292.44242520255
1981,"SPRING",117.72134811599,3.4695,3293.03496515318,3293.03496515318
1982,"SPRING",41.7846068408927,1.9842,2005.86668888684,2005.86668888684
1983,"SPRING",27.204046604281,1.2954,2000.04991541462,2000.04991541462
1984,"SPRING",48.0921231380351,2.2832,2006.34736939537,2006.34736939537
1985,"SPRING",56.0062773639317,2.6581,2007.00415198569,2007.00415198569
1986,"SPRING",57.6036082699096,2.7351,2006.0878311546,2006.0878311546
1987,"SPRING",74.2008481205748,3.5212,2007.26025561101,2007.26025561101
1988,"SPRING",35.4978855780548,1.6854,2006.19945283344,2006.19945283344
1989,"SPRING",46.7204845006006,2.2194,2005.0952735244,2005.0952735244
1990,"SPRING",61.9076551098155,2.939,2006.41902381135,2006.41902381135
1991,"SPRING",30.2224747933558,1.4363,2004.18956996142,2004.18956996142
1992,"SPRING",11.860763387838,0.5666,1993.32216516731,1993.32216516731
1993,"SPRING",32.8332213185249,1.5665,1995.96050549154,1995.96050549154
1994,"SPRING",38.8711977098451,1.848,2003.41978949378,2003.41978949378
1995,"SPRING",21.2565515663652,1.0105,2003.5676958303,2003.5676958303
1996,"SPRING",130.749178303148,6.2078,2006.20796905744,2006.20796905744
1997,"SPRING",13.6767020349488,0.6519,1997.97546171941,1997.97546171941
1998,"SPRING",14.664480234691,0.6973,2003.03746374458,2003.03746374458
1999,"SPRING",31.962912277726,1.5179,2005.73241173503,2005.73241173503
2000,"SPRING",21.8643524520721,1.0399,2002.54374959824,2002.54374959824
2001,"SPRING",24.4471599086804,1.1599,2007.69548311755,2007.69548311755
2002,"SPRING",19.5726550603113,0.9286,2007.75953697084,2007.75953697084
2003,"SPRING",7.19797603171452,0.3415,2007.75286433807,2007.75286433807
2004,"SPRING",9.84992769322834,0.4673,2007.83815391148,2007.83815391148
2005,"SPRING",18.5233788931343,0.8788,2007.80369744359,2007.80369744359
2006,"SPRING",10.4259375816705,0.4947,2007.52730577532,2007.52730577532
2007,"SPRING",17.5624286940232,0.8332,2007.82869587413,2007.82869587413
2008,"SPRING",26.6399539076889,1.2639,2007.75804317501,2007.75804317501
2009,"SPRING",8.86977492022615,1.8647,375.667663443243,375.667663443243
2010,"SPRING",6.75211792397424,1.1285,498.326798757133,498.326798757133
2011,"SPRING",11.446077293788,2.162,429.420781396299,429.420781396299
2012,"SPRING",12.4657994707425,2.3479,430.93400360929,430.93400360929
2013,"SPRING",7.71028556981434,1.5871,385.809688728772,385.809688728772
2014,"SPRING",8.53579673229879,1.582,439.557315568823,439.557315568823
2015,"SPRING",6.7028102504684,1.3546,394.818415064846,394.818415064846
2016,"SPRING",4.1145184882259,0.7488,449.48163571393,449.48163571393
2017,"SPRING",3.05474696233428,0.587,420.399823225601,420.399823225601
2018,"SPRING",4.184310186901,0.6079,588.32212319477,588.32212319477
2019,"SPRING",5.51433853291143,0.9851,459.774493240426,459.774493240426
2020,"SPRING",3.0043744702249,0.5875,411.382888548919,411.382888548919
