"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",1.46999413634788,0.3892,277.696335135632,277.696335135632
1969,"FALL",0.926062313299899,0.0348,2561.09860143649,2561.09860143649
1971,"FALL",1.1719224433618,0,Inf,Inf
1972,"FALL",1.32386778950156,0,Inf,Inf
1973,"FALL",3.91528584683898,0,Inf,Inf
1974,"FALL",2.53151473335493,0,Inf,Inf
1975,"FALL",7.38872409674825,0,Inf,Inf
1976,"FALL",7.08007484716269,0,Inf,Inf
1977,"FALL",5.59878586414604,0,Inf,Inf
1978,"FALL",2.74830301078441,0,Inf,Inf
1979,"FALL",9.66718140355958,0,Inf,Inf
1980,"FALL",2.3585724187122,0.0385,6026.1621265252,6026.1621265252
1981,"FALL",2.19870106395679,0,Inf,Inf
1982,"FALL",3.18321711832751,0,Inf,Inf
1983,"FALL",1.49984117135104,0,Inf,Inf
1984,"FALL",3.82074671754436,0,Inf,Inf
1985,"FALL",4.22657140258168,0,Inf,Inf
1986,"FALL",1.65142644368219,0,Inf,Inf
1987,"FALL",2.89542309736901,0,Inf,Inf
1988,"FALL",1.92305437355026,0,Inf,Inf
1989,"FALL",1.43615263489262,0.5209,175.706015529394,175.706015529394
1990,"FALL",3.06874290183851,1.4968,105.020236627372,105.020236627372
1991,"FALL",0.996333285428109,0.3024,229.475292800301,229.475292800301
1992,"FALL",1.8041075736768,0.5563,224.304794836743,224.304794836743
1993,"FALL",1.25607609915707,0.0985,1175.20416158079,1175.20416158079
1994,"FALL",1.58405525773754,0.3967,299.308106311454,299.308106311454
1995,"FALL",2.13060650285772,0.6642,220.777853486558,220.777853486558
1996,"FALL",2.31738327420634,0.6062,282.280315771418,282.280315771418
1997,"FALL",1.54554784357289,0.62,149.281910253692,149.281910253692
1998,"FALL",4.30865768238008,1.5818,172.389536122144,172.389536122144
1999,"FALL",7.2188346536199,3.3011,118.679672037197,118.679672037197
2000,"FALL",1.59025480662262,0.2962,436.885485017766,436.885485017766
2001,"FALL",5.76044616777894,2.3372,146.467831926191,146.467831926191
2002,"FALL",2.81871262019565,1.1798,138.914444837739,138.914444837739
2003,"FALL",7.39901959713879,3.7442,97.6128304347734,97.6128304347734
2004,"FALL",5.78308515339772,2.3517,145.910836985913,145.910836985913
2005,"FALL",3.8843095026399,1.0395,273.670947824906,273.670947824906
2006,"FALL",5.71627563477833,2.7311,109.303051326511,109.303051326511
2007,"FALL",4.68761603332771,1.6022,192.573713227294,192.573713227294
2008,"FALL",3.21851896561392,0.9585,235.787059531968,235.787059531968
2009,"FALL",3.63554805186414,1.9942,82.3060902549462,82.3060902549462
2010,"FALL",2.08162665985647,0.6781,206.979303916306,206.979303916306
2011,"FALL",2.16601591067364,0.7079,205.977667844843,205.977667844843
2012,"FALL",2.24180178256474,0.2531,785.737567192707,785.737567192707
2013,"FALL",1.78760491133928,0.4306,315.142803376516,315.142803376516
2014,"FALL",1.66865320494477,0.7008,138.106907098284,138.106907098284
2015,"FALL",2.97866523806447,0.5084,485.890094033137,485.890094033137
2016,"FALL",3.10057144207558,0.6961,345.42040541238,345.42040541238
2017,"FALL",0.111383722222222,0.0428,160.242341640706,160.242341640706
2018,"FALL",4.23818434911883,1.7249,145.706090157043,145.706090157043
2019,"FALL",2.81205667751101,0.5216,439.121295535086,439.121295535086
