"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.637579996865783,0.3303,93.0305773132858,93.0305773132858
1969,"FALL",0.379989661894831,0.0497,664.566724134468,664.566724134468
1971,"FALL",0.327773349646209,0,Inf,Inf
1972,"FALL",0.62957786672189,0,Inf,Inf
1973,"FALL",1.63943163619176,0,Inf,Inf
1974,"FALL",1.0424599496836,0,Inf,Inf
1975,"FALL",2.61387368199367,0,Inf,Inf
1976,"FALL",2.70150865566314,0,Inf,Inf
1977,"FALL",2.30393773659682,0,Inf,Inf
1978,"FALL",1.07520445568403,0,Inf,Inf
1979,"FALL",1.86622594788663,0,Inf,Inf
1980,"FALL",0.75678387827696,0.0079,9479.54276299949,9479.54276299949
1981,"FALL",0.595098139956099,0.0139,4181.28158241798,4181.28158241798
1982,"FALL",0.847410582079533,0,Inf,Inf
1983,"FALL",0.427247775553479,0,Inf,Inf
1984,"FALL",1.26547222129559,0,Inf,Inf
1985,"FALL",1.38277748822412,0,Inf,Inf
1986,"FALL",0.546673173447642,0,Inf,Inf
1987,"FALL",0.733149984430546,0,Inf,Inf
1988,"FALL",0.628473685672729,0,Inf,Inf
1989,"FALL",0.592700968250895,0.2793,112.209440834549,112.209440834549
1990,"FALL",0.989142506413452,0.3941,150.987695106179,150.987695106179
1991,"FALL",0.295493478278858,0.1597,85.0303558414892,85.0303558414892
1992,"FALL",0.566415534632479,0.2982,89.9448472945939,89.9448472945939
1993,"FALL",0.443490695354948,0.2902,52.8224312043239,52.8224312043239
1994,"FALL",0.560665628206553,0.2992,87.3882447214415,87.3882447214415
1995,"FALL",0.771298039019935,0.394,95.7609236091206,95.7609236091206
1996,"FALL",0.959814686070941,0.5216,84.0135517774044,84.0135517774044
1997,"FALL",0.671216177360504,0.2826,137.514570898975,137.514570898975
1998,"FALL",1.50969651128953,0.725,108.234001557177,108.234001557177
1999,"FALL",2.76560586183251,1.0713,158.154192274107,158.154192274107
2000,"FALL",0.711452769056042,0.4058,75.3210372242588,75.3210372242588
2001,"FALL",2.43769907086432,1.1057,120.466588664586,120.466588664586
2002,"FALL",1.28207161946217,0.5174,147.791190464277,147.791190464277
2003,"FALL",2.80987394928486,1.082,159.692601597492,159.692601597492
2004,"FALL",2.30884768674437,1.0245,125.363366202476,125.363366202476
2005,"FALL",1.51636970336772,0.8115,86.8600989978712,86.8600989978712
2006,"FALL",2.13224931727288,0.8651,146.474317104714,146.474317104714
2007,"FALL",1.70592489304194,0.8369,103.83855813621,103.83855813621
2008,"FALL",1.20942014886108,0.6436,87.9148770759908,87.9148770759908
2009,"FALL",1.20856899782464,0.6402,88.7799121875407,88.7799121875407
2010,"FALL",0.736085718183114,0.5388,36.6157606130502,36.6157606130502
2011,"FALL",0.879955415796162,0.5774,52.3996217173816,52.3996217173816
2012,"FALL",0.906111208546109,0.739,22.6131540657793,22.6131540657793
2013,"FALL",0.655096773465681,0.5062,29.4146134859109,29.4146134859109
2014,"FALL",0.732808825354432,0.4098,78.82108964237,78.82108964237
2015,"FALL",1.13006208147822,0.8977,25.8841574555221,25.8841574555221
2016,"FALL",1.15685067180576,0.8493,36.2122538332467,36.2122538332467
2017,"FALL",0.050983660130719,0.031,64.4634197765128,64.4634197765128
2018,"FALL",1.86035631465966,1.1863,56.8200551850004,56.8200551850004
2019,"FALL",1.13181040722017,0.887,27.5998204306846,27.5998204306846
