"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",1.46999413634788,0.8664,69.666913244215,69.666913244215
1969,"FALL",0.926062313299899,0.1799,414.765043524124,414.765043524124
1971,"FALL",1.1719224433618,0,Inf,Inf
1972,"FALL",1.32386778950156,0,Inf,Inf
1973,"FALL",3.91528584683898,0,Inf,Inf
1974,"FALL",2.53151473335493,0,Inf,Inf
1975,"FALL",7.38872409674825,0,Inf,Inf
1976,"FALL",7.08007484716269,0,Inf,Inf
1977,"FALL",5.59878586414604,0,Inf,Inf
1978,"FALL",2.74830301078441,0,Inf,Inf
1979,"FALL",9.66718140355958,0,Inf,Inf
1980,"FALL",2.3585724187122,0.0724,3157.69671092845,3157.69671092845
1981,"FALL",2.19870106395679,0.0384,5625.78402072081,5625.78402072081
1982,"FALL",3.18321711832751,0,Inf,Inf
1983,"FALL",1.49984117135104,0,Inf,Inf
1984,"FALL",3.82074671754436,0,Inf,Inf
1985,"FALL",4.22657140258168,0,Inf,Inf
1986,"FALL",1.65142644368219,0,Inf,Inf
1987,"FALL",2.89542309736901,0,Inf,Inf
1988,"FALL",1.92305437355026,0,Inf,Inf
1989,"FALL",1.43615263489262,0.7012,104.813553179209,104.813553179209
1990,"FALL",3.06874290183851,1.1222,173.457752792596,173.457752792596
1991,"FALL",0.996333285428109,0.5486,81.6137961042853,81.6137961042853
1992,"FALL",1.8041075736768,0.9848,83.1953263278635,83.1953263278635
1993,"FALL",1.25607609915707,0.9744,28.9076456441989,28.9076456441989
1994,"FALL",1.58405525773754,0.9563,65.6441762770613,65.6441762770613
1995,"FALL",2.13060650285772,1.1557,84.3563643556042,84.3563643556042
1996,"FALL",2.31738327420634,1.3556,70.9488989529608,70.9488989529608
1997,"FALL",1.54554784357289,0.7001,120.761011794442,120.761011794442
1998,"FALL",4.30865768238008,2.0985,105.320833089353,105.320833089353
1999,"FALL",7.2188346536199,2.865,151.966305536471,151.966305536471
2000,"FALL",1.59025480662262,1.0622,49.7133126174566,49.7133126174566
2001,"FALL",5.76044616777894,2.5833,122.987890209381,122.987890209381
2002,"FALL",2.81871262019565,1.2278,129.574248264835,129.574248264835
2003,"FALL",7.39901959713879,2.5758,187.251323749468,187.251323749468
2004,"FALL",5.78308515339772,2.5881,123.449061218567,123.449061218567
2005,"FALL",3.8843095026399,2.2784,70.4840898279452,70.4840898279452
2006,"FALL",5.71627563477833,2.1515,165.687921672244,165.687921672244
2007,"FALL",4.68761603332771,2.4019,95.16283081426,95.16283081426
2008,"FALL",3.21851896561392,1.7906,79.7452789910599,79.7452789910599
2009,"FALL",3.63554805186414,1.6414,121.490681848674,121.490681848674
2010,"FALL",2.08162665985647,1.4035,48.3168264949393,48.3168264949393
2011,"FALL",2.16601591067364,1.398,54.9367604201463,54.9367604201463
2012,"FALL",2.24180178256474,1.9887,12.7269966593625,12.7269966593625
2013,"FALL",1.78760491133928,1.357,31.73212316428,31.73212316428
2014,"FALL",1.66865320494477,0.9343,78.5992941180322,78.5992941180322
2015,"FALL",2.97866523806447,2.4666,20.7599626232251,20.7599626232251
2016,"FALL",3.10057144207558,2.4045,28.9486979445031,28.9486979445031
2017,"FALL",0.111383722222222,0.0686,62.3669420149012,62.3669420149012
2018,"FALL",4.23818434911883,2.5132,68.6369707591448,68.6369707591448
2019,"FALL",2.81205667751101,2.2893,22.8347825759407,22.8347825759407
