"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.637579996865783,0,Inf,Inf
1969,"FALL",0.379989661894831,0.2223,70.9355204205267,70.9355204205267
1971,"FALL",0.327773349646209,0.2432,34.7752260058425,34.7752260058425
1972,"FALL",0.62957786672189,0.4671,34.7843859391759,34.7843859391759
1973,"FALL",1.63943163619176,1.2163,34.7884268841372,34.7884268841372
1974,"FALL",1.0424599496836,0.7734,34.7892358008275,34.7892358008275
1975,"FALL",2.61387368199367,1.9392,34.791340861885,34.791340861885
1976,"FALL",2.70150865566314,2.0042,34.7923688086587,34.7923688086587
1977,"FALL",2.30393773659682,1.7093,34.788377499375,34.788377499375
1978,"FALL",1.07520445568403,0.7977,34.7880726694282,34.7880726694282
1979,"FALL",1.86622594788663,1.3845,34.7942179766434,34.7942179766434
1980,"FALL",0.75678387827696,0.5457,38.6813044304489,38.6813044304489
1981,"FALL",0.595098139956099,0.4275,39.2042432645847,39.2042432645847
1982,"FALL",0.847410582079533,0.6287,34.787749654769,34.787749654769
1983,"FALL",0.427247775553479,0.317,34.77847809258,34.77847809258
1984,"FALL",1.26547222129559,0.9388,34.7967853957808,34.7967853957808
1985,"FALL",1.38277748822412,1.0259,34.7867714420625,34.7867714420625
1986,"FALL",0.546673173447642,0.4056,34.7813544003061,34.7813544003061
1987,"FALL",0.733149984430546,0.5439,34.7949962181552,34.7949962181552
1988,"FALL",0.628473685672729,0.4663,34.7788302965321,34.7788302965321
1989,"FALL",0.592700968250895,0,Inf,Inf
1990,"FALL",0.989142506413452,0.0032,30810.7033254204,30810.7033254204
1991,"FALL",0.295493478278858,0,Inf,Inf
1992,"FALL",0.566415534632479,0,Inf,Inf
1993,"FALL",0.443490695354948,0,Inf,Inf
1994,"FALL",0.560665628206553,0,Inf,Inf
1995,"FALL",0.771298039019935,0,Inf,Inf
1996,"FALL",0.959814686070941,0,Inf,Inf
1997,"FALL",0.671216177360504,0,Inf,Inf
1998,"FALL",1.50969651128953,0,Inf,Inf
1999,"FALL",2.76560586183251,0,Inf,Inf
2000,"FALL",0.711452769056042,0,Inf,Inf
2001,"FALL",2.43769907086432,0,Inf,Inf
2002,"FALL",1.28207161946217,0,Inf,Inf
2003,"FALL",2.80987394928486,0,Inf,Inf
2004,"FALL",2.30884768674437,0,Inf,Inf
2005,"FALL",1.51636970336772,0,Inf,Inf
2006,"FALL",2.13224931727288,0,Inf,Inf
2007,"FALL",1.70592489304194,0,Inf,Inf
2008,"FALL",1.20942014886108,0,Inf,Inf
2009,"FALL",1.20856899782464,0,Inf,Inf
2010,"FALL",0.736085718183114,0,Inf,Inf
2011,"FALL",0.879955415796162,0.0609,1344.91858094608,1344.91858094608
2012,"FALL",0.906111208546109,0,Inf,Inf
2013,"FALL",0.655096773465681,0,Inf,Inf
2014,"FALL",0.732808825354432,0.0199,3582.45640881624,3582.45640881624
2015,"FALL",1.13006208147822,0.0087,12889.2193273359,12889.2193273359
2016,"FALL",1.15685067180576,0,Inf,Inf
2017,"FALL",0.050983660130719,0,Inf,Inf
2018,"FALL",1.86035631465966,0,Inf,Inf
2019,"FALL",1.13181040722017,0.0015,75354.0271480115,75354.0271480115
