"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",1.46999413634788,0,Inf,Inf
1969,"FALL",0.926062313299899,0.5763,60.6910139336976,60.6910139336976
1971,"FALL",1.1719224433618,1.001,17.0751691670132,17.0751691670132
1972,"FALL",1.32386778950156,1.1308,17.0735576142169,17.0735576142169
1973,"FALL",3.91528584683898,3.3443,17.0734039063175,17.0734039063175
1974,"FALL",2.53151473335493,2.1629,17.0426156250837,17.0426156250837
1975,"FALL",7.38872409674825,6.3112,17.0732047272825,17.0732047272825
1976,"FALL",7.08007484716269,6.0476,17.0724725041783,17.0724725041783
1977,"FALL",5.59878586414604,4.7823,17.0730791490713,17.0730791490713
1978,"FALL",2.74830301078441,2.3475,17.0736106830418,17.0736106830418
1979,"FALL",9.66718140355958,8.2574,17.0729455223143,17.0729455223143
1980,"FALL",2.3585724187122,1.9422,21.4381844666976,21.4381844666976
1981,"FALL",2.19870106395679,1.8397,19.5141090371687,19.5141090371687
1982,"FALL",3.18321711832751,2.719,17.0730826895002,17.0730826895002
1983,"FALL",1.49984117135104,1.2811,17.0744806300086,17.0744806300086
1984,"FALL",3.82074671754436,3.2636,17.0715381034552,17.0715381034552
1985,"FALL",4.22657140258168,3.6102,17.073054195936,17.073054195936
1986,"FALL",1.65142644368219,1.4106,17.0726246761793,17.0726246761793
1987,"FALL",2.89542309736901,2.4732,17.0719350383716,17.0719350383716
1988,"FALL",1.92305437355026,1.6426,17.0738082034737,17.0738082034737
1989,"FALL",1.43615263489262,0,Inf,Inf
1990,"FALL",3.06874290183851,0.0023,133323.604427761,133323.604427761
1991,"FALL",0.996333285428109,0,Inf,Inf
1992,"FALL",1.8041075736768,0,Inf,Inf
1993,"FALL",1.25607609915707,0,Inf,Inf
1994,"FALL",1.58405525773754,0,Inf,Inf
1995,"FALL",2.13060650285772,0,Inf,Inf
1996,"FALL",2.31738327420634,0,Inf,Inf
1997,"FALL",1.54554784357289,0,Inf,Inf
1998,"FALL",4.30865768238008,0,Inf,Inf
1999,"FALL",7.2188346536199,0,Inf,Inf
2000,"FALL",1.59025480662262,0,Inf,Inf
2001,"FALL",5.76044616777894,0,Inf,Inf
2002,"FALL",2.81871262019565,0,Inf,Inf
2003,"FALL",7.39901959713879,0,Inf,Inf
2004,"FALL",5.78308515339772,0,Inf,Inf
2005,"FALL",3.8843095026399,0,Inf,Inf
2006,"FALL",5.71627563477833,0,Inf,Inf
2007,"FALL",4.68761603332771,0,Inf,Inf
2008,"FALL",3.21851896561392,0,Inf,Inf
2009,"FALL",3.63554805186414,0,Inf,Inf
2010,"FALL",2.08162665985647,0,Inf,Inf
2011,"FALL",2.16601591067364,0.0602,3498.03307420871,3498.03307420871
2012,"FALL",2.24180178256474,0,Inf,Inf
2013,"FALL",1.78760491133928,0,Inf,Inf
2014,"FALL",1.66865320494477,0.0336,4866.22977662135,4866.22977662135
2015,"FALL",2.97866523806447,0.0037,80404.4658936343,80404.4658936343
2016,"FALL",3.10057144207558,0,Inf,Inf
2017,"FALL",0.111383722222222,0,Inf,Inf
2018,"FALL",4.23818434911883,0,Inf,Inf
2019,"FALL",2.81205667751101,0.0012,234238.056459251,234238.056459251
