"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",26.3452085894599,9.1318,188.499623179,188.499623179
1969,"SPRING",13.4322216013094,4.9703,170.249715335279,170.249715335279
1970,"SPRING",15.2948237352626,7.9901,91.4221816405632,91.4221816405632
1971,"SPRING",16.1450030718252,10.4737,54.1480381510371,54.1480381510371
1972,"SPRING",28.0633617415287,6.0706,362.28316379812,362.28316379812
1973,"SPRING",70.7038501345642,0,Inf,Inf
1974,"SPRING",77.6923102018463,0,Inf,Inf
1975,"SPRING",69.4256208500803,0,Inf,Inf
1976,"SPRING",45.976833835776,0,Inf,Inf
1977,"SPRING",25.9613132850015,0,Inf,Inf
1978,"SPRING",44.7697124950016,0,Inf,Inf
1979,"SPRING",19.94102841435,0,Inf,Inf
1980,"SPRING",57.5052018385229,10.1483,466.648619360119,466.648619360119
1981,"SPRING",82.82942226345,23.3032,255.442266570471,255.442266570471
1982,"SPRING",52.2446987117921,28.2204,85.1309645213821,85.1309645213821
1983,"SPRING",42.2663031284073,18.3183,130.732672400863,130.732672400863
1984,"SPRING",22.7956429304106,9.2779,145.698303823177,145.698303823177
1985,"SPRING",118.870178537278,37.6138,216.028102816728,216.028102816728
1986,"SPRING",29.0996008896439,19.515,49.1140194191336,49.1140194191336
1987,"SPRING",66.0062275773542,26.1746,152.176642918533,152.176642918533
1988,"SPRING",65.458651221593,35.5729,84.0126928689902,84.0126928689902
1989,"SPRING",56.6885657344095,27.1147,109.069492689978,109.069492689978
1990,"SPRING",93.0445871023392,44.6047,108.598168135509,108.598168135509
1991,"SPRING",63.1349387916903,30.4018,107.66842355285,107.66842355285
1992,"SPRING",79.5278610719847,41.3052,92.5371649864538,92.5371649864538
1993,"SPRING",61.7312039384496,28.7168,114.96546947588,114.96546947588
1994,"SPRING",92.7492242884532,38.6305,140.093253487408,140.093253487408
1995,"SPRING",51.4698570686865,25.3722,102.85925961756,102.85925961756
1996,"SPRING",98.5802768518978,45.2317,117.94510675455,117.94510675455
1997,"SPRING",59.4524046870261,29.4544,101.845580582277,101.845580582277
1998,"SPRING",44.0876312982877,11.2948,290.335652674573,290.335652674573
1999,"SPRING",56.8023851472461,21.3506,166.045849518262,166.045849518262
2000,"SPRING",38.4783453960837,15.6304,146.176331994598,146.176331994598
2001,"SPRING",31.6535540135081,11.0319,186.927492213563,186.927492213563
2002,"SPRING",51.6355658692823,19.0241,171.421858954076,171.421858954076
2003,"SPRING",40.1718013128577,14.1113,184.678245894125,184.678245894125
2004,"SPRING",28.7099910343746,10.1434,183.041100956036,183.041100956036
2005,"SPRING",48.9774896587099,10.4884,366.968171110082,366.968171110082
2006,"SPRING",79.7338892688721,28.8934,175.958832359197,175.958832359197
2007,"SPRING",45.9883162841116,17.2312,166.889806189422,166.889806189422
2008,"SPRING",62.2098849152475,24.4639,154.292589960094,154.292589960094
2009,"SPRING",72.8438448087764,25.631,184.202117782281,184.202117782281
2010,"SPRING",58.7230257389737,20.23,190.276943840701,190.276943840701
2011,"SPRING",78.4733063145543,23.9653,227.445541322472,227.445541322472
2012,"SPRING",139.689646870813,49.4995,182.204157356767,182.204157356767
2013,"SPRING",153.334328651349,62.7904,144.200273690482,144.200273690482
2014,"SPRING",87.5444789833114,25.8864,238.187152262622,238.187152262622
2015,"SPRING",52.8604093807238,16.0759,228.817729525089,228.817729525089
2016,"SPRING",98.7777813131571,36.6697,169.371664652716,169.371664652716
2017,"SPRING",59.0665840701642,18.9338,211.963705490521,211.963705490521
2018,"SPRING",74.0126647464654,29.5857,150.163642389619,150.163642389619
2019,"SPRING",111.367675349204,41.2506,169.97831631347,169.97831631347
2020,"SPRING",228.229575623705,79.8004,186.000540879125,186.000540879125
