"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",29.4535960502492,10.1504,190.171776976762,190.171776976762
1969,"SPRING",16.2904140371008,7.1898,126.576734222103,126.576734222103
1970,"SPRING",12.6251029237544,8.3745,50.7564979850067,50.7564979850067
1971,"SPRING",23.5124843277083,20.2673,16.0119222970416,16.0119222970416
1972,"SPRING",49.7789408044623,16.3994,203.541232023503,203.541232023503
1973,"SPRING",121.611649489833,0,Inf,Inf
1974,"SPRING",142.763785555674,0,Inf,Inf
1975,"SPRING",95.931960663046,0,Inf,Inf
1976,"SPRING",78.908787087653,0,Inf,Inf
1977,"SPRING",51.3917067684625,0,Inf,Inf
1978,"SPRING",77.41775075503,0,Inf,Inf
1979,"SPRING",28.3516284769489,0,Inf,Inf
1980,"SPRING",104.620652267599,19.0371,449.561919975202,449.561919975202
1981,"SPRING",147.383109929399,48.8532,201.685682676669,201.685682676669
1982,"SPRING",118.610466608121,87.1291,36.1318624984314,36.1318624984314
1983,"SPRING",39.3790499623727,17.946,119.430792167462,119.430792167462
1984,"SPRING",42.9230373433352,23.3335,83.954560367434,83.954560367434
1985,"SPRING",169.331428868225,67.6132,150.441376636847,150.441376636847
1986,"SPRING",45.4548368911639,39.5369,14.9681358203701,14.9681358203701
1987,"SPRING",103.647706671824,62.5024,65.829962804346,65.829962804346
1988,"SPRING",105.775857380924,78.4609,34.8134642617196,34.8134642617196
1989,"SPRING",77.821297952853,43.0698,80.6864623305728,80.6864623305728
1990,"SPRING",151.860736298048,90.4302,67.9314391630756,67.9314391630756
1991,"SPRING",90.7357472634984,53.7004,68.9666134023181,68.9666134023181
1992,"SPRING",114.89936451942,70.1436,63.8059131829846,63.8059131829846
1993,"SPRING",89.0945550380665,52.9138,68.376784578062,68.376784578062
1994,"SPRING",86.2767099735973,35.7274,141.486114224929,141.486114224929
1995,"SPRING",75.8375510374116,40.5261,87.1326158633857,87.1326158633857
1996,"SPRING",121.147943950684,61.3171,97.5761149021782,97.5761149021782
1997,"SPRING",83.5454903022707,45.5446,83.4366539661577,83.4366539661577
1998,"SPRING",59.6830266250708,15.7259,279.520578313933,279.520578313933
1999,"SPRING",78.765183736988,32.5085,142.291043071775,142.291043071775
2000,"SPRING",60.2210196976895,29.6439,103.148100275907,103.148100275907
2001,"SPRING",49.9655945981856,20.0977,148.613496062662,148.613496062662
2002,"SPRING",76.1875663581569,32.7574,132.581237699442,132.581237699442
2003,"SPRING",61.7378474284829,24.5517,151.460580849729,151.460580849729
2004,"SPRING",38.0432024743234,14.549,161.483280461361,161.483280461361
2005,"SPRING",68.836919356229,18.0599,281.1589175811,281.1589175811
2006,"SPRING",132.051758911516,61.11,116.088625284759,116.088625284759
2007,"SPRING",74.6831564899175,35.1656,112.375607098749,112.375607098749
2008,"SPRING",106.848606334372,53.6982,98.9798658695677,98.9798658695677
2009,"SPRING",84.1884339572278,32.0466,162.706290081406,162.706290081406
2010,"SPRING",83.0608408210681,34.3761,141.623804972257,141.623804972257
2011,"SPRING",110.567796580941,41.8604,164.134591597169,164.134591597169
2012,"SPRING",169.332681898016,67.8197,149.680670805114,149.680670805114
2013,"SPRING",116.753235777568,41.5556,180.956684003043,180.956684003043
2014,"SPRING",107.425705614945,30.1221,256.634184253238,256.634184253238
2015,"SPRING",74.6575366287896,25.9557,187.634456511632,187.634456511632
2016,"SPRING",125.300058170125,49.3661,153.818021213191,153.818021213191
2017,"SPRING",66.0365603983413,18.2932,260.989659536556,260.989659536556
2018,"SPRING",89.8517790482293,36.1314,148.680590976905,148.680590976905
2019,"SPRING",141.179538458192,55.3104,155.249534370014,155.249534370014
2020,"SPRING",270.321356788023,91.4742,195.51650278223,195.51650278223
