"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",26.3452085894599,16.6231,58.4855327192875,58.4855327192875
1969,"SPRING",13.4322216013094,8.4619,58.73765467932,58.73765467932
1970,"SPRING",15.2948237352626,7.2777,110.160129371404,110.160129371404
1971,"SPRING",16.1450030718252,5.6667,184.910142972544,184.910142972544
1972,"SPRING",28.0633617415287,5.5474,405.8831478085,405.8831478085
1973,"SPRING",70.7038501345642,0,Inf,Inf
1974,"SPRING",77.6923102018463,0,Inf,Inf
1975,"SPRING",69.4256208500803,0,Inf,Inf
1976,"SPRING",45.976833835776,0,Inf,Inf
1977,"SPRING",25.9613132850015,0,Inf,Inf
1978,"SPRING",44.7697124950016,0,Inf,Inf
1979,"SPRING",19.94102841435,0,Inf,Inf
1980,"SPRING",57.5052018385229,13.0302,341.32248038037,341.32248038037
1981,"SPRING",82.82942226345,18.4958,347.828275951568,347.828275951568
1982,"SPRING",52.2446987117921,24.0243,117.466060246468,117.466060246468
1983,"SPRING",42.2663031284073,23.94,76.5509738028707,76.5509738028707
1984,"SPRING",22.7956429304106,13.5178,68.634266895579,68.634266895579
1985,"SPRING",118.870178537278,81.2552,46.2923954864161,46.2923954864161
1986,"SPRING",29.0996008896439,9.5846,203.607880241679,203.607880241679
1987,"SPRING",66.0062275773542,39.8317,65.7128055728332,65.7128055728332
1988,"SPRING",65.458651221593,29.8678,119.161274756068,119.161274756068
1989,"SPRING",56.6885657344095,29.5739,91.6844438319245,91.6844438319245
1990,"SPRING",93.0445871023392,48.4399,92.082533412206,92.082533412206
1991,"SPRING",63.1349387916903,32.7332,92.8773807378756,92.8773807378756
1992,"SPRING",79.5278610719847,38.2227,108.064477580037,108.064477580037
1993,"SPRING",61.7312039384496,33.0144,86.9826619246438,86.9826619246438
1994,"SPRING",92.7492242884532,54.1187,71.3811017050542,71.3811017050542
1995,"SPRING",51.4698570686865,26.0976,97.2206527369816,97.2206527369816
1996,"SPRING",98.5802768518978,53.3485,84.7854707290698,84.7854707290698
1997,"SPRING",59.4524046870261,29.998,98.1878948164081,98.1878948164081
1998,"SPRING",44.0876312982877,32.7929,34.4426119626129,34.4426119626129
1999,"SPRING",56.8023851472461,35.4518,60.2242626530841,60.2242626530841
2000,"SPRING",38.4783453960837,22.5428,70.6901777777547,70.6901777777547
2001,"SPRING",31.6535540135081,20.6216,53.4970807963886,53.4970807963886
2002,"SPRING",51.6355658692823,32.6114,58.335937338729,58.335937338729
2003,"SPRING",40.1718013128577,26.0605,54.148237036349,54.148237036349
2004,"SPRING",28.7099910343746,18.5666,54.6324638564658,54.6324638564658
2005,"SPRING",48.9774896587099,38.4891,27.2502855580148,27.2502855580148
2006,"SPRING",79.7338892688721,50.778,57.0244776652726,57.0244776652726
2007,"SPRING",45.9883162841116,28.7571,59.9198677339217,59.9198677339217
2008,"SPRING",62.2098849152475,37.746,64.8118606348951,64.8118606348951
2009,"SPRING",72.8438448087764,47.1991,54.3331224722006,54.3331224722006
2010,"SPRING",58.7230257389737,38.4819,52.5990809678673,52.5990809678673
2011,"SPRING",78.4733063145543,54.4932,44.0056856902409,44.0056856902409
2012,"SPRING",139.689646870813,90.159,54.9369967178126,54.9369967178126
2013,"SPRING",153.334328651349,90.5048,69.4212115283925,69.4212115283925
2014,"SPRING",87.5444789833114,61.6332,42.0411060650939,42.0411060650939
2015,"SPRING",52.8604093807238,36.2373,45.8729248059977,45.8729248059977
2016,"SPRING",98.7777813131571,62.0894,59.089605171184,59.089605171184
2017,"SPRING",59.0665840701642,40.1216,47.2189146747992,47.2189146747992
2018,"SPRING",74.0126647464654,44.3245,66.9791306082762,66.9791306082762
2019,"SPRING",111.367675349204,70.0961,58.8785615022862,58.8785615022862
2020,"SPRING",228.229575623705,148.386,53.8080247622453,53.8080247622453
