"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",29.4535960502492,17.1347,71.8944367292642,71.8944367292642
1969,"SPRING",16.2904140371008,9.1015,78.9860356765454,78.9860356765454
1970,"SPRING",12.6251029237544,4.1862,201.588622706856,201.588622706856
1971,"SPRING",23.5124843277083,3.2396,625.78356364083,625.78356364083
1972,"SPRING",49.7789408044623,7.4055,572.188789473531,572.188789473531
1973,"SPRING",121.611649489833,0,Inf,Inf
1974,"SPRING",142.763785555674,0,Inf,Inf
1975,"SPRING",95.931960663046,0,Inf,Inf
1976,"SPRING",78.908787087653,0,Inf,Inf
1977,"SPRING",51.3917067684625,0,Inf,Inf
1978,"SPRING",77.41775075503,0,Inf,Inf
1979,"SPRING",28.3516284769489,0,Inf,Inf
1980,"SPRING",104.620652267599,34.5815,202.533586650663,202.533586650663
1981,"SPRING",147.383109929399,20.721,611.274117703772,611.274117703772
1982,"SPRING",118.610466608121,31.4819,276.757649977037,276.757649977037
1983,"SPRING",39.3790499623727,21.4299,83.7575068589806,83.7575068589806
1984,"SPRING",42.9230373433352,19.5896,119.111351652587,119.111351652587
1985,"SPRING",169.331428868225,101.7186,66.4704674152268,66.4704674152268
1986,"SPRING",45.4548368911639,5.918,668.077676430617,668.077676430617
1987,"SPRING",103.647706671824,41.1454,151.905940085219,151.905940085219
1988,"SPRING",105.775857380924,27.2875,287.634841524227,287.634841524227
1989,"SPRING",77.821297952853,34.7515,123.936514834908,123.936514834908
1990,"SPRING",151.860736298048,61.4306,147.206988533479,147.206988533479
1991,"SPRING",90.7357472634984,37.0354,144.997346494161,144.997346494161
1992,"SPRING",114.89936451942,44.756,156.72393538167,156.72393538167
1993,"SPRING",89.0945550380665,36.1807,146.248842720198,146.248842720198
1994,"SPRING",86.2767099735973,50.5498,70.6766594004276,70.6766594004276
1995,"SPRING",75.8375510374116,35.3119,114.764855579597,114.764855579597
1996,"SPRING",121.147943950684,59.8312,102.482891786699,102.482891786699
1997,"SPRING",83.5454903022707,38.0009,119.851346421455,119.851346421455
1998,"SPRING",59.6830266250708,43.9577,35.7737702952401,35.7737702952401
1999,"SPRING",78.765183736988,46.2567,70.2784326097366,70.2784326097366
2000,"SPRING",60.2210196976895,30.1516,99.7274429804373,99.7274429804373
2001,"SPRING",49.9655945981856,29.8679,67.2886095044701,67.2886095044701
2002,"SPRING",76.1875663581569,43.4302,75.425317770024,75.425317770024
2003,"SPRING",61.7378474284829,37.1861,66.0239912991223,66.0239912991223
2004,"SPRING",38.0432024743234,23.4942,61.9259326741214,61.9259326741214
2005,"SPRING",68.836919356229,50.777,35.5671255809303,35.5671255809303
2006,"SPRING",132.051758911516,70.9385,86.1496351226993,86.1496351226993
2007,"SPRING",74.6831564899175,39.5175,88.9875535899729,88.9875535899729
2008,"SPRING",106.848606334372,53.1504,101.03067208219,101.03067208219
2009,"SPRING",84.1884339572278,52.1485,61.4397997204672,61.4397997204672
2010,"SPRING",83.0608408210681,48.6913,70.586615722045,70.586615722045
2011,"SPRING",110.567796580941,68.7161,60.9052268404947,60.9052268404947
2012,"SPRING",169.332681898016,101.5175,66.8014695968831,66.8014695968831
2013,"SPRING",116.753235777568,75.1974,55.2623305826642,55.2623305826642
2014,"SPRING",107.425705614945,77.3007,38.9711938118861,38.9711938118861
2015,"SPRING",74.6575366287896,46.5976,60.2175576183958,60.2175576183958
2016,"SPRING",125.300058170125,75.9439,64.990286474786,64.990286474786
2017,"SPRING",66.0365603983413,47.7485,38.3008060951471,38.3008060951471
2018,"SPRING",89.8517790482293,53.7218,67.2538504819818,67.2538504819818
2019,"SPRING",141.179538458192,85.8803,64.3910634431784,64.3910634431784
2020,"SPRING",270.321356788023,178.8685,51.1285423582257,51.1285423582257
