"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",26.3452085894599,0.2786,9356.28449011482,9356.28449011482
1969,"SPRING",13.4322216013094,0,Inf,Inf
1970,"SPRING",15.2948237352626,0.027,56547.4953157875,56547.4953157875
1971,"SPRING",16.1450030718252,0.0046,350878.327648373,350878.327648373
1972,"SPRING",28.0633617415287,16.4453,70.6466999174761,70.6466999174761
1973,"SPRING",70.7038501345642,36.0734,95.9999615632688,95.9999615632688
1974,"SPRING",77.6923102018463,39.6389,96.0001670123196,96.0001670123196
1975,"SPRING",69.4256208500803,35.4212,96.0001943753466,96.0001943753466
1976,"SPRING",45.976833835776,23.4576,95.9997349932474,95.9997349932474
1977,"SPRING",25.9613132850015,13.2456,95.999526522026,95.999526522026
1978,"SPRING",44.7697124950016,22.8417,95.9999146079392,95.9999146079392
1979,"SPRING",19.94102841435,10.174,95.9998861249267,95.9998861249267
1980,"SPRING",57.5052018385229,6.161,833.374482040625,833.374482040625
1981,"SPRING",82.82942226345,0.4609,17871.2350322087,17871.2350322087
1982,"SPRING",52.2446987117921,0,Inf,Inf
1983,"SPRING",42.2663031284073,0.008,528228.789105091,528228.789105091
1984,"SPRING",22.7956429304106,0,Inf,Inf
1985,"SPRING",118.870178537278,0.0012,9905748.21143986,9905748.21143986
1986,"SPRING",29.0996008896439,0,Inf,Inf
1987,"SPRING",66.0062275773542,0,Inf,Inf
1988,"SPRING",65.458651221593,0.0179,365590.788947447,365590.788947447
1989,"SPRING",56.6885657344095,0,Inf,Inf
1990,"SPRING",93.0445871023392,0,Inf,Inf
1991,"SPRING",63.1349387916903,0,Inf,Inf
1992,"SPRING",79.5278610719847,0,Inf,Inf
1993,"SPRING",61.7312039384496,0,Inf,Inf
1994,"SPRING",92.7492242884532,0,Inf,Inf
1995,"SPRING",51.4698570686865,0,Inf,Inf
1996,"SPRING",98.5802768518978,0,Inf,Inf
1997,"SPRING",59.4524046870261,0,Inf,Inf
1998,"SPRING",44.0876312982877,0,Inf,Inf
1999,"SPRING",56.8023851472461,0,Inf,Inf
2000,"SPRING",38.4783453960837,0.2864,13335.176465113,13335.176465113
2001,"SPRING",31.6535540135081,0,Inf,Inf
2002,"SPRING",51.6355658692823,0,Inf,Inf
2003,"SPRING",40.1718013128577,0,Inf,Inf
2004,"SPRING",28.7099910343746,0,Inf,Inf
2005,"SPRING",48.9774896587099,0,Inf,Inf
2006,"SPRING",79.7338892688721,0.0625,127474.222830195,127474.222830195
2007,"SPRING",45.9883162841116,0,Inf,Inf
2008,"SPRING",62.2098849152475,0,Inf,Inf
2009,"SPRING",72.8438448087764,0,Inf,Inf
2010,"SPRING",58.7230257389737,0,Inf,Inf
2011,"SPRING",78.4733063145543,0,Inf,Inf
2012,"SPRING",139.689646870813,0.0047,2972020.1461875,2972020.1461875
2013,"SPRING",153.334328651349,0.0102,1503177.73187597,1503177.73187597
2014,"SPRING",87.5444789833114,0.0084,1042096.17837276,1042096.17837276
2015,"SPRING",52.8604093807238,0.0031,1705074.49615238,1705074.49615238
2016,"SPRING",98.7777813131571,0,Inf,Inf
2017,"SPRING",59.0665840701642,0,Inf,Inf
2018,"SPRING",74.0126647464654,0.0885,83530.129657023,83530.129657023
2019,"SPRING",111.367675349204,0,Inf,Inf
2020,"SPRING",228.229575623705,0,Inf,Inf
