"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",29.4535960502492,0.2907,10031.9559856379,10031.9559856379
1969,"SPRING",16.2904140371008,0,Inf,Inf
1970,"SPRING",12.6251029237544,0.0658,19087.086510265,19087.086510265
1971,"SPRING",23.5124843277083,0.0065,361630.52811859,361630.52811859
1972,"SPRING",49.7789408044623,25.9763,91.6321447029112,91.6321447029112
1973,"SPRING",121.611649489833,57.8418,110.248729275079,110.248729275079
1974,"SPRING",142.763785555674,67.903,110.246654132621,110.246654132621
1975,"SPRING",95.931960663046,45.6282,110.247085493283,110.247085493283
1976,"SPRING",78.908787087653,37.5309,110.250186080411,110.250186080411
1977,"SPRING",51.3917067684625,24.4431,110.250364186468,110.250364186468
1978,"SPRING",77.41775075503,36.8219,110.249201575774,110.249201575774
1979,"SPRING",28.3516284769489,13.4849,110.247228210435,110.247228210435
1980,"SPRING",104.620652267599,13.5318,673.146604794626,673.146604794626
1981,"SPRING",147.383109929399,0.6139,23907.6738767549,23907.6738767549
1982,"SPRING",118.610466608121,0,Inf,Inf
1983,"SPRING",39.3790499623727,0.0032,1230495.31132415,1230495.31132415
1984,"SPRING",42.9230373433352,0,Inf,Inf
1985,"SPRING",169.331428868225,2e-04,84665614.4341124,84665614.4341124
1986,"SPRING",45.4548368911639,0,Inf,Inf
1987,"SPRING",103.647706671824,0,Inf,Inf
1988,"SPRING",105.775857380924,0.0275,384539.481385176,384539.481385176
1989,"SPRING",77.821297952853,0,Inf,Inf
1990,"SPRING",151.860736298048,0,Inf,Inf
1991,"SPRING",90.7357472634984,0,Inf,Inf
1992,"SPRING",114.89936451942,0,Inf,Inf
1993,"SPRING",89.0945550380665,0,Inf,Inf
1994,"SPRING",86.2767099735973,0,Inf,Inf
1995,"SPRING",75.8375510374116,0,Inf,Inf
1996,"SPRING",121.147943950684,0,Inf,Inf
1997,"SPRING",83.5454903022707,0,Inf,Inf
1998,"SPRING",59.6830266250708,0,Inf,Inf
1999,"SPRING",78.765183736988,0,Inf,Inf
2000,"SPRING",60.2210196976895,0.4175,14324.1963347759,14324.1963347759
2001,"SPRING",49.9655945981856,0,Inf,Inf
2002,"SPRING",76.1875663581569,0,Inf,Inf
2003,"SPRING",61.7378474284829,0,Inf,Inf
2004,"SPRING",38.0432024743234,0,Inf,Inf
2005,"SPRING",68.836919356229,0,Inf,Inf
2006,"SPRING",132.051758911516,0.0033,4001468.45186412,4001468.45186412
2007,"SPRING",74.6831564899175,0,Inf,Inf
2008,"SPRING",106.848606334372,0,Inf,Inf
2009,"SPRING",84.1884339572278,0,Inf,Inf
2010,"SPRING",83.0608408210681,0,Inf,Inf
2011,"SPRING",110.567796580941,0,Inf,Inf
2012,"SPRING",169.332681898016,0.0089,1902514.40334849,1902514.40334849
2013,"SPRING",116.753235777568,0.0094,1241955.69976137,1241955.69976137
2014,"SPRING",107.425705614945,0.0114,942230.751008286,942230.751008286
2015,"SPRING",74.6575366287896,0.0024,3110630.69286623,3110630.69286623
2016,"SPRING",125.300058170125,0,Inf,Inf
2017,"SPRING",66.0365603983413,0,Inf,Inf
2018,"SPRING",89.8517790482293,0.0057,1576247.00084613,1576247.00084613
2019,"SPRING",141.179538458192,0,Inf,Inf
2020,"SPRING",270.321356788023,0,Inf,Inf
