"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",0,0.357186127919577,3.2709,-89.0798823589967,89.0798823589967
2009,"FALL",1,1.96971098015806,5.9064,-66.6512430557013,66.6512430557013
2009,"FALL",2,1.23758530424922,3.8208,-67.6092623469111,67.6092623469111
2009,"FALL",3,0.813953455005078,2.5665,-68.2854683419023,68.2854683419023
2009,"FALL",4,0.493281881285473,1.5228,-67.606916122572,67.606916122572
2009,"FALL",5,0.222770990763977,0.6604,-66.2672636638436,66.2672636638436
2009,"FALL",6,0.102907793922396,0.2336,-55.9470060263716,55.9470060263716
2009,"FALL",7,0.0244942675581664,0.0353,-30.6111400618515,30.6111400618515
2009,"FALL",8,0.0348262189003462,0.0849,-58.9797186097218,58.9797186097218
2009,"FALL",9,0.014381850223631,0.0674,-78.6619432883814,78.6619432883814
2010,"FALL",0,0.131709944808995,0.9183,-85.6571986486993,85.6571986486993
2010,"FALL",1,0.947523280665336,2.9088,-67.4256297901081,67.4256297901081
2010,"FALL",2,0.734210518976133,2.1553,-65.934648588311,65.934648588311
2010,"FALL",3,0.495926843068434,1.4234,-65.1589965527305,65.1589965527305
2010,"FALL",4,0.339585099124172,0.8496,-60.030002457136,60.030002457136
2010,"FALL",5,0.226166390460785,0.4716,-52.0427501143373,52.0427501143373
2010,"FALL",6,0.103035186008034,0.1806,-42.9484019889067,42.9484019889067
2010,"FALL",7,0.0452930386616977,0.0752,-39.7698953966786,39.7698953966786
2010,"FALL",8,0.0168821301581194,0.0204,-17.2444600092187,17.2444600092187
2010,"FALL",9,0.0382700214483707,0.0527,-27.3813634755774,27.3813634755774
2011,"FALL",0,0.189064670916722,1.2902,-85.3460958830629,85.3460958830629
2011,"FALL",1,1.02336274806304,2.9439,-65.2378563109129,65.2378563109129
2011,"FALL",2,1.16543794571467,3.5072,-66.7701315660735,66.7701315660735
2011,"FALL",3,0.778921596309562,2.411,-67.6930072040829,67.6930072040829
2011,"FALL",4,0.44121629226108,1.3654,-67.6859314295386,67.6859314295386
2011,"FALL",5,0.330105061353957,0.9514,-65.3032308856467,65.3032308856467
2011,"FALL",6,0.211922959906266,0.5842,-63.7242451375786,63.7242451375786
2011,"FALL",7,0.174324652363605,0.4923,-64.5897517035131,64.5897517035131
2011,"FALL",8,0.0798918261366736,0.2033,-60.7024957517592,60.7024957517592
2011,"FALL",9,0.0620657971688474,0.1575,-60.5931446547001,60.5931446547001
2011,"FALL",10,0.040649355224788,0.0757,-46.302040654177,46.302040654177
2011,"FALL",11,0.0196222017883189,0.0543,-63.8633484561347,63.8633484561347
2011,"FALL",13,0.00965184856363752,0.0219,-55.927632129509,55.927632129509
2012,"FALL",0,0.346389289010888,7.5673,-95.4225511211279,95.4225511211279
2012,"FALL",1,0.241945946359018,0.7275,-66.7428252427466,66.7428252427466
2012,"FALL",2,0.445371415288536,1.2999,-65.7380248258684,65.7380248258684
2012,"FALL",3,1.15098683871258,3.4786,-66.9123544324562,66.9123544324562
2012,"FALL",4,0.713674694235292,2.1109,-66.1909756864232,66.1909756864232
2012,"FALL",5,0.192268831845859,0.5219,-63.1598329477182,63.1598329477182
2012,"FALL",6,0.138846819615081,0.2413,-42.4588397782505,42.4588397782505
2012,"FALL",7,0.0558490145791525,0.1355,-58.7830150707362,58.7830150707362
2012,"FALL",8,0.0203945883008365,0.03,-32.0180389972116,32.0180389972116
2012,"FALL",9,0.0519282780539966,0.1092,-52.4466318186844,52.4466318186844
2012,"FALL",11,0.0210485329420865,0.0487,-56.7791931373993,56.7791931373993
2013,"FALL",0,0.0975880234246446,0.61,-84.0019633730091,84.0019633730091
2013,"FALL",1,0.241105354422842,0.8462,-71.5072849890284,71.5072849890284
