"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",5.13312103991116,14.7429,-65.1824197416305,65.1824197416305
2010,"SPRING",6.35688889291528,14.8216,-57.1106432981913,57.1106432981913
2011,"SPRING",7.24233783986463,15.7905,-54.1348415828211,54.1348415828211
2012,"SPRING",6.11593482088123,11.8345,-48.3211388661859,48.3211388661859
2013,"SPRING",5.23339991967362,12.8346,-59.2242849822073,59.2242849822073
2014,"SPRING",3.93197813389869,7.9897,-50.7869114747901,50.7869114747901
2015,"SPRING",7.34547363875476,20.0893,-63.4358905548986,63.4358905548986
2016,"SPRING",3.25626739524101,6.1326,-46.9023351394023,46.9023351394023
2017,"SPRING",3.13131601383868,7.5761,-58.6684968012739,58.6684968012739
2018,"SPRING",4.58857832878855,12.1106,-62.1110570179136,62.1110570179136
2019,"SPRING",5.92924111703996,14.3441,-58.6642513853085,58.6642513853085
2020,"SPRING",6.45136624150073,18.9134,-65.8899709121537,65.8899709121537
