"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",3.20394191879834,3.5482,-9.70233022945899,9.70233022945899
2010,"SPRING",4.26835927762125,4.8243,-11.5237593511752,11.5237593511752
2011,"SPRING",4.36625961520846,4.9289,-11.4151308566119,11.4151308566119
2012,"SPRING",4.62145863750155,5.1009,-9.39915235543639,9.39915235543639
2013,"SPRING",4.04565193437597,4.5279,-10.6505900223952,10.6505900223952
2014,"SPRING",3.3919651877634,3.7327,-9.12837389119409,9.12837389119409
2015,"SPRING",4.15012125485809,4.6918,-11.5452224123346,11.5452224123346
2016,"SPRING",2.70230393410519,2.8876,-6.41695753895308,6.41695753895308
2017,"SPRING",2.25746288148739,2.5203,-10.428802861271,10.428802861271
2018,"SPRING",4.16823227942709,4.6911,-11.1459512816378,11.1459512816378
2019,"SPRING",3.94142416004578,4.4214,-10.8557434286475,10.8557434286475
2020,"SPRING",2.89504458716827,3.2135,-9.90992415844824,9.90992415844824
