"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",5.13312103991116,5.6553,-9.23344402752882,9.23344402752882
2010,"SPRING",6.35688889291528,7.1533,-11.1334783538328,11.1334783538328
2011,"SPRING",7.24233783986463,8.1741,-11.3989571957202,11.3989571957202
2012,"SPRING",6.11593482088123,6.6931,-8.62328635637846,8.62328635637846
2013,"SPRING",5.23339991967362,5.8113,-9.94442001490852,9.94442001490852
2014,"SPRING",3.93197813389869,4.2672,-7.85578051418512,7.85578051418512
2015,"SPRING",7.34547363875476,8.2393,-10.8483288780023,10.8483288780023
2016,"SPRING",3.25626739524101,3.3868,-3.85415745715676,3.85415745715676
2017,"SPRING",3.13131601383868,3.4532,-9.3213247469395,9.3213247469395
2018,"SPRING",4.58857832878855,5.1009,-10.0437505383648,10.0437505383648
2019,"SPRING",5.92924111703996,6.5323,-9.23195326240431,9.23195326240431
2020,"SPRING",6.45136624150073,6.8014,-5.14649569940414,5.14649569940414
