"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1976,"FALL",1,0.332966034334369,0.472,-29.4563486579727,29.4563486579727
1976,"FALL",2,0.360297375018332,0.521,-30.8450335857328,30.8450335857328
1976,"FALL",3,0.532852653378398,0.7675,-30.572944185225,30.572944185225
1976,"FALL",4,0.258836514033351,0.2001,29.3535802265624,29.3535802265624
1976,"FALL",5,0,0.0675,-100,100
1976,"FALL",6,0,0.0082,-100,100
1977,"FALL",1,0.22171755248508,0.2859,-22.4492646082266,22.4492646082266
1977,"FALL",2,0.529737437177785,0.8301,-36.1839010748362,36.1839010748362
1977,"FALL",3,0.665148659134402,0.8743,-23.9221481031222,23.9221481031222
1977,"FALL",4,0.344554284931726,0.3714,-7.22824853749962,7.22824853749962
1977,"FALL",5,0.0415089417247502,0.042,-1.16918636964244,1.16918636964244
1977,"FALL",6,0.071240891948921,0.0808,-11.8305792711374,11.8305792711374
1977,"FALL",7,0,0.0113,-100,100
1978,"FALL",1,0.0412893429115885,0.0628,-34.2526386758146,34.2526386758146
1978,"FALL",2,0.165237489320837,0.2222,-25.6356933749608,25.6356933749608
1978,"FALL",3,0.158539302710677,0.2236,-29.0969129200908,29.0969129200908
1978,"FALL",4,0.0967093186847464,0.1227,-21.1822993604349,21.1822993604349
1978,"FALL",5,0.0471731523473337,0.0464,1.66627661063305,1.66627661063305
1978,"FALL",6,0.00587814669790025,0.0041,43.3694316561037,43.3694316561037
1978,"FALL",7,0.0027866679831069,0.002,39.3333991553448,39.3333991553448
1978,"FALL",10,0.000301937375378388,5e-04,-39.6125249243224,39.6125249243224
1979,"FALL",1,0.218371916765057,0.329,-33.6255572142684,33.6255572142684
1979,"FALL",2,0.379301294792695,0.5215,-27.2672493206721,27.2672493206721
1979,"FALL",3,0.231214530680397,0.3136,-26.270876696302,26.270876696302
1979,"FALL",4,0.076708423419316,0.0904,-15.1455493149159,15.1455493149159
1979,"FALL",5,0.0478255025155532,0.0426,12.2664378299372,12.2664378299372
1979,"FALL",6,0.0419177170143449,0.0348,20.4532098113359,20.4532098113359
1979,"FALL",7,0.00676725802401719,0.0043,57.3780935817952,57.3780935817952
1979,"FALL",8,0,9e-04,-100,100
1980,"FALL",1,0.415866664155415,0.5804,-28.348265996655,28.348265996655
1980,"FALL",2,0.486253620821642,0.6924,-29.7727295173828,29.7727295173828
1980,"FALL",3,0.334609358041028,0.4569,-26.7652969925523,26.7652969925523
1980,"FALL",4,0.103451477986143,0.1452,-28.7524256293781,28.7524256293781
1980,"FALL",5,0.0372150745511268,0.0438,-15.0340763672903,15.0340763672903
1980,"FALL",6,0.0269795838013144,0.0296,-8.85275742799198,8.85275742799198
1980,"FALL",7,0.02095518186982,0.0141,48.6183111334755,48.6183111334755
1980,"FALL",8,0.0105944257327919,0.0191,-44.5318024461155,44.5318024461155
1980,"FALL",10,0.00583815472852549,0.0082,-28.8029911155428,28.8029911155428
1980,"FALL",11,0.00041209225502472,6e-04,-31.3179574958799,31.3179574958799
1982,"FALL",0,0.252863215061053,0.355,-28.7709253349146,28.7709253349146
1982,"FALL",1,0.694146640324084,0.9683,-28.3128534210385,28.3128534210385
1982,"FALL",2,0.174135934119654,0.2561,-32.0047113941219,32.0047113941219
1982,"FALL",3,0.02202834162512,0.0134,64.3906091426866,64.3906091426866
1982,"FALL",5,0,0.0149,-100,100
1983,"FALL",0,0.430212712875787,0.6153,-30.0808202704718,30.0808202704718
1983,"FALL",1,0.669626693016468,0.9396,-28.7327912924151,28.7327912924151
1983,"FALL",2,0.161362231010086,0.2294,-29.6590100217585,29.6590100217585
1983,"FALL",3,0.0809252063248841,0.0957,-15.4386558778641,15.4386558778641
1983,"FALL",4,0.00245968577211183,0.0102,-75.8854336067467,75.8854336067467
1984,"FALL",0,0.0843651291923115,0.1215,-30.5636796771099,30.5636796771099
1984,"FALL",1,0.627249845916746,0.8865,-29.2442362192052,29.2442362192052
1984,"FALL",2,0.209416216306299,0.2954,-29.1075774183145,29.1075774183145
1984,"FALL",3,0.0671333221918157,0.0611,9.87450440559038,9.87450440559038
1984,"FALL",4,0.0138195253156118,0.0108,27.9585677371464,27.9585677371464
1984,"FALL",5,0.00373849769983818,0.0052,-28.1058134646504,28.1058134646504
1984,"FALL",6,0.00658616113814293,0.0092,-28.4112919767072,28.4112919767072
1985,"FALL",0,0.259069874283155,0.3746,-30.8409305170436,30.8409305170436
1985,"FALL",1,0.365594825527797,0.505,-27.6049850440005,27.6049850440005
1985,"FALL",2,0.22262369812801,0.3106,-28.3246303515745,28.3246303515745
1985,"FALL",3,0.0378927307714641,0.0533,-28.9066964888103,28.9066964888103
1985,"FALL",5,0.0161861092131466,0.0218,-25.7517926002451,25.7517926002451
1986,"FALL",0,0.1796379328305,0.2526,-28.8844288081946,28.8844288081946
1986,"FALL",1,0.373317330309341,0.5304,-29.6158879507275,29.6158879507275
1986,"FALL",2,0.0534221279655811,0.074,-27.8079351816471,27.8079351816471
1986,"FALL",3,0.0526535336831667,0.0731,-27.9705421570907,27.9705421570907
1986,"FALL",5,0.0116881054912463,0.0176,-33.5903097088278,33.5903097088278
1986,"FALL",6,0.00791693049438712,0.011,-28.0279045964807,28.0279045964807
1987,"FALL",0,0.0330946831349806,0.0437,-24.2684596453532,24.2684596453532
1987,"FALL",1,0.256813034626735,0.3666,-29.9473446190029,29.9473446190029
1987,"FALL",2,0.0901657144918439,0.1256,-28.2120107549013,28.2120107549013
1987,"FALL",3,0.0179221591994409,0.0252,-28.8803206371392,28.8803206371392
1987,"FALL",4,0.00697434265296863,0.0127,-45.0839161183572,45.0839161183572
1988,"FALL",0,0.0292202506550948,0.0437,-33.134437860195,33.134437860195
1988,"FALL",1,0.277231586673836,0.3771,-26.483270571775,26.483270571775
1988,"FALL",2,0.101845729211739,0.1582,-35.6221686398614,35.6221686398614
1988,"FALL",3,0.0118517598059918,0.0168,-29.45381067862,29.45381067862
1989,"FALL",0,0.169303593938926,0.2254,-24.887491597637,24.887491597637
1989,"FALL",1,0.0799688185224497,0.1225,-34.7193318184084,34.7193318184084
1989,"FALL",2,0.0192920748898181,0.0356,-45.8087783993875,45.8087783993875
1989,"FALL",3,0.00093352721775335,0.0012,-22.2060651872208,22.2060651872208
1989,"FALL",7,0.0124803097779875,0.0173,-27.8594810520951,27.8594810520951
1989,"FALL",8,0.00632887982412675,0.0044,43.8381778210625,43.8381778210625
1990,"FALL",0,0.195602620926378,0.276,-29.129485171602,29.129485171602
1990,"FALL",1,0.172746406946202,0.2441,-29.2312958024574,29.2312958024574
1990,"FALL",2,0.0198683397924504,0.0299,-33.550703035283,33.550703035283
1990,"FALL",3,0.0285045684242467,0.0376,-24.1899775950887,24.1899775950887
1990,"FALL",4,0.000492137979867067,7e-04,-29.6945743047048,29.6945743047048
1990,"FALL",5,0.000279945222932815,4e-04,-30.0136942667964,30.0136942667964
1991,"FALL",0,0.346133387493757,0.4868,-28.8961816980779,28.8961816980779
1991,"FALL",1,0.379245411246425,0.5368,-29.3507058035721,29.3507058035721
1991,"FALL",2,0.041614061021752,0.058,-28.2516189280139,28.2516189280139
1991,"FALL",3,0.000966711231346408,0.0014,-30.9491977609709,30.9491977609709
1991,"FALL",4,0.00441459700128909,0.0061,-27.6295573559166,27.6295573559166
1991,"FALL",5,0.000512540783784355,7e-04,-26.7798880308064,26.7798880308064
1991,"FALL",6,0.000661913813698879,9e-04,-26.4540207001245,26.4540207001245
1992,"FALL",0,0.451745092773156,0.6351,-28.8702420448503,28.8702420448503
1992,"FALL",1,0.49443081080836,0.6679,-25.9723295690434,25.9723295690434
1992,"FALL",2,0.123316714470957,0.1592,-22.5397522167355,22.5397522167355
1992,"FALL",3,0.0158252420247919,0.0222,-28.7151260144508,28.7151260144508
1992,"FALL",4,0.0103900975243811,0.0044,136.13858009957,136.13858009957
1992,"FALL",5,0.00795734647947701,9e-04,784.149608830779,784.149608830779
1993,"FALL",0,0.105782890850417,0.1491,-29.0523870889222,29.0523870889222
1993,"FALL",1,0.363870583878794,0.5126,-29.0147124699972,29.0147124699972
1993,"FALL",2,0.0181777447584841,0.0255,-28.7147264373174,28.7147264373174
1993,"FALL",3,0.00696730852372876,0.0099,-29.623146224962,29.623146224962
1993,"FALL",4,0.000940693547697439,0.0013,-27.6389578694278,27.6389578694278
1993,"FALL",6,0.000277932184546971,4e-04,-30.5169538632574,30.5169538632574
1994,"FALL",0,0.341042100581058,0.4784,-28.7119354972705,28.7119354972705
1994,"FALL",1,0.328423676984619,0.4327,-24.0989884482046,24.0989884482046
1994,"FALL",2,0.048129577008198,0.0637,-24.4433641943516,24.4433641943516
1994,"FALL",3,0.00788548486015433,0.0081,-2.64833505982311,2.64833505982311
1994,"FALL",4,0.00333746951349964,0.0047,-28.9900103510716,28.9900103510716
1995,"FALL",0,0.42169373998934,0.5954,-29.1747161589956,29.1747161589956
1995,"FALL",1,0.53334986262685,0.7474,-28.6393012273415,28.6393012273415
1995,"FALL",2,0.1602693571118,0.1818,-11.8430378922992,11.8430378922992
1995,"FALL",3,0.00178552466279833,0.0026,-31.3259745077564,31.3259745077564
1995,"FALL",4,0.0104303223751961,0.0147,-29.0454260190744,29.0454260190744
1995,"FALL",12,0.00456012224597249,0.0051,-10.5858383142649,10.5858383142649
1996,"FALL",0,0.0519498846923437,0.0733,-29.1270331618776,29.1270331618776
1996,"FALL",1,0.561047846069242,0.792,-29.1606254963079,29.1606254963079
1996,"FALL",2,0.260888884143917,0.3683,-29.1640281987735,29.1640281987735
1996,"FALL",3,0.0180286093622853,0.0254,-29.0212229831287,29.0212229831287
