"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.545600134953414,0.8303,-34.2887950194612,34.2887950194612
1969,"FALL",0.36359342246015,0.5533,-34.2863866871228,34.2863866871228
1970,"FALL",0.0691744176936078,0.1053,-34.3072956375995,34.3072956375995
1971,"FALL",0.147409182268656,0.2243,-34.2803467371126,34.2803467371126
1972,"FALL",0.317497136885579,0.4526,-29.8503895524572,29.8503895524572
1973,"FALL",0.804387715432101,1.1484,-29.955789321482,29.955789321482
1974,"FALL",1.3358109595043,1.7555,-23.9070943033721,23.9070943033721
1975,"FALL",1.80593441067852,2.4207,-25.3961907432346,25.3961907432346
1976,"FALL",0.904228977738615,1.1858,-23.7452371615268,23.7452371615268
1977,"FALL",1.3307707750331,1.66,-19.8330858413792,19.8330858413792
1978,"FALL",0.458617063950162,0.5612,-18.2792116981179,18.2792116981179
1979,"FALL",0.675365278104205,0.7857,-14.0428562932156,14.0428562932156
1980,"FALL",0.789178415591082,1.0281,-23.2391386449681,23.2391386449681
1981,"FALL",0.572044418550789,0.6882,-16.8781722535907,16.8781722535907
1982,"FALL",0.605283319171993,0.8483,-28.6474927299313,28.6474927299313
1983,"FALL",0.644092135804933,0.8908,-27.6950902778477,27.6950902778477
1984,"FALL",0.625694095860367,0.8048,-22.2547097589008,22.2547097589008
1985,"FALL",0.553356209761727,0.7767,-28.7554770488313,28.7554770488313
1986,"FALL",0.413933482819322,0.5846,-29.1937251420934,29.1937251420934
1987,"FALL",0.27328449368167,0.3872,-29.4203270450232,29.4203270450232
1988,"FALL",0.303398317628795,0.4303,-29.4914437302358,29.4914437302358
1989,"FALL",0.148842849425021,0.2097,-29.0210541606957,29.0210541606957
1990,"FALL",0.212695179236664,0.3,-29.1016069211121,29.1016069211121
1991,"FALL",0.276584197072945,0.3899,-29.0627860802912,29.0627860802912
1992,"FALL",0.483649172497206,0.5741,-15.7552390703351,15.7552390703351
1993,"FALL",0.23175392176226,0.3263,-28.975200195446,28.975200195446
1994,"FALL",0.36450075150794,0.4773,-23.6327778110329,23.6327778110329
1995,"FALL",0.616210099748136,0.8125,-24.1587569540756,24.1587569540756
1996,"FALL",0.498817600019579,0.7041,-29.155290438918,29.155290438918
1997,"FALL",1.01426808948368,1.3148,-22.8576141250623,22.8576141250623
1998,"FALL",1.42649891019668,1.9541,-26.9996975489136,26.9996975489136
1999,"FALL",1.17867210491175,1.4954,-21.180145451936,21.180145451936
2000,"FALL",1.37563002372033,1.9098,-27.9699432547736,27.9699432547736
2001,"FALL",1.24170246000804,1.7497,-29.0334080123428,29.0334080123428
2002,"FALL",1.19789082068371,1.5476,-22.5968712403911,22.5968712403911
2003,"FALL",1.27415467196758,1.764,-27.7690095256474,27.7690095256474
2004,"FALL",1.91377327868936,2.4867,-23.03963973582,23.03963973582
2005,"FALL",1.3179785180646,1.6904,-22.0315595087199,22.0315595087199
2006,"FALL",1.34392622834796,1.7849,-24.7057970559717,24.7057970559717
2007,"FALL",1.71549990832193,2.3589,-27.2754288726979,27.2754288726979
2008,"FALL",1.25777792622508,1.6389,-23.2547485371237,23.2547485371237
2009,"FALL",3.01314085337667,1.9968,50.8984802372132,50.8984802372132
2010,"FALL",1.86781415148756,1.0364,80.2213577274756,80.2213577274756
2011,"FALL",3.62977134277318,2.371,53.0903139086117,53.0903139086117
2012,"FALL",2.66451364790991,1.6286,63.6076168432957,63.6076168432957
2013,"FALL",2.26764981348996,1.4431,57.1373995904622,57.1373995904622
2014,"FALL",2.88810635610193,1.7717,63.0132841960791,63.0132841960791
2015,"FALL",2.19014697413661,1.4764,48.3437397816726,48.3437397816726
2016,"FALL",2.54665795507297,1.1973,112.700071416769,112.700071416769
2017,"FALL",1.17709512314467,0.5498,114.095147898268,114.095147898268
2018,"FALL",1.71387108622481,1.0903,57.1926154475662,57.1926154475662
2019,"FALL",1.44586808384666,0.9145,58.1047658662286,58.1047658662286
