"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1976,"SPRING",2,0.664826374349325,0.2242,196.532727185247,196.532727185247
1976,"SPRING",3,0.986139628450396,1.1067,-10.8936813544415,10.8936813544415
1976,"SPRING",4,0.442855390310879,0.4512,-1.84942590627675,1.84942590627675
1976,"SPRING",5,0.166329526202002,0.1731,-3.91130779780352,3.91130779780352
1976,"SPRING",6,0,0.0467,-100,100
1977,"SPRING",2,0.587792304403308,0.4273,37.5596312668634,37.5596312668634
1977,"SPRING",3,0.924530579897295,0.9373,-1.36236211487299,1.36236211487299
1977,"SPRING",4,0.455263870835345,0.5026,-9.41825092810495,9.41825092810495
1977,"SPRING",5,0.0689038637514314,0.074,-6.88667060617374,6.88667060617374
1977,"SPRING",6,0.062696689303873,0.0606,3.45988333972435,3.45988333972435
1977,"SPRING",7,0.00609883688651329,0.0104,-41.3573376296799,41.3573376296799
1977,"SPRING",9,0.00591238804580438,0.0064,-7.61893678430653,7.61893678430653
1978,"SPRING",2,0.659935477653006,0.4798,37.5438677892885,37.5438677892885
1978,"SPRING",3,0.612011991036103,0.6514,-6.04667008963725,6.04667008963725
1978,"SPRING",4,0.382123164200801,0.4737,-19.3322431495037,19.3322431495037
1978,"SPRING",5,0.172493306888217,0.2142,-19.4709118168921,19.4709118168921
1978,"SPRING",6,0.0426757947269154,0.0248,72.0798174472393,72.0798174472393
1978,"SPRING",7,0.0125111912031268,0.0178,-29.7124089711976,29.7124089711976
1978,"SPRING",8,0.0127416606324516,0.0152,-16.1732853128183,16.1732853128183
1978,"SPRING",11,0.00308915807946346,0.0035,-11.7383405867584,11.7383405867584
1978,"SPRING",12,0.00210791287420127,7e-04,201.130410600181,201.130410600181
1979,"SPRING",2,0.172323953424574,0.0403,327.602862095716,327.602862095716
1979,"SPRING",3,0.126995896936889,0.1288,-1.40070113595613,1.40070113595613
1979,"SPRING",5,0.0105978581991828,0.0243,-56.3874148181776,56.3874148181776
1980,"SPRING",1,0.00587138039148395,0.0056,4.84607841935621,4.84607841935621
1980,"SPRING",2,0.485394099103182,0.5067,-4.20483538520184,4.20483538520184
1980,"SPRING",3,0.203634625887582,0.2119,-3.90060128004602,3.90060128004602
1980,"SPRING",4,0.106528955917112,0.1108,-3.854732926794,3.854732926794
1980,"SPRING",5,0.0276317211120174,0.0182,51.8226434726229,51.8226434726229
1980,"SPRING",6,0.0111666295758571,0.0247,-54.7909733770966,54.7909733770966
1980,"SPRING",7,0.0411334409257661,0.0471,-12.6678536607938,12.6678536607938
1981,"SPRING",1,0.864680885434923,0.581,48.8263141884549,48.8263141884549
1981,"SPRING",2,0.278745072690065,0.3447,-19.1340085030273,19.1340085030273
1981,"SPRING",3,0.109494115959228,0.0944,15.9895296178267,15.9895296178267
1981,"SPRING",4,0,0.0175,-100,100
1981,"SPRING",5,0.0219847755765682,0.0245,-10.2662221364563,10.2662221364563
1981,"SPRING",6,0.0142829664665947,0.0135,5.79975160440527,5.79975160440527
1981,"SPRING",7,0.0277037472083852,0.0291,-4.79811955881362,4.79811955881362
1982,"SPRING",1,0.65690574676184,0.4743,38.5000520265317,38.5000520265317
1982,"SPRING",2,0.867679495968202,1.0448,-16.9525750413283,16.9525750413283
1982,"SPRING",3,0.118535858991019,0.1156,2.53967040745603,2.53967040745603
1982,"SPRING",4,0.0113519760398193,0.0138,-17.7393040592807,17.7393040592807
1983,"SPRING",1,0.428746175929348,0.2288,87.3890629061836,87.3890629061836
1983,"SPRING",2,0.230270030143218,0.2811,-18.0825221831314,18.0825221831314
1983,"SPRING",3,0.16648456213702,0.1791,-7.04379556838659,7.04379556838659
1983,"SPRING",4,0.0258929656164824,0.0305,-15.1050307656316,15.1050307656316
1983,"SPRING",5,0.00641316801704325,0.0106,-39.4984149335542,39.4984149335542
1983,"SPRING",7,0.00350180008202346,0.0041,-14.5902419018669,14.5902419018669
1983,"SPRING",9,0.00681662894627839,0.008,-14.7921381715201,14.7921381715201
1984,"SPRING",1,0.243722877447656,0.116,110.105928834186,110.105928834186
1984,"SPRING",2,0.245147083344361,0.2552,-3.93923066443528,3.93923066443528
1984,"SPRING",3,0.0322341201061163,0.0566,-43.0492577630454,43.0492577630454
1984,"SPRING",7,0.0114302752922089,0.0084,36.0747058596299,36.0747058596299
1985,"SPRING",1,0.402762259741929,0.389,3.53785597478888,3.53785597478888
1985,"SPRING",2,0.948357473009965,1.0882,-12.8508111551217,12.8508111551217
