"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",1.15003275751194,0.5332,115.685063299313,115.685063299313
1974,"SPRING",1.2780888392553,1.0032,27.4012000852573,27.4012000852573
1975,"SPRING",1.30570607209643,1.3642,-4.28778242952453,4.28778242952453
1976,"SPRING",2.2601509193126,2.002,12.8946513143159,12.8946513143159
1977,"SPRING",2.11119853312357,2.0188,4.57690376082668,4.57690376082668
1978,"SPRING",2.09026982698019,1.8814,11.101829859689,11.101829859689
1979,"SPRING",0.414338272366978,0.2795,48.2426734765573,48.2426734765573
1980,"SPRING",0.881360852913002,0.9247,-4.68683325262224,4.68683325262224
1981,"SPRING",1.31689156333576,1.1045,19.2296571603227,19.2296571603227
1983,"SPRING",0.868125330871413,0.7419,17.0137930814682,17.0137930814682
1984,"SPRING",0.574166809532742,0.4775,20.2443580173281,20.2443580173281
1985,"SPRING",1.53693141128534,1.6846,-8.7657953647546,8.7657953647546
1986,"SPRING",1.31924001255117,1.5129,-12.8005808347434,12.8005808347434
1988,"SPRING",0.949662891804157,1.0654,-10.8632540074942,10.8632540074942
1989,"SPRING",0.21963071510678,0.2373,-7.44596919225439,7.44596919225439
1990,"SPRING",0.445019011761487,0.5035,-11.6148933939449,11.6148933939449
1992,"SPRING",0.781405924916687,0.8414,-7.13026801560654,7.13026801560654
1993,"SPRING",0.889887309329903,0.9136,-2.59552218367959,2.59552218367959
1994,"SPRING",0.625231665342865,0.7062,-11.4653546668274,11.4653546668274
1995,"SPRING",0.717435305106655,0.8015,-10.4884210721578,10.4884210721578
1996,"SPRING",1.1263007399561,1.28,-12.0077546909298,12.0077546909298
1997,"SPRING",0.770480729624552,0.7616,1.16606218809767,1.16606218809767
1998,"SPRING",0.799322822221339,0.8644,-7.52859530063178,7.52859530063178
1999,"SPRING",1.11776592058056,1.1432,-2.22481450484946,2.22481450484946
2000,"SPRING",1.3788566038095,1.5263,-9.66018451094171,9.66018451094171
2001,"SPRING",1.68268510212877,1.9215,-12.4285661135169,12.4285661135169
2002,"SPRING",1.65533990818799,1.8445,-10.2553587320147,10.2553587320147
2003,"SPRING",1.88285268734512,2.1742,-13.400207554727,13.400207554727
2004,"SPRING",1.86314193444343,2.1466,-13.2049783637645,13.2049783637645
2005,"SPRING",1.15848122141627,1.3326,-13.0660947458901,13.0660947458901
2006,"SPRING",1.28342300649276,1.4074,-8.80893800676673,8.80893800676673
2007,"SPRING",2.04398310547689,2.3142,-11.6764711141262,11.6764711141262
2008,"SPRING",0.963785975593637,1.0097,-4.54729369182561,4.54729369182561
2009,"SPRING",3.75725953483245,2.0035,87.5347908576217,87.5347908576217
2010,"SPRING",4.7280790069479,2.7124,74.3134864676263,74.3134864676263
2011,"SPRING",5.37538969203254,3.1902,68.4969497847327,68.4969497847327
2012,"SPRING",4.52341927391131,2.6151,72.9730898975683,72.9730898975683
2013,"SPRING",3.84169012446075,2.1473,78.9079366861056,78.9079366861056
2014,"SPRING",2.74973995481498,1.5243,80.3936203381867,80.3936203381867
2015,"SPRING",5.41955584381663,2.9925,81.1046230180997,81.1046230180997
2016,"SPRING",2.50906857284793,1.339,87.3837619752,87.3837619752
2017,"SPRING",2.3337917708778,1.2937,80.3966739489682,80.3966739489682
2018,"SPRING",3.43083745896195,1.8185,88.6630442101707,88.6630442101707
2019,"SPRING",4.38551327116698,2.4088,82.0621583845474,82.0621583845474
2020,"SPRING",6.45136624150073,3.3947,90.0423083483291,90.0423083483291
