"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",0.654626001938746,0.3771,73.5948029537911,73.5948029537911
1974,"SPRING",0.951535831070626,0.9161,3.86811822624449,3.86811822624449
1975,"SPRING",1.07474515855073,1.1238,-4.36508644325192,4.36508644325192
1976,"SPRING",1.3424647164927,1.4118,-4.9111264702717,4.9111264702717
1977,"SPRING",1.19153872543974,1.2481,-4.53179028605526,4.53179028605526
1978,"SPRING",1.00232648615002,1.1005,-8.920809981825,8.920809981825
1980,"SPRING",0.503762672124983,0.5753,-12.4347866982473,12.4347866982473
1981,"SPRING",0.592316507200984,0.6428,-7.85368587414687,7.85368587414687
1982,"SPRING",0.756476400501346,0.8507,-11.0760079344838,11.0760079344838
1983,"SPRING",0.417519399825524,0.4654,-10.2880533249842,10.2880533249842
1984,"SPRING",0.265764153314754,0.281,-5.42200949652879,5.42200949652879
1985,"SPRING",0.780600192410586,0.8832,-11.6168260404681,11.6168260404681
1986,"SPRING",0.504130296806584,0.5891,-14.4236467821111,14.4236467821111
1987,"SPRING",0.28568022578758,0.32,-10.7249294413813,10.7249294413813
1988,"SPRING",0.428929289491923,0.4901,-12.4812712728171,12.4812712728171
1989,"SPRING",0.159191070767544,0.1806,-11.8543351231763,11.8543351231763
1990,"SPRING",0.162536492322233,0.187,-13.0820896672551,13.0820896672551
1991,"SPRING",0.229720899527497,0.2494,-7.89057757518145,7.89057757518145
1992,"SPRING",0.28017614465127,0.3187,-12.087811530822,12.087811530822
1993,"SPRING",0.330171143902906,0.3637,-9.21882213282768,9.21882213282768
1994,"SPRING",0.308918728100619,0.3557,-13.1518897664834,13.1518897664834
1995,"SPRING",0.303188143059818,0.3533,-14.1839391282713,14.1839391282713
1996,"SPRING",0.42247496997213,0.4958,-14.7892355844836,14.7892355844836
1997,"SPRING",0.414199670271345,0.4393,-5.71371038667317,5.71371038667317
1998,"SPRING",0.493830880027018,0.5616,-12.06715099234,12.06715099234
1999,"SPRING",0.671534827544031,0.7289,-7.87010185978443,7.87010185978443
2000,"SPRING",1.0776828836398,1.2289,-12.3050790430627,12.3050790430627
2001,"SPRING",1.35565150867296,1.5581,-12.9932925567704,12.9932925567704
2002,"SPRING",1.52788690616034,1.7389,-12.1348607648317,12.1348607648317
2003,"SPRING",1.5509432054459,1.8118,-14.397659485269,14.397659485269
2004,"SPRING",1.48017585895764,1.7172,-13.8029432239905,13.8029432239905
2005,"SPRING",0.993689906464643,1.166,-14.7778810922262,14.7778810922262
2006,"SPRING",1.07014518971557,1.1929,-10.2904527021901,10.2904527021901
2007,"SPRING",1.95890631653439,2.2611,-13.3648968849504,13.3648968849504
2008,"SPRING",0.920514226030336,1.0312,-10.7336863818526,10.7336863818526
2009,"SPRING",2.34864480698854,0.8187,186.874900084101,186.874900084101
2010,"SPRING",3.24056709022389,1.1532,181.006511465825,181.006511465825
2011,"SPRING",3.23761707676195,1.1507,181.360656709998,181.360656709998
2012,"SPRING",3.44531711795255,1.1979,187.613082724147,187.613082724147
2013,"SPRING",2.98954301894219,1.0535,183.772474508039,183.772474508039
2014,"SPRING",2.47116105180256,0.8565,188.518511593994,188.518511593994
2015,"SPRING",3.11482401271495,1.1086,180.969151426569,180.969151426569
2016,"SPRING",2.29095308874673,0.7772,194.770083472302,194.770083472302
2017,"SPRING",1.7475123613338,0.6147,184.287028035432,184.287028035432
2018,"SPRING",3.18303144594491,1.1281,182.158624762425,182.158624762425
2019,"SPRING",2.9739050945939,1.0506,183.067303882914,183.067303882914
2020,"SPRING",2.89504458716827,1.0482,176.192004118323,176.192004118323
