"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1976,"FALL",1,0.378707985783942,0.753,-49.7067747962893,49.7067747962893
1976,"FALL",2,0.409794030262959,0.8306,-50.6628906497761,50.6628906497761
1976,"FALL",3,0.592275984690791,1.1804,-49.8241287113867,49.8241287113867
1976,"FALL",4,0.280846461969152,0.2952,-4.8623096310462,4.8623096310462
1976,"FALL",5,0,0.0881,-100,100
1976,"FALL",6,0,0.0188,-100,100
1977,"FALL",1,0.251543707097958,0.4522,-44.3733509292442,44.3733509292442
1977,"FALL",2,0.613168820483037,1.3572,-54.8210418152787,54.8210418152787
1977,"FALL",3,0.666176662467413,1.1675,-42.9399004310567,42.9399004310567
1977,"FALL",4,0.3584206788798,0.4788,-25.141879933208,25.141879933208
1977,"FALL",5,0.0484662137623799,0.0772,-37.2199303596115,37.2199303596115
1977,"FALL",6,0.0812861000191034,0.1325,-38.6519999855824,38.6519999855824
1977,"FALL",7,0,0.0185,-100,100
1978,"FALL",1,0.0470013463497906,0.0993,-52.6673249246822,52.6673249246822
1978,"FALL",2,0.187264378637169,0.3526,-46.8904201255902,46.8904201255902
1978,"FALL",3,0.174718943832835,0.3442,-49.239121489589,49.239121489589
1978,"FALL",4,0.089741001060201,0.1401,-35.9450385009272,35.9450385009272
1978,"FALL",5,0.0452050813925238,0.049,-7.74473185199222,7.74473185199222
1978,"FALL",6,0.00625699562074655,0.0058,7.87923484045781,7.87923484045781
1978,"FALL",7,0.0033003904081462,0.0027,22.2366817831925,22.2366817831925
1978,"FALL",10,0.000322040706438293,6e-04,-46.3265489269511,46.3265489269511
1979,"FALL",1,0.247255037069007,0.5113,-51.6418859634253,51.6418859634253
1979,"FALL",2,0.429726991887653,0.8112,-47.0257652998455,47.0257652998455
1979,"FALL",3,0.261814301226499,0.4866,-46.1951703192563,46.1951703192563
1979,"FALL",4,0.0844119537562208,0.1303,-35.2172265877047,35.2172265877047
1979,"FALL",5,0.0418009645099646,0.0337,24.038470355978,24.038470355978
1979,"FALL",6,0.0459060861266797,0.047,-2.32747632621333,2.32747632621333
1979,"FALL",7,0.00766962562619156,0.006,27.8270937698594,27.8270937698594
1979,"FALL",8,0,9e-04,-100,100
1980,"FALL",1,0.471118715805906,0.9025,-47.7984802431129,47.7984802431129
1980,"FALL",2,0.550857284659333,1.077,-48.8526198087898,48.8526198087898
1980,"FALL",3,0.375040990826646,0.7034,-46.6816902435817,46.6816902435817
1980,"FALL",4,0.10148487568917,0.1954,-48.0630114180296,48.0630114180296
1980,"FALL",5,0.0431998604927415,0.0628,-31.2104132281186,31.2104132281186
1980,"FALL",6,0.0148093774417691,0.0168,-11.8489437989934,11.8489437989934
1980,"FALL",7,0.0173715151062822,0.0169,2.79003021468768,2.79003021468768
1980,"FALL",8,0.0132269924208767,0.0305,-56.6328117348306,56.6328117348306
1980,"FALL",11,0.000424094975156271,8e-04,-46.9881281054662,46.9881281054662
1982,"FALL",0,0.286744327648227,0.5562,-48.4458238676326,48.4458238676326
1982,"FALL",1,0.787155267407903,1.5038,-47.655588016498,47.655588016498
1982,"FALL",2,0.197468387548897,0.3987,-50.4719369077258,50.4719369077258
1982,"FALL",3,0.0249799165409464,0.0198,26.1611946512446,26.1611946512446
1982,"FALL",5,0,0.0247,-100,100
1983,"FALL",0,0.487672916195315,0.9616,-49.2852624588898,49.2852624588898
1983,"FALL",1,0.759063585166442,1.4611,-48.0484850341221,48.0484850341221
1983,"FALL",2,0.178743321737799,0.3413,-47.6286780727222,47.6286780727222
1983,"FALL",3,0.0839163091040846,0.1231,-31.8307805815722,31.8307805815722
1983,"FALL",4,0.00317737116568189,0.016,-80.1414302144882,80.1414302144882
1984,"FALL",0,0.0955795881566716,0.1889,-49.4020179160024,49.4020179160024
1984,"FALL",1,0.708425224511235,1.3765,-48.5343098793146,48.5343098793146
1984,"FALL",2,0.227558138406142,0.4289,-46.9437774758354,46.9437774758354
1984,"FALL",3,0.0698015405844814,0.0747,-6.55750925772236,6.55750925772236
1984,"FALL",4,0.0156565224395176,0.0105,49.1097375192149,49.1097375192149
1984,"FALL",5,0.00423544744026819,0.0082,-48.348201947949,48.348201947949
1984,"FALL",6,0.00746164410750967,0.0021,255.316386071889,255.316386071889
1985,"FALL",0,0.293004753783298,0.5776,-49.2720301621714,49.2720301621714
1985,"FALL",1,0.413483163619181,0.7786,-46.8940195711302,46.8940195711302
1985,"FALL",2,0.244746710003814,0.4595,-46.7362981493331,46.7362981493331
1985,"FALL",3,0.0423122108159066,0.0759,-44.2526866720598,44.2526866720598
1985,"FALL",5,0.0185599435398533,0.0331,-43.9276630215912,43.9276630215912
1986,"FALL",0,0.203571821919003,0.3938,-48.3057841749612,48.3057841749612
1986,"FALL",1,0.423057805177399,0.8274,-48.8690107351464,48.8690107351464
1986,"FALL",2,0.0605406427546158,0.1154,-47.5384378209568,47.5384378209568
1986,"FALL",3,0.0556733962294773,0.0963,-42.1875428562022,42.1875428562022
1986,"FALL",5,0.0146466748424021,0.0115,27.362389933931,27.362389933931
1987,"FALL",0,0.0375607955550914,0.0687,-45.3263529037971,45.3263529037971
1987,"FALL",1,0.2914698367153,0.5765,-49.4414853919687,49.4414853919687
1987,"FALL",2,0.102333536607492,0.1976,-48.211772971917,48.211772971917
1987,"FALL",3,0.0203407464229343,0.0397,-48.7638629145232,48.7638629145232
1987,"FALL",4,0.00791552701836925,0.0198,-60.0225908163169,60.0225908163169
1988,"FALL",0,0.0330452079272243,0.0687,-51.8992606590621,51.8992606590621
1988,"FALL",1,0.313828605255269,0.5828,-46.1515776844081,46.1515776844081
1988,"FALL",2,0.10299878273194,0.2074,-50.3380989720638,50.3380989720638
1988,"FALL",3,0.0134984359291412,0.0264,-48.8695608744651,48.8695608744651
1989,"FALL",0,0.192060301272872,0.3527,-45.5457042038922,45.5457042038922
1989,"FALL",1,0.0852992284482138,0.1673,-49.0142089371107,49.0142089371107
1989,"FALL",2,0.0205840400185545,0.0469,-56.1107888730182,56.1107888730182
1989,"FALL",3,0.00122725980564529,0.0019,-35.407378650248,35.407378650248
1990,"FALL",0,0.221789045200464,0.4314,-48.5885384329013,48.5885384329013
1990,"FALL",1,0.196558634895967,0.3819,-48.5313865158506,48.5313865158506
1990,"FALL",2,0.0205465401066082,0.0398,-48.3755273703311,48.3755273703311
1990,"FALL",3,0.0203212824662841,0.0392,-48.1599937084589,48.1599937084589
1990,"FALL",4,0.000538169665899482,0.001,-46.1830334100518,46.1830334100518
1990,"FALL",5,0.000317414405949677,6e-04,-47.0975990083872,47.0975990083872
1991,"FALL",0,0.392029481025431,0.7566,-48.1853712628296,48.1853712628296
1991,"FALL",1,0.429532044940027,0.8349,-48.5528752018173,48.5528752018173
1991,"FALL",2,0.0471319420060635,0.09,-47.6311755488184,47.6311755488184
1991,"FALL",3,0.00109489380689409,0.0022,-50.2320996866321,50.2320996866321
1991,"FALL",4,0.00499995733980733,0.0096,-47.9171110436736,47.9171110436736
1991,"FALL",5,0.000580501924203925,0.0011,-47.2270977996432,47.2270977996432
1991,"FALL",6,0.000749681302768332,0.0015,-50.0212464821112,50.0212464821112
1992,"FALL",0,0.511905355662382,0.9871,-48.1404765816653,48.1404765816653
1992,"FALL",1,0.560275660115224,1.0388,-46.0651078056196,46.0651078056196
1992,"FALL",2,0.139739175013176,0.2478,-43.6080811084841,43.6080811084841
1992,"FALL",3,0.0179327374591146,0.0347,-48.3206413282,48.3206413282
1992,"FALL",4,0.0117737782959293,0.0068,73.1437984695482,73.1437984695482
1992,"FALL",5,0.00901705042261731,0.0015,501.136694841154,501.136694841154
1993,"FALL",0,0.119829719227856,0.2315,-48.237702277384,48.237702277384
1993,"FALL",1,0.412188677686341,0.7965,-48.2500090789277,48.2500090789277
1993,"FALL",2,0.020591553445868,0.0336,-38.7156147444406,38.7156147444406
1993,"FALL",3,0.00789249204158022,0.0091,-13.2693182243931,13.2693182243931
1993,"FALL",4,0.00106560751737667,0.0021,-49.2567848868253,49.2567848868253
1993,"FALL",6,0.00031483858467947,6e-04,-47.5269025534216,47.5269025534216
1994,"FALL",0,0.386363941572986,0.745,-48.1390682452368,48.1390682452368
1994,"FALL",1,0.372068627684022,0.6659,-44.125450115029,44.125450115029
1994,"FALL",2,0.0545256232220168,0.0947,-42.4227843484511,42.4227843484511
1994,"FALL",3,0.00893340442893268,0.0125,-28.5327645685385,28.5327645685385
1994,"FALL",4,0.00378099323783902,0.0073,-48.205572084397,48.205572084397
1995,"FALL",0,0.477854701280609,0.9286,-48.5403078526158,48.5403078526158
1995,"FALL",1,0.60438113046224,1.1656,-48.1484960138778,48.1484960138778
1995,"FALL",2,0.181613949898878,0.2837,-35.9838033490031,35.9838033490031
