"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1976,"SPRING",2,0.755549196911727,0.3195,136.478621881605,136.478621881605
1976,"SPRING",3,1.10810634399078,1.56,-28.9675420518732,28.9675420518732
1976,"SPRING",4,0.502318399870914,0.6412,-21.6596381985475,21.6596381985475
1976,"SPRING",5,0.189027007341016,0.247,-23.4708472303579,23.4708472303579
1976,"SPRING",6,0,0.0665,-100,100
1977,"SPRING",2,0.668648954219995,0.6096,9.6865082381881,9.6865082381881
1977,"SPRING",3,1.05170891276006,1.3252,-20.6377216450303,20.6377216450303
1977,"SPRING",4,0.513641614141922,0.6932,-25.9028254267279,25.9028254267279
1977,"SPRING",5,0.0783822722651698,0.1055,-25.7040073315926,25.7040073315926
1977,"SPRING",6,0.0713212395297476,0.0872,-18.2095876952436,18.2095876952436
1977,"SPRING",7,0.00693779227046051,0.0091,-23.760524500434,23.760524500434
1977,"SPRING",9,0.00672569554612164,0.0091,-26.0912577349271,26.0912577349271
1978,"SPRING",2,0.750260645500521,0.6838,9.71931054409488,9.71931054409488
1978,"SPRING",3,0.695777885865133,0.9324,-25.3777471187116,25.3777471187116
1978,"SPRING",4,0.434424245311959,0.6355,-31.6405593529569,31.6405593529569
1978,"SPRING",5,0.196102413270346,0.189,3.75789061923092,3.75789061923092
1978,"SPRING",6,0.0485168177545658,0.0427,13.6225240153766,13.6225240153766
1978,"SPRING",7,0.0142235941329008,0.0203,-29.933033828075,29.933033828075
1978,"SPRING",8,0.0144856078428294,0.0215,-32.6250798007937,32.6250798007937
1978,"SPRING",11,0.00351197020501758,0.005,-29.7605958996484,29.7605958996484
1978,"SPRING",12,0.0023964222673427,0.0011,117.856569758427,117.856569758427
1979,"SPRING",2,0.195219471419798,0.0574,240.103608745293,240.103608745293
1979,"SPRING",3,0.143868982691104,0.1833,-21.5117388482794,21.5117388482794
1979,"SPRING",4,0.0637459731534116,0.08,-20.3175335582354,20.3175335582354
1979,"SPRING",5,0.0120059239282252,0.0346,-65.300797895303,65.300797895303
1979,"SPRING",6,0.0340102996068601,0.0426,-20.1636159463378,20.1636159463378
1980,"SPRING",1,0.00665347986882971,0.008,-16.8315016396286,16.8315016396286
1980,"SPRING",2,0.550051206274426,0.7221,-23.8261727912441,23.8261727912441
1980,"SPRING",3,0.230759854344451,0.302,-23.5894522038242,23.5894522038242
1980,"SPRING",4,0.120719186355223,0.1528,-20.9952968879429,20.9952968879429
1980,"SPRING",5,0.0313124151224443,0.0206,52.0020151574964,52.0020151574964
1980,"SPRING",6,0.012654084752098,0.035,-63.845472136863,63.845472136863
1980,"SPRING",7,0.0466126367033274,0.0565,-17.4997580472082,17.4997580472082
1981,"SPRING",1,0.975867002243506,0.823,18.5743623625159,18.5743623625159
1981,"SPRING",2,0.314587870575374,0.4736,-33.5751962467538,33.5751962467538
1981,"SPRING",3,0.123573559337663,0.1097,12.6468179923998,12.6468179923998
1981,"SPRING",4,0,0.0243,-100,100
1981,"SPRING",5,0.024811716551489,0.0221,12.2702106402217,12.2702106402217
1981,"SPRING",6,0.0161195602952291,0.0083,94.2115698220369,94.2115698220369
1981,"SPRING",7,0.0312660695923219,0.0379,-17.5037741627392,17.5037741627392
1982,"SPRING",1,0.744118856268006,0.682,9.10833669618856,9.10833669618856
1982,"SPRING",2,0.982875667216746,1.4171,-30.6417566003284,30.6417566003284
1982,"SPRING",3,0.134273095118958,0.1463,-8.22071420440307,8.22071420440307
1982,"SPRING",4,0.0128591041694672,0.0197,-34.7253595458519,34.7253595458519
