"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",0.125525200876552,0.1542,-18.5958489775926,18.5958489775926
1969,"SPRING",0.154261017774531,0.1895,-18.5957689844162,18.5957689844162
1970,"SPRING",0.0730860899509548,0.0898,-18.6123719922552,18.6123719922552
1971,"SPRING",0.178192101543453,0.2189,-18.5965730728858,18.5965730728858
1972,"SPRING",0.384367317124074,0.4723,-18.6179722371218,18.6179722371218
1973,"SPRING",1.30525236734925,0.7573,72.3560500923343,72.3560500923343
1974,"SPRING",1.45247632477569,1.3673,6.22952715393039,6.22952715393039
1975,"SPRING",1.5142645360841,1.9629,-22.8557473083654,22.8557473083654
1976,"SPRING",2.55500094811444,2.8344,-9.85743197451182,9.85743197451182
1977,"SPRING",2.39736648073347,2.8386,-15.5440540853423,15.5440540853423
1978,"SPRING",2.37636442162154,2.5312,-6.11708195237295,6.11708195237295
1979,"SPRING",0.46938859579889,0.3984,17.8184226402835,17.8184226402835
1980,"SPRING",0.9987628634208,1.2969,-22.9884444891048,22.9884444891048
1982,"SPRING",1.87412672277318,2.2648,-17.2497914706297,17.2497914706297
1983,"SPRING",0.970047844373737,0.9485,2.27178116749998,2.27178116749998
1984,"SPRING",0.650567251620496,0.6592,-1.3095795478616,1.3095795478616
1985,"SPRING",1.74349059279569,2.3779,-26.6793980909336,26.6793980909336
1986,"SPRING",1.49219362240158,2.1414,-30.3169131221828,30.3169131221828
1987,"SPRING",0.779369856973291,0.9267,-15.8983644142342,15.8983644142342
1988,"SPRING",1.07894909008503,1.5014,-28.1371326705055,28.1371326705055
1989,"SPRING",0.249630844922442,0.3193,-21.8193407696705,21.8193407696705
1990,"SPRING",0.503178763015615,0.7146,-29.5859553574566,29.5859553574566
1991,"SPRING",0.868886615214689,1.0796,-19.5177273791507,19.5177273791507
1992,"SPRING",0.885724024946347,1.2026,-26.3492412318022,26.3492412318022
1993,"SPRING",1.00873692488639,1.2741,-20.8274919640227,20.8274919640227
1994,"SPRING",0.708641524736415,0.9298,-23.7855963931582,23.7855963931582
1995,"SPRING",0.81256475246947,1.0873,-25.2676581928198,25.2676581928198
1996,"SPRING",1.27626448345244,1.8089,-29.4452715212318,29.4452715212318
1997,"SPRING",0.866889189380712,1.0632,-18.4641469732212,18.4641469732212
1998,"SPRING",0.893420420503653,1.1865,-24.7011866410744,24.7011866410744
1999,"SPRING",1.26638755994674,1.5983,-20.7665920073364,20.7665920073364
2000,"SPRING",1.56227373568284,2.1379,-26.924845143232,26.924845143232
2001,"SPRING",1.90672984265748,2.6905,-29.131022387754,29.131022387754
2002,"SPRING",1.87490129762615,2.4721,-24.1575463117936,24.1575463117936
2003,"SPRING",2.13264535798108,2.911,-26.738393748503,26.738393748503
2004,"SPRING",2.1112682181517,3.0258,-30.2244623520489,30.2244623520489
2005,"SPRING",1.31209183632341,1.8091,-27.4726750139066,27.4726750139066
2006,"SPRING",1.44855748514685,1.7632,-17.8449702162633,17.8449702162633
2007,"SPRING",2.31500821653418,3.2466,-28.694381305545,28.694381305545
2008,"SPRING",1.08922280914494,1.3966,-22.008963973583,22.008963973583
2009,"SPRING",4.30346029389299,2.8337,51.8671805022758,51.8671805022758
2010,"SPRING",5.41194671811956,3.7841,43.0180681831759,43.0180681831759
2011,"SPRING",6.14032528209483,4.4484,38.0344681704619,38.0344681704619
2012,"SPRING",5.17768507212951,3.6656,41.2506839843276,41.2506839843276
2013,"SPRING",4.39079111332198,3.031,44.8627882983166,44.8627882983166
2014,"SPRING",3.21576069660071,2.2658,41.9260612852285,41.9260612852285
2015,"SPRING",6.2034385253521,4.2015,47.6481857753684,47.6481857753684
2016,"SPRING",2.84686507099059,1.8152,56.8347879567313,56.8347879567313
2017,"SPRING",2.6702162796813,1.8038,48.0328351081772,48.0328351081772
2018,"SPRING",3.92707260160964,2.5207,55.7929385333296,55.7929385333296
2019,"SPRING",5.01983239287766,3.3751,48.7313677484418,48.7313677484418
2020,"SPRING",6.45136624150073,3.3947,90.0423083483291,90.0423083483291
