"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",0.131312636961286,0.1613,-18.5910496210257,18.5910496210257
1969,"SPRING",0.130421475529584,0.1602,-18.5883423660527,18.5883423660527
1970,"SPRING",0.0768970329402762,0.0945,-18.6274783700781,18.6274783700781
1971,"SPRING",0.219728318139129,0.27,-18.6191414299522,18.6191414299522
1972,"SPRING",0.171011395178963,0.2101,-18.6047619329068,18.6047619329068
1973,"SPRING",0.743112945255387,0.5362,38.5887626362155,38.5887626362155
1974,"SPRING",1.08136713533242,1.2596,-14.1499574998078,14.1499574998078
1975,"SPRING",1.24641258373597,1.6073,-22.4530216054269,22.4530216054269
1976,"SPRING",1.51683672679292,1.9998,-24.1505787182256,24.1505787182256
1977,"SPRING",1.35332251742949,1.7428,-22.3478013868778,22.3478013868778
1978,"SPRING",1.13951460705767,1.428,-20.202058329295,20.202058329295
1979,"SPRING",0.279080032032198,0.3483,-19.8736629250076,19.8736629250076
1980,"SPRING",0.570866572111896,0.7797,-26.7838178643202,26.7838178643202
1981,"SPRING",0.668480296023695,0.7976,-16.1885285827865,16.1885285827865
1982,"SPRING",0.85690885901,1.1094,-22.7592519370831,22.7592519370831
1983,"SPRING",0.461011911959289,0.5339,-13.6520112456847,13.6520112456847
1984,"SPRING",0.301127567687049,0.379,-20.5468159137073,20.5468159137073
1985,"SPRING",0.885510623446869,1.2034,-26.415936226785,26.415936226785
1986,"SPRING",0.570416353603658,0.8164,-30.1302849579057,30.1302849579057
1987,"SPRING",0.324324902421268,0.3754,-13.6055134732903,13.6055134732903
1988,"SPRING",0.487323312937838,0.6766,-27.9746803225188,27.9746803225188
1989,"SPRING",0.180935537547605,0.2385,-24.136042956979,24.136042956979
1990,"SPRING",0.183778465616278,0.2655,-30.7802389392552,30.7802389392552
1991,"SPRING",0.260249019261598,0.3501,-25.6643761035138,25.6643761035138
1992,"SPRING",0.317579806629866,0.4554,-30.2635470729323,30.2635470729323
1993,"SPRING",0.374267416666087,0.4802,-22.0600964876954,22.0600964876954
1994,"SPRING",0.350130440659638,0.4582,-23.585674234038,23.585674234038
1995,"SPRING",0.343389845277345,0.4612,-25.5442659849642,25.5442659849642
1996,"SPRING",0.478726311894355,0.6973,-31.3457174968658,31.3457174968658
1997,"SPRING",0.466277527819696,0.6113,-23.7236172387215,23.7236172387215
1998,"SPRING",0.544971719670391,0.7577,-28.0755286168153,28.0755286168153
1999,"SPRING",0.76082419048081,1.0124,-24.8494477992089,24.8494477992089
2000,"SPRING",1.22103753200577,1.7045,-28.3638878260032,28.3638878260032
2001,"SPRING",1.53615265539598,2.1591,-28.8521765830217,28.8521765830217
2002,"SPRING",1.73054315238602,2.2792,-24.0723432614066,24.0723432614066
2003,"SPRING",1.75670239621896,2.4198,-27.4029921390628,27.4029921390628
2004,"SPRING",1.67730015116974,2.4272,-30.8956760394799,30.8956760394799
2005,"SPRING",1.12544976129634,1.5886,-29.1546165619827,29.1546165619827
2006,"SPRING",1.19474687514801,1.3338,-10.4253354964753,10.4253354964753
2007,"SPRING",2.21865053876742,3.1683,-29.9734703542147,29.9734703542147
2008,"SPRING",1.04181907963301,1.3814,-24.582374429346,24.582374429346
2009,"SPRING",2.69007226613741,1.1574,132.423731306153,132.423731306153
2010,"SPRING",3.70928159259008,1.5736,135.719470805165,135.719470805165
2011,"SPRING",3.70134158342419,1.6078,130.211567572098,130.211567572098
2012,"SPRING",3.94364659346521,1.6638,137.0264811555,137.0264811555
2013,"SPRING",3.40358468225495,1.4769,130.454647048206,130.454647048206
2014,"SPRING",2.87957863324439,1.2176,136.496274083804,136.496274083804
2015,"SPRING",3.56535107987006,1.5304,132.968575527317,132.968575527317
2016,"SPRING",2.56665648606652,0.9419,172.49776898466,172.49776898466
2017,"SPRING",1.99836627811108,0.8221,143.08068095257,143.08068095257
2018,"SPRING",3.64342401263574,1.5302,138.101164072392,138.101164072392
2019,"SPRING",3.40404969820418,1.4422,136.031736111786,136.031736111786
2020,"SPRING",2.89504458716827,1.0482,176.192004118323,176.192004118323
