"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",13,0.0334539376470912,0.00882,279.296345205116,279.296345205116
2009,"FALL",15,0.0340453448974,0.00898,279.124107988864,279.124107988864
2009,"FALL",16,0.0198279747653933,0.00523,279.119976393754,279.119976393754
2009,"FALL",17,0.0229284593875742,0.00605,278.982799794614,278.982799794614
2009,"FALL",18,0.0129553064957969,0.00342,278.810131456049,278.810131456049
2009,"FALL",20,0.0150122971617819,0.00396,279.098413176311,279.098413176311
2009,"FALL",21,0.00350745581132125,0.00092,281.245196882745,281.245196882745
2009,"FALL",22,0.00984703412695279,0.0026,278.732081805876,278.732081805876
2009,"FALL",23,0.0264933009568181,0.00699,279.01718107036,279.01718107036
2009,"FALL",24,0.0075650491570261,0.002,278.252457851305,278.252457851305
2009,"FALL",25,0.0113141921844097,0.00298,279.670878671468,279.670878671468
2009,"FALL",26,0.00751898500941025,0.00198,279.746717646982,279.746717646982
2009,"FALL",27,0.0187268856687856,0.00494,279.086754428859,279.086754428859
2009,"FALL",28,0.00236901330595807,0.00062,282.098920315817,282.098920315817
2009,"FALL",29,0.0133276740237691,0.00351,279.705812642994,279.705812642994
2009,"FALL",30,0.00870859162158961,0.0023,278.634418329983,278.634418329983
2009,"FALL",31,0.015986891459707,0.00422,278.836290514385,278.836290514385
2009,"FALL",32,0.0319474605493479,0.00843,278.973434749085,278.973434749085
2009,"FALL",33,0.0127201208196786,0.00335,279.705099094884,279.705099094884
2009,"FALL",34,0.00855806056777352,0.00226,278.67524636166,278.67524636166
2009,"FALL",35,0.0162326765902002,0.00428,279.268144630845,279.268144630845
2009,"FALL",36,0.00236901330595807,0.00062,282.098920315817,282.098920315817
2009,"FALL",38,0.0166906858293521,0.0044,279.333768848911,279.333768848911
2009,"FALL",39,0.00638054250404706,0.00168,279.794196669468,279.794196669468
2009,"FALL",41,0.0167316500177676,0.00441,279.402494733959,279.402494733959
2009,"FALL",42,0.0103511075137205,0.00273,279.16144738903,279.16144738903
2009,"FALL",43,0.00874955581000513,0.00231,278.768649783772,278.768649783772
2009,"FALL",44,0.00236901330595807,0.00062,282.098920315817,282.098920315817
2009,"FALL",45,0.0207431792158566,0.00547,279.217170308164,279.217170308164
2009,"FALL",46,0.0127201208196786,0.00335,279.705099094884,279.705099094884
2009,"FALL",47,0.0150891341256367,0.00398,279.123973005946,279.123973005946
2009,"FALL",48,0.00401152919808899,0.00106,278.446150763113,278.446150763113
2009,"FALL",49,0.00621865992813993,0.00164,279.186580984142,279.186580984142
2009,"FALL",50,0.0103511075137205,0.00273,279.16144738903,279.16144738903
2009,"FALL",51,0.0184549725948233,0.00487,278.952209339288,278.952209339288
2009,"FALL",52,0.00420217836413991,0.00111,278.574627399991,278.574627399991
2009,"FALL",53,0.00802305839617799,0.00212,278.446150763113,278.446150763113
2009,"FALL",54,0.0115765783551151,0.00305,279.559946069347,279.559946069347
2009,"FALL",55,0.0035535199589371,0.00094,278.034038184798,278.034038184798
2009,"FALL",56,0.00858027006751688,0.00226,279.657967589242,279.657967589242
2009,"FALL",57,0.0143914033019533,0.0038,278.721139525087,278.721139525087
2009,"FALL",58,0.0279259899561356,0.00736,279.429211360539,279.429211360539
2009,"FALL",59,0.00786117582027085,0.00207,279.766947839172,279.766947839172
2009,"FALL",60,0.0113141921844097,0.00298,279.670878671468,279.670878671468
2009,"FALL",61,0.0164827391058291,0.00435,278.913542662738,278.913542662738
2009,"FALL",62,0.00633957831563154,0.00167,279.615468001888,279.615468001888
2009,"FALL",63,0.00730266298632074,0.00193,278.376320534753,278.376320534753
2009,"FALL",64,0.0035535199589371,0.00094,278.034038184798,278.034038184798
2009,"FALL",65,0.00644287011602524,0.0017,278.992359766191,278.992359766191
2009,"FALL",66,0.00209262842026296,0.00055,280.477894593265,280.477894593265
2009,"FALL",67,0.00842315842118424,0.00222,279.421550503795,279.421550503795
2009,"FALL",68,0.00446164172622103,0.00118,278.10523103568,278.10523103568
2009,"FALL",69,0.00407338676774457,0.00107,280.69035212566,280.69035212566
2009,"FALL",71,0.00236901330595807,0.00062,282.098920315817,282.098920315817
2009,"FALL",77,0.00616601518800753,0.00163,278.28314036856,278.28314036856
2009,"FALL",79,0.0167462918361169,0.00442,278.875380907623,278.875380907623
2009,"FALL",80,0.00209262842026296,0.00055,280.477894593265,280.477894593265
2009,"FALL",82,0.00842315842118424,0.00222,279.421550503795,279.421550503795
2009,"FALL",84,0.00842315842118424,0.00222,279.421550503795,279.421550503795
2009,"FALL",90,0.00832313341493268,0.00219,280.051754106515,280.051754106515
2009,"FALL",92,0.00407338676774457,0.00107,280.69035212566,280.69035212566
2009,"FALL",93,0.00633957831563154,0.00167,279.615468001888,279.615468001888
2009,"FALL",97,0.0167462918361169,0.00442,278.875380907623,278.875380907623
2010,"FALL",12,0.0124346876192732,0.00328,279.106329855891,279.106329855891
2010,"FALL",13,0.0259735986628236,0.00685,279.176622814943,279.176622814943
2010,"FALL",14,0.034482304786723,0.00909,279.343286982651,279.343286982651
2010,"FALL",15,0.0248075176688909,0.00654,279.319842031971,279.319842031971
2010,"FALL",16,0.0413695529145444,0.01091,279.189302608107,279.189302608107
2010,"FALL",17,0.0359971571840328,0.00949,279.316724805404,279.316724805404
2010,"FALL",18,0.025818296679433,0.00681,279.12329925746,279.12329925746
2010,"FALL",19,0.0308478435398323,0.00814,278.966136852977,278.966136852977
2010,"FALL",20,0.0439208486332109,0.01158,279.281939837745,279.281939837745
2010,"FALL",21,0.039752701333228,0.01048,279.319669210191,279.319669210191
2010,"FALL",22,0.0201708321817296,0.00532,279.15098085958,279.15098085958
2010,"FALL",23,0.0229149392611311,0.00604,279.38641160813,279.38641160813
