"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1980,"FALL",2,0.836360191903511,0.507,64.9625625056235,64.9625625056235
1980,"FALL",3,1.12499140817154,0.629,78.853959963679,78.853959963679
1980,"FALL",4,0.574733244565908,0.2984,92.6049747204785,92.6049747204785
1980,"FALL",5,0.460968508234949,0.3077,49.8110199008609,49.8110199008609
1980,"FALL",6,0.331055197885709,0.2094,58.0970381498132,58.0970381498132
1980,"FALL",8,0.0793094943657845,0.0465,70.5580523995366,70.5580523995366
1980,"FALL",9,0.0122212833209376,0.0072,69.7400461241335,69.7400461241335
1980,"FALL",13,0.0410594765416093,0.0241,70.3712719568849,70.3712719568849
1981,"FALL",1,3.67265994554202,2.1743,68.912291107116,68.912291107116
1981,"FALL",2,1.07036949928657,0.6121,74.8684037390243,74.8684037390243
1981,"FALL",3,1.26285697326672,0.7387,70.9566770362424,70.9566770362424
1981,"FALL",4,1.65044609078269,0.9818,68.104103766825,68.104103766825
1981,"FALL",5,0.786189720546944,0.4577,71.7696571000534,71.7696571000534
1981,"FALL",6,0.228730316289874,0.1222,87.177018240486,87.177018240486
1981,"FALL",7,0.400795640547768,0.2211,81.2734692662903,81.2734692662903
1981,"FALL",8,0.207505604624153,0.1337,55.2023968767035,55.2023968767035
1981,"FALL",9,0.0353315506576993,0.0207,70.6838196024121,70.6838196024121
1981,"FALL",10,0.0627045350187721,0.0368,70.3927582031852,70.3927582031852
1982,"FALL",1,3.75462715609879,2.1452,75.0245737506428,75.0245737506428
1982,"FALL",2,3.15679908874331,1.99,58.6331200373525,58.6331200373525
1982,"FALL",3,1.06444730473047,0.5285,101.409139967923,101.409139967923
1982,"FALL",4,0.865263995494458,0.4918,75.9381853384421,75.9381853384421
1982,"FALL",5,0.337167860978119,0.2566,31.3982310904596,31.3982310904596
1982,"FALL",6,0.333160292129125,0.1668,99.7363861685401,99.7363861685401
1982,"FALL",8,0.0556344557840668,0.0303,83.6120652939498,83.6120652939498
1983,"FALL",1,0.151467827755773,0.0895,69.2377963751649,69.2377963751649
1983,"FALL",2,0.73057216933107,0.5193,40.6840302967591,40.6840302967591
1983,"FALL",3,2.1258667311046,1.2166,74.7383471235081,74.7383471235081
1983,"FALL",4,1.13728841236316,0.5624,102.220556963578,102.220556963578
1983,"FALL",5,0.462620796565894,0.205,125.668681251656,125.668681251656
1983,"FALL",6,0.322782851351031,0.2257,43.0141122512321,43.0141122512321
1983,"FALL",7,0.0335856970360778,0.0922,-63.572996707074,63.572996707074
1983,"FALL",8,0.0335844017809456,0.023,46.0191381780241,46.0191381780241
1983,"FALL",9,0.169820124947082,0.0963,76.3448857186732,76.3448857186732
1984,"FALL",1,1.40281851696398,0.8227,70.5139804259126,70.5139804259126
1984,"FALL",2,1.71485842330313,1.0019,71.1606371197858,71.1606371197858
1984,"FALL",3,1.96187134455644,1.3349,46.9676638367247,46.9676638367247
1984,"FALL",4,2.32586970945376,1.2836,81.1989490069932,81.1989490069932
1984,"FALL",5,0.60411253222924,0.3031,99.3112940380205,99.3112940380205
1984,"FALL",6,0.286846445103412,0.1192,140.642990858567,140.642990858567
1984,"FALL",7,0,0.0184,-100,100
1984,"FALL",8,0.0637045993054098,0.0184,246.220648398966,246.220648398966
1985,"FALL",1,1.1586264579841,0.4115,181.561715184471,181.561715184471
1985,"FALL",2,2.1737031414748,0.8064,169.556441155109,169.556441155109
1985,"FALL",3,0.936892196719014,0.4984,87.9799752646497,87.9799752646497
1985,"FALL",4,0.138365570560429,0.0554,149.757347582001,149.757347582001
1985,"FALL",5,0.524358585777665,0.209,150.889275491706,150.889275491706
1986,"FALL",0,0.364683731998471,0.1471,147.915521412965,147.915521412965
1986,"FALL",1,2.60630327382467,1.0375,151.209954103583,151.209954103583
1986,"FALL",2,3.72460190175685,1.4584,155.389598310261,155.389598310261
1986,"FALL",3,0.766257149817461,0.3537,116.640415554838,116.640415554838
1986,"FALL",4,0.463105259610829,0.1861,148.847533374975,148.847533374975
1986,"FALL",5,0.109398865183512,0.044,148.633784507982,148.633784507982
1986,"FALL",6,0.055015020752066,0.0221,148.936745484462,148.936745484462
1986,"FALL",7,0.0529879288842812,0.0213,148.769619175029,148.769619175029
1986,"FALL",11,0.060126407917418,0.0242,148.456231063711,148.456231063711
1986,"FALL",13,0.0492713718499312,0.0198,148.84531237339,148.84531237339
1987,"FALL",0,0.0819979564002408,0.033,148.478655758306,148.478655758306
1987,"FALL",1,0.0704605078952606,0.0243,189.960937840579,189.960937840579
1987,"FALL",2,0.525262107400207,0.2195,139.299365558181,139.299365558181
1987,"FALL",3,0.604317770251259,0.2293,163.548962168015,163.548962168015
1987,"FALL",4,0.431783846406196,0.2049,110.72906120361,110.72906120361
1987,"FALL",5,0.260253006954789,0.0991,162.616555958415,162.616555958415
1987,"FALL",6,0.24050000789074,0.0966,148.964811481098,148.964811481098
1987,"FALL",7,0.122607645934034,0.0322,280.769086751657,280.769086751657
1987,"FALL",8,0.0601592625275927,0.0241,149.623495965115,149.623495965115
1988,"FALL",1,6.7668438538206,2.7287,147.987827676938,147.987827676938
1988,"FALL",2,1.43134254382411,0.5627,154.370453851805,154.370453851805
1988,"FALL",3,0.94239901862806,0.4247,121.897579144822,121.897579144822
1988,"FALL",4,0.405028850534352,0.1257,222.218655954139,222.218655954139
1988,"FALL",5,0.0409989466007617,0.0082,399.987153667826,399.987153667826
1988,"FALL",6,0.0566739594306242,0.0228,148.569997502738,148.569997502738
1988,"FALL",7,0.0566739594306242,0.0228,148.569997502738,148.569997502738
1989,"FALL",0,0.0579356968598409,0.0221,162.152474478918,162.152474478918
1989,"FALL",1,0.216978065594391,0.0884,145.450300446144,145.450300446144
1989,"FALL",2,2.53167913646631,1.0109,150.438137943052,150.438137943052
1989,"FALL",3,0,0.0444,-100,100
1989,"FALL",4,0.405192440008315,0.1174,245.13836457267,245.13836457267
1989,"FALL",5,0.120080071945652,0.0549,118.725085511205,118.725085511205
1989,"FALL",6,0.132293664656372,0.0549,140.972066769347,140.972066769347
1989,"FALL",7,0.0997765860848731,0.0382,161.195251531081,161.195251531081
1990,"FALL",1,0.191090183647613,0.0771,147.847190204426,147.847190204426
1990,"FALL",2,0.102751429769535,0.0405,153.707233998852,153.707233998852
