"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",8.16188244469654,1.922,324.655694313035,324.655694313035
1969,"FALL",10.984027918321,2.5865,324.667617178467,324.667617178467
1970,"FALL",29.810533245743,7.0198,324.663569414271,324.663569414271
1971,"FALL",6.48883908008044,1.528,324.662243460762,324.662243460762
1972,"FALL",6.95964281257597,1.6389,324.653292609431,324.653292609431
1973,"FALL",10.8689223302222,2.5594,324.666809807855,324.666809807855
1974,"FALL",5.76953331334576,1.3586,324.667548457659,324.667548457659
1975,"FALL",15.8932819358237,3.7426,324.658845076249,324.658845076249
1976,"FALL",23.4337755757232,5.5182,324.663397044747,324.663397044747
1977,"FALL",20.4264504168773,4.81,324.666328833208,324.666328833208
1978,"FALL",17.9383462491515,4.2241,324.66670412991,324.66670412991
1979,"FALL",21.4886089648906,5.0601,324.667673858037,324.667673858037
1980,"FALL",8.61714002442497,2.0292,324.657008891434,324.657008891434
1981,"FALL",23.3501987926424,5.4985,324.664886653495,324.664886653495
1982,"FALL",23.8220793833563,5.6096,324.666275373579,324.666275373579
1983,"FALL",12.8672966404667,3.03,324.663255460949,324.663255460949
1984,"FALL",20.8166031115793,4.9019,324.663969309437,324.663969309437
1985,"FALL",12.2805454217649,1.9807,520.010371170033,520.010371170033
1986,"FALL",20.5468597698728,3.3139,520.020512685138,520.020512685138
1987,"FALL",5.9693818580342,0.9628,520.002270256979,520.002270256979
1988,"FALL",24.1529032193501,3.8956,520.004703238272,520.004703238272
1989,"FALL",8.87419979742323,1.4313,520.009767164342,520.009767164342
1990,"FALL",3.13699861923669,0.506,519.960201430176,519.960201430176
1991,"FALL",2.11759296896524,0.3119,578.933302008733,578.933302008733
1992,"FALL",4.25869818815331,0.6869,519.988089700584,519.988089700584
1993,"FALL",7.5557777189855,1.2186,520.037561052478,520.037561052478
1994,"FALL",5.25574624597184,0.8477,520.000736813948,520.000736813948
1995,"FALL",16.9820058935109,2.739,520.007517105181,520.007517105181
1996,"FALL",9.1635366809821,1.478,519.995715898653,519.995715898653
1997,"FALL",11.0280101166842,1.7787,520.003942018566,520.003942018566
1998,"FALL",21.6879519212382,3.498,520.010060641457,520.010060641457
1999,"FALL",15.1745115533587,2.4475,520.000472047343,520.000472047343
2000,"FALL",28.5440336544851,4.6038,520.01028833757,520.01028833757
2001,"FALL",37.7152179572158,6.083,520.010158757452,520.010158757452
2002,"FALL",28.9586966372255,4.6707,520.007635626898,520.007635626898
2003,"FALL",14.6130548309036,2.3569,520.011660694287,520.011660694287
2004,"FALL",31.0608436431408,5.0097,520.014045614323,520.014045614323
2005,"FALL",12.0340854598493,1.941,519.994098910319,519.994098910319
2006,"FALL",8.45143145207034,1.3631,520.015512586775,520.015512586775
2007,"FALL",13.2294199035735,2.1337,520.02249161426,520.02249161426
2008,"FALL",28.3996387407828,4.5805,520.011761615168,520.011761615168
2009,"FALL",14.2201969046269,6.5785,116.16169194538,116.16169194538
2010,"FALL",5.297550171515,2.3802,122.567438514201,122.567438514201
2011,"FALL",11.8552030719643,5.4792,116.36740896416,116.36740896416
2012,"FALL",11.3349078223724,5.2398,116.323291392274,116.323291392274
2013,"FALL",4.09326596208534,2.109,94.0856312036673,94.0856312036673
2014,"FALL",1.27456600337242,0.6851,86.0408704382457,86.0408704382457
2015,"FALL",8.26275211162173,4.3751,88.8585886407564,88.8585886407564
2016,"FALL",2.75035016842812,1.2374,122.268479750131,122.268479750131
2017,"FALL",1.03526186424655,0.4587,125.694760027589,125.694760027589
2018,"FALL",2.14721119304216,0.915,134.667889949963,134.667889949963
2019,"FALL",5.12092425171997,2.0123,154.481153492023,154.481153492023
