"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",5.73787795898657,1.8329,213.049154835865,213.049154835865
1969,"FALL",7.93121441352492,2.5387,212.41243209221,212.41243209221
1970,"FALL",24.1958587030062,7.7291,213.048850487201,213.048850487201
1971,"FALL",4.13415069582083,1.3226,212.577551475943,212.577551475943
1972,"FALL",4.86954979411609,1.5555,213.053667252722,213.053667252722
1973,"FALL",7.20924650746764,2.3029,213.050784118617,213.050784118617
1974,"FALL",4.85685043593874,1.5516,213.022069859419,213.022069859419
1975,"FALL",6.539808245594,2.0924,212.550575683139,212.550575683139
1976,"FALL",11.3485178691473,3.6251,213.053925937141,213.053925937141
1977,"FALL",12.4425497139645,3.9752,213.004369942757,213.004369942757
1978,"FALL",10.8776371687913,3.4747,213.052556157115,213.052556157115
1979,"FALL",12.775219919216,4.0809,213.049080330711,213.049080330711
1980,"FALL",7.26441323414886,2.3205,213.053791603054,213.053791603054
1981,"FALL",13.7980926213399,4.4087,212.974178813253,212.974178813253
1982,"FALL",10.3929419989941,3.3199,213.049850868825,213.049850868825
1983,"FALL",9.03206992261423,2.8852,213.04831285922,213.04831285922
1984,"FALL",10.2655809330938,3.2792,213.051382443701,213.051382443701
1985,"FALL",5.14861814109157,1.1837,334.959714546893,334.959714546893
1986,"FALL",8.70577810236087,2.0007,335.136607305487,335.136607305487
1987,"FALL",4.49388503186235,1.0327,335.158810096093,335.158810096093
1988,"FALL",5.62199195713115,1.292,335.13869637238,335.13869637238
1989,"FALL",4.19654140151257,0.9644,335.145313304912,335.145313304912
1990,"FALL",1.46152629213084,0.3359,335.107559431628,335.107559431628
1991,"FALL",1.05185769081112,0.2404,337.544796510448,337.544796510448
1992,"FALL",1.63379211616563,0.3755,335.097767287783,335.097767287783
1993,"FALL",3.37268861033844,0.7751,335.129481400908,335.129481400908
1994,"FALL",2.42813488320821,0.558,335.149620646632,335.149620646632
1995,"FALL",7.06425008560615,1.6234,335.151539091176,335.151539091176
1996,"FALL",7.29241181954749,1.6759,335.134066444745,335.134066444745
1997,"FALL",6.76009578268104,1.5536,335.124599812116,335.124599812116
1998,"FALL",14.776926554043,3.3959,335.140214789687,335.140214789687
1999,"FALL",10.7619802937417,2.4732,335.143954946698,335.143954946698
2000,"FALL",20.9605067351434,4.817,335.136116569304,335.136116569304
2001,"FALL",21.0936923069213,4.8476,335.136816299226,335.136816299226
2002,"FALL",24.3864454017296,5.6043,335.138115406556,335.138115406556
2003,"FALL",12.8713216390203,2.958,335.135958046663,335.135958046663
2004,"FALL",17.6872243832664,4.0647,335.142184743435,335.142184743435
2005,"FALL",9.17791113057742,2.1092,335.137072377082,335.137072377082
2006,"FALL",6.17782329543631,1.4197,335.149911631775,335.149911631775
2007,"FALL",8.6976541174493,1.9988,335.143792147753,335.143792147753
2008,"FALL",11.7625282484123,2.7032,335.133480630819,335.133480630819
2009,"FALL",10.1193983851737,5.1943,94.8173649033305,94.8173649033305
2010,"FALL",3.45156194797828,1.826,89.0231077753715,89.0231077753715
2011,"FALL",8.80003477981337,4.6339,89.9055823348231,89.9055823348231
2012,"FALL",8.47702813365496,4.4341,91.1781000350683,91.1781000350683
2013,"FALL",3.59339430276932,1.8973,89.3951564206673,89.3951564206673
2014,"FALL",1.29192471629605,0.6981,85.0629875800096,85.0629875800096
2015,"FALL",7.53283854785249,4.0041,88.1281323606427,88.1281323606427
2016,"FALL",2.18546814914281,1.1494,90.1399120534897,90.1399120534897
2017,"FALL",1.10761296356319,0.4742,133.575066124671,133.575066124671
2018,"FALL",1.84548359668314,0.8469,117.910449484372,117.910449484372
2019,"FALL",2.98356222425442,1.3818,115.918528314837,115.918528314837
