"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",11.2880850781946,2.6581,324.667434565842,324.667434565842
1969,"SPRING",12.5274128846933,2.95,324.658063887909,324.658063887909
1970,"SPRING",7.67516714245199,1.8073,324.675877964477,324.675877964477
1971,"SPRING",7.26264493558059,1.7102,324.666409518219,324.666409518219
1972,"SPRING",19.9922414445283,4.7078,324.662080898259,324.662080898259
1973,"SPRING",11.4795826432218,1.3382,757.837591034358,757.837591034358
1974,"SPRING",27.3476776671259,3.1881,757.804889028759,757.804889028759
1975,"SPRING",7.92480058828296,0.9238,757.848082732514,757.848082732514
1976,"SPRING",19.1447046065959,2.2318,757.814526686796,757.814526686796
1977,"SPRING",18.9583984928288,2.2101,757.807270839726,757.807270839726
1978,"SPRING",27.8867456851147,3.2509,757.816164296492,757.816164296492
1979,"SPRING",6.8145417498582,0.7944,757.822476064728,757.822476064728
1980,"SPRING",13.982738556843,1.63,757.836721278715,757.836721278715
1981,"SPRING",16.449419352453,1.9176,757.812857345273,757.812857345273
1982,"SPRING",10.2705829600519,2.4185,324.667478191105,324.667478191105
1983,"SPRING",35.2053913078357,8.2902,324.662750088486,324.662750088486
1984,"SPRING",21.7526659239343,5.1223,324.665988402363,324.665988402363
1985,"SPRING",21.9581641682198,3.5416,520.006894291274,520.006894291274
1986,"SPRING",12.9995028081193,2.0967,519.998226170615,519.998226170615
1987,"SPRING",16.1527875123572,2.6052,520.021016135313,520.021016135313
1988,"SPRING",16.6418947897253,2.6841,520.017688973038,520.017688973038
1989,"SPRING",7.77224448991168,1.2536,519.993976540498,519.993976540498
1990,"SPRING",16.4477493261566,2.6528,520.014676046315,520.014676046315
1991,"SPRING",13.6715194271129,2.205,520.023556785164,520.023556785164
1992,"SPRING",8.3108436026254,1.3404,520.027126426843,520.027126426843
1993,"SPRING",6.21584181994976,1.0025,520.034096753094,520.034096753094
1994,"SPRING",7.73199678713233,1.2471,519.998138652259,519.998138652259
1995,"SPRING",14.9919343529698,2.418,520.013827666244,520.013827666244
1996,"SPRING",13.1637620006482,2.1232,519.996326330456,519.996326330456
1997,"SPRING",9.15755255651892,1.477,520.010328809676,520.010328809676
1998,"SPRING",4.84750365853659,0.7818,520.043957346711,520.043957346711
1999,"SPRING",22.0994721221943,3.5644,520.005390029018,520.005390029018
2000,"SPRING",26.3633673438133,4.2521,520.008168759279,520.008168759279
2001,"SPRING",7.76681300380845,1.2527,520.005827716807,520.005827716807
2002,"SPRING",29.3429365991411,4.7327,520.004154058805,520.004154058805
2003,"SPRING",7.54442351268131,1.2168,520.021656203263,520.021656203263
2004,"SPRING",2.61851219350134,0.4223,520.059719038915,520.059719038915
2005,"SPRING",6.19245237825136,0.9988,519.98922489501,519.98922489501
2006,"SPRING",3.56686194797828,0.5753,520.00033860217,520.00033860217
2007,"SPRING",4.62577286767685,0.7461,519.99368284102,519.99368284102
2008,"SPRING",45.5453834130135,7.3459,520.01093689015,520.01093689015
2009,"SPRING",8.59769248973932,2.6835,220.39100017661,220.39100017661
2010,"SPRING",5.0630102523142,2.085,142.830227928738,142.830227928738
2011,"SPRING",4.73139669934905,1.8644,153.775836695401,153.775836695401
2012,"SPRING",5.55359641304054,2.597,113.84660812632,113.84660812632
2013,"SPRING",7.36958724499442,3.3724,118.526486923094,118.526486923094
2014,"SPRING",8.64467936919521,4.3357,99.3837066493348,99.3837066493348
2015,"SPRING",1.08510752003581,0.553,96.2219746900195,96.2219746900195
2016,"SPRING",2.2906286053843,1.0049,127.945925503463,127.945925503463
2017,"SPRING",3.8506688892233,1.8058,113.23894613043,113.23894613043
2018,"SPRING",0.858210252594824,0.3367,154.888699909363,154.888699909363
2019,"SPRING",1.29854704218613,0.5063,156.477788304588,156.477788304588
