"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",9.35824479829205,2.9996,211.983091021871,211.983091021871
1969,"SPRING",12.580318925502,4.0186,213.052280035385,213.052280035385
1970,"SPRING",6.88263665566648,2.1986,213.046332014304,213.046332014304
1971,"SPRING",6.39262145023004,2.0525,211.455369073327,211.455369073327
1972,"SPRING",15.3407685339925,4.9004,213.051353644447,213.051353644447
1973,"SPRING",10.0751885039642,1.7381,479.666791551936,479.666791551936
1974,"SPRING",18.3957566593534,3.1705,480.216264291228,480.216264291228
1975,"SPRING",4.17076227248503,0.7512,455.213295059243,455.213295059243
1976,"SPRING",9.15349090927081,1.572,482.283136722062,482.283136722062
1977,"SPRING",6.91672315907229,1.1879,482.264766316381,482.264766316381
1978,"SPRING",14.6541739271444,2.5167,482.277344425016,482.277344425016
1979,"SPRING",6.35713415844961,1.0918,482.261784067559,482.261784067559
1980,"SPRING",8.46778511736056,1.4543,482.258482937534,482.258482937534
1981,"SPRING",11.6624254505163,2.003,482.247900674805,482.247900674805
1982,"SPRING",4.92263910544148,1.5725,213.045412110746,213.045412110746
1983,"SPRING",21.7047874596408,6.9333,213.051324183877,213.051324183877
1984,"SPRING",16.352935904897,5.2237,213.052738574132,213.052738574132
1985,"SPRING",10.6247849138211,2.4417,335.138834165587,335.138834165587
1986,"SPRING",5.47976247562488,1.2593,335.143530185411,335.143530185411
1987,"SPRING",5.04977255057667,1.1605,335.137660540859,335.137660540859
1988,"SPRING",6.58089829909876,1.5124,335.129482881431,335.129482881431
1989,"SPRING",3.16558388069578,0.7275,335.131804906637,335.131804906637
1990,"SPRING",6.43919239186676,1.4798,335.139369635543,335.139369635543
1991,"SPRING",5.26579680166383,1.2101,335.153855190797,335.153855190797
1992,"SPRING",3.61274898738262,0.8303,335.113692325981,335.113692325981
1993,"SPRING",2.50981276592929,0.5768,335.127039862914,335.127039862914
1994,"SPRING",2.45839241236529,0.565,335.11370130359,335.11370130359
1995,"SPRING",5.99138010617004,1.3781,334.756556575723,334.756556575723
1996,"SPRING",6.00582677693326,1.3802,335.141774882862,335.141774882862
1997,"SPRING",4.75846890187181,1.0935,335.159478909173,335.159478909173
1998,"SPRING",3.10391197367114,0.7133,335.148180803469,335.148180803469
1999,"SPRING",13.9789751254226,3.2125,335.143194565683,335.143194565683
2000,"SPRING",15.4272461318964,3.5454,335.134149373735,335.134149373735
2001,"SPRING",5.0263831653409,1.1551,335.147014573708,335.147014573708
2002,"SPRING",20.972279429989,4.8197,335.136614934312,335.136614934312
2003,"SPRING",5.65249917297737,1.299,335.142353577935,335.142353577935
2004,"SPRING",2.21211841938514,0.5084,335.113772499044,335.113772499044
2005,"SPRING",3.48108277441747,0.8,335.135346802184,335.135346802184
2006,"SPRING",2.15097274336169,0.4943,335.155319312501,335.155319312501
2007,"SPRING",2.97279516514653,0.6832,335.128097942993,335.128097942993
2008,"SPRING",23.5909559796379,5.4215,335.137065012227,335.137065012227
2009,"SPRING",3.23362583361951,1.3584,138.046660307679,138.046660307679
2010,"SPRING",2.77922489109087,1.3594,104.444967713025,104.444967713025
2011,"SPRING",2.32411602247252,1.1536,101.466368106148,101.466368106148
2012,"SPRING",3.61652362765488,2.0149,79.4889884190223,79.4889884190223
2013,"SPRING",4.52446518573397,2.5466,77.6668964789903,77.6668964789903
2014,"SPRING",6.39505398960492,3.4512,85.2994317803928,85.2994317803928
2015,"SPRING",1.01709382160124,0.5024,102.447018630821,102.447018630821
2016,"SPRING",1.66305387770536,0.8322,99.8382453383038,99.8382453383038
2017,"SPRING",3.57445083480925,1.8214,96.2474379493384,96.2474379493384
2018,"SPRING",0.579653969399857,0.2837,104.319340641472,104.319340641472
2019,"SPRING",0.941982816666088,0.4096,129.976273600119,129.976273600119
