"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",22.6194444444444,13.1559,71.9338429483688,71.9338429483688
2010,"FALL",27.1097574925646,15.8164,71.402831823706,71.402831823706
2011,"FALL",18.0925836030205,9.869,83.3274253016567,83.3274253016567
2012,"FALL",15.0371628910464,8.121,85.1639316715477,85.1639316715477
2013,"FALL",16.428640776699,4.5337,262.367178611267,262.367178611267
2014,"FALL",13.7059331175836,6.728,103.714820415928,103.714820415928
2015,"FALL",18.7622437971953,8.0816,132.160015308791,132.160015308791
2016,"FALL",16.2335490830636,8.3079,95.3989465817312,95.3989465817312
2017,"FALL",8.05699249804053,4.5329,77.7447660005853,77.7447660005853
2018,"FALL",15.2545361380798,6.7495,126.009869443364,126.009869443364
2019,"FALL",12.6695523193096,6.4535,96.3206371629287,96.3206371629287
