"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",6.59626944444445,3.1622,108.597477845944,108.597477845944
2010,"FALL",6.91232289521849,3.3136,108.604626243919,108.604626243919
2011,"FALL",5.44777839805825,2.6116,108.599264744151,108.599264744151
2012,"FALL",3.84891402373247,1.8451,108.601919881441,108.601919881441
2013,"FALL",2.68493414239482,1.2871,108.603382984603,108.603382984603
2014,"FALL",4.18745507011866,2.0074,108.600930064694,108.600930064694
2015,"FALL",4.17477610571737,2.0013,108.60321319729,108.60321319729
2016,"FALL",4.08330854908306,1.9575,108.598137884192,108.598137884192
2017,"FALL",2.61762193483373,1.2549,108.592073857178,108.592073857178
2018,"FALL",3.4013109600863,1.6305,108.605394669506,108.605394669506
2019,"FALL",3.32889813915858,1.5958,108.603718458364,108.603718458364
