"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",2.69018421992146,0.6593,308.036435601616,308.036435601616
1974,"SPRING",3.71729760799714,0.911,308.045840614396,308.045840614396
1975,"SPRING",0.409207553366174,0.1003,307.983602558499,307.983602558499
1976,"SPRING",3.8031097465191,0.9321,308.015207222304,308.015207222304
1977,"SPRING",5.8786203396746,1.4407,308.039171213619,308.039171213619
1978,"SPRING",2.42274516244198,0.5938,308.006932038057,308.006932038057
1979,"SPRING",18.3075596820783,4.4867,308.040646401104,308.040646401104
1980,"SPRING",22.7939408253563,5.5862,308.040185194879,308.040185194879
1981,"SPRING",26.3632193788556,6.4609,308.042523160172,308.042523160172
2009,"SPRING",15.0345276621976,7.8022,92.6960044884464,92.6960044884464
2010,"SPRING",14.566046386192,4.9974,191.472493420419,191.472493420419
2011,"SPRING",11.1409978425027,3.3446,233.104043607687,233.104043607687
2012,"SPRING",17.9923732470334,7.9626,125.961033419153,125.961033419153
2013,"SPRING",15.1957793959008,5.6253,170.132782178742,170.132782178742
2014,"SPRING",18.3933117583603,7.8768,133.512489314954,133.512489314954
2015,"SPRING",16.3576321467098,5.5403,195.248130005773,195.248130005773
2016,"SPRING",30.7464940668824,10.3317,197.593755789293,197.593755789293
2017,"SPRING",18.6052750809062,6.4362,189.072357616391,189.072357616391
2018,"SPRING",22.1033171521036,8.3783,163.816253322316,163.816253322316
2019,"SPRING",10.8487810140237,4.2254,156.751574147388,156.751574147388
