"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1971,"SPRING",1.01549979174104,1.026,-1.0234121110093,1.0234121110093
1973,"SPRING",1.17284488039986,0.3498,235.290131618027,235.290131618027
1974,"SPRING",1.58645349875045,0.4883,224.893200645187,224.893200645187
1975,"SPRING",0.150666413793103,0.046,227.535682158921,227.535682158921
1976,"SPRING",2.45992430229,0.7114,245.786379292943,245.786379292943
1977,"SPRING",2.89053970214719,0.8355,245.965254595714,245.965254595714
1978,"SPRING",0.841247254551946,0.2441,244.632222266262,244.632222266262
1979,"SPRING",5.98629778997793,1.7304,245.948785828591,245.948785828591
1980,"SPRING",8.27218281365667,2.3911,245.957208550737,245.957208550737
1981,"SPRING",7.33955792278239,2.1215,245.960778825472,245.960778825472
2009,"SPRING",3.50922968099861,1.6823,108.597139689628,108.597139689628
2010,"SPRING",2.46235204962244,1.1804,108.603189564761,108.603189564761
2011,"SPRING",1.59993117044229,0.767,108.59598050095,108.59598050095
2012,"SPRING",3.47875289104639,1.6677,108.595844039479,108.595844039479
2013,"SPRING",2.48498136461704,1.1913,108.594087519268,108.594087519268
2014,"SPRING",3.52595625674218,1.6903,108.599435410411,108.599435410411
2015,"SPRING",2.93729981121899,1.4081,108.600228053333,108.600228053333
2016,"SPRING",4.72484174757282,2.265,108.602284661051,108.602284661051
2017,"SPRING",2.90036916936354,1.3904,108.599623803477,108.599623803477
2018,"SPRING",3.73531957928803,1.7907,108.595497810243,108.595497810243
2019,"SPRING",2.0666598759439,0.9907,108.606023614001,108.606023614001
