"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1980,"SPRING",2,2.21409949167344,1.6685,32.6999995009555,32.6999995009555
1980,"SPRING",3,3.33995658297481,2.3454,42.4045613957027,42.4045613957027
1980,"SPRING",4,1.11777379280097,0.8853,26.2593237095866,26.2593237095866
1980,"SPRING",5,0.716604669679701,0.4816,48.7966506810011,48.7966506810011
1980,"SPRING",6,0.258019031961669,0.1406,83.5128250082991,83.5128250082991
1980,"SPRING",7,0.0347748161536434,0.027,28.7956153838643,28.7956153838643
1980,"SPRING",8,0.0476271774020048,0.0379,25.6653757308833,25.6653757308833
1981,"SPRING",1,0.782664945278683,0.6725,16.3814045024064,16.3814045024064
1981,"SPRING",2,3.62514936053498,2.5038,44.7858998536219,44.7858998536219
1981,"SPRING",3,0.925397193318026,0.6126,51.0605930979474,51.0605930979474
1981,"SPRING",4,2.76909501438389,2.0617,34.3112486968952,34.3112486968952
1981,"SPRING",5,0.493885874712439,0.348,41.9212283656435,41.9212283656435
1981,"SPRING",6,0.225531776161369,0.2114,6.68485154274786,6.68485154274786
1981,"SPRING",7,0.0592214135170831,0.0255,132.240837321894,132.240837321894
1981,"SPRING",8,0.0581631223700657,0.0255,128.090675961042,128.090675961042
1982,"SPRING",1,0.15606984711745,0.2077,-24.8580418307894,24.8580418307894
1982,"SPRING",2,1.26205497387095,1.8766,-32.7477899461289,32.7477899461289
1982,"SPRING",3,2.61049949715442,3.4647,-24.6543857432268,24.6543857432268
1982,"SPRING",4,0.138031244384784,0.8075,-82.9063474446088,82.9063474446088
1982,"SPRING",5,0.944663168295151,1.1071,-14.6722817907008,14.6722817907008
1982,"SPRING",8,0.0938427211854289,0.1321,-28.9608469451712,28.9608469451712
1982,"SPRING",10,0.0240524901902485,0.0372,-35.3427683057836,35.3427683057836
1982,"SPRING",12,0.024045903508692,0.0371,-35.1862439118813,35.1862439118813
1983,"SPRING",2,0.776167926723375,1.1259,-31.0624454460099,31.0624454460099
1983,"SPRING",3,3.09427474765783,4.4001,-29.6771721629548,29.6771721629548
1983,"SPRING",4,1.89940557446125,2.7626,-31.2457259660736,31.2457259660736
1983,"SPRING",5,1.05963879633902,1.6437,-35.5333213883911,35.5333213883911
1983,"SPRING",6,0.674107010855885,1.0153,-33.6051402683064,33.6051402683064
1983,"SPRING",7,0.875118398201486,1.2389,-29.3632740171535,29.3632740171535
1983,"SPRING",8,0.0919799516322521,0.1046,-12.0650558009062,12.0650558009062
1983,"SPRING",11,0,0.0759,-100,100
1984,"SPRING",2,0.8435636303022,1.3397,-37.0333932744495,37.0333932744495
1984,"SPRING",3,1.23003634050708,1.6558,-25.7134714031233,25.7134714031233
1984,"SPRING",4,0.65740674015868,0.97,-32.2261092619917,32.2261092619917
1984,"SPRING",5,0.40819368073594,0.6185,-34.0026385228877,34.0026385228877
1984,"SPRING",6,0.0745010628392802,0.1084,-31.2720822515865,31.2720822515865
1984,"SPRING",7,0.182580856246491,0.2665,-31.4893597574143,31.4893597574143
1984,"SPRING",8,0.0203607408764696,0.0297,-31.4453169142437,31.4453169142437
1984,"SPRING",9,0.114068499067743,0.1665,-31.4903909503048,31.4903909503048
1985,"SPRING",2,0.543470691000508,0.5228,3.95384296107645,3.95384296107645
1985,"SPRING",3,1.37175143005348,1.4713,-6.76602799881202,6.76602799881202
1985,"SPRING",4,0.625509509974935,0.5914,5.7675870772632,5.7675870772632
1985,"SPRING",5,0.644248297332799,0.5908,9.04676664400797,9.04676664400797
1985,"SPRING",6,0.0901527371392315,0.0864,4.34344576299941,4.34344576299941
1985,"SPRING",7,0.137517981694048,0.1521,-9.58712577643107,9.58712577643107
1985,"SPRING",8,0.0452572039640318,0.0433,4.52010153356068,4.52010153356068
