"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1980,"SPRING",1,1.96122266466311,1.4174,38.3676213251803,38.3676213251803
1980,"SPRING",2,6.3455642655667,4.5591,39.1845817281197,39.1845817281197
1980,"SPRING",3,2.75851423291508,2.0198,36.5736326822001,36.5736326822001
1980,"SPRING",4,0.296380102991461,0.2187,35.5190228584643,35.5190228584643
1980,"SPRING",5,0.113670324224537,0.0689,64.9786998904749,64.9786998904749
1980,"SPRING",6,0.0156562092583693,0.0218,-28.1825263377557,28.1825263377557
1981,"SPRING",1,1.06065757098591,0.7405,43.2353235632563,43.2353235632563
1981,"SPRING",2,5.84755682255382,4.2775,36.7050104629766,36.7050104629766
1981,"SPRING",3,5.40322050149042,3.8911,38.8610033535613,38.8610033535613
1981,"SPRING",4,0.640140400268217,0.4526,41.4362351454301,41.4362351454301
1981,"SPRING",5,0.140500029420487,0.1007,39.5233658594708,39.5233658594708
1981,"SPRING",6,0.0101829631679377,0.0074,37.6076103775369,37.6076103775369
1981,"SPRING",7,0.0162954391508518,0.0122,33.569173367638,33.569173367638
1982,"SPRING",1,0.88974622950775,1.1202,-20.5725558375513,20.5725558375513
1982,"SPRING",2,1.65144602700433,2.6011,-36.5097063932824,36.5097063932824
1982,"SPRING",3,0.791282372138812,1.1501,-31.1988199166323,31.1988199166323
1982,"SPRING",4,0.257711280868929,0.3483,-26.0088197332962,26.0088197332962
1982,"SPRING",5,0.0685646032301282,0.1235,-44.4821026476695,44.4821026476695
1982,"SPRING",6,0.0289874360929135,0.0422,-31.3093931447546,31.3093931447546
1982,"SPRING",7,0.0192239426802596,0.0269,-28.535529069667,28.535529069667
1983,"SPRING",1,0.240492565125022,0.4022,-40.2057272190397,40.2057272190397
1983,"SPRING",2,0.643492968203008,0.8357,-22.9995251641728,22.9995251641728
1983,"SPRING",3,1.20830484061469,1.8028,-32.9762125241464,32.9762125241464
1983,"SPRING",4,0.608824144694178,0.8713,-30.1246247338256,30.1246247338256
1983,"SPRING",5,0.416911870891211,0.5921,-29.5875914725197,29.5875914725197
1983,"SPRING",6,0.190936908326882,0.3164,-39.6533159523128,39.6533159523128
