"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",11.8628835177117,2.7935,324.660229737307,324.660229737307
1969,"SPRING",27.3818971017357,6.4479,324.663799093281,324.663799093281
1970,"SPRING",13.2481447597286,3.1197,324.660857125001,324.660857125001
1971,"SPRING",9.87755155428716,2.326,324.658278344246,324.658278344246
1972,"SPRING",9.05571671979223,2.1324,324.672515465777,324.672515465777
1973,"SPRING",22.5310187394847,3.8391,486.882830337442,486.882830337442
1974,"SPRING",13.8487868240735,2.1606,540.9694910707,540.9694910707
1975,"SPRING",5.03616547567604,0.6625,660.175920856761,660.175920856761
1976,"SPRING",13.0593275774124,1.5224,757.8118482273,757.8118482273
1977,"SPRING",15.6301832639406,1.8221,757.811495743408,757.811495743408
1978,"SPRING",28.2253084919318,3.2904,757.807819472764,757.807819472764
1979,"SPRING",11.6491484284817,1.358,757.816526397772,757.816526397772
1980,"SPRING",71.2453974584194,8.3054,757.820182753623,757.820182753623
1981,"SPRING",81.3363449630062,9.4817,757.824493107841,757.824493107841
1982,"SPRING",22.9835344236325,5.4122,324.661587222063,324.661587222063
1983,"SPRING",20.9785552957075,4.94,324.66711124914,324.66711124914
1984,"SPRING",17.7219927759958,4.1732,324.661956675832,324.661956675832
1985,"SPRING",29.9456584645317,4.8299,520.005765430583,520.005765430583
1986,"SPRING",13.3364154839309,2.151,520.010017848949,520.010017848949
1987,"SPRING",10.2569620524704,1.6543,520.018258627239,520.018258627239
1988,"SPRING",12.7108916112957,2.0501,520.01324868522,520.01324868522
1989,"SPRING",13.240019703857,2.1355,519.996239937109,519.996239937109
1990,"SPRING",13.5757731246086,2.1896,520.01156031278,520.01156031278
1991,"SPRING",14.5026644866342,2.3391,520.010452166823,520.010452166823
1992,"SPRING",9.44426411562496,1.5232,520.027843725378,520.027843725378
1993,"SPRING",5.87038617254291,0.9468,520.023888101279,520.023888101279
1994,"SPRING",9.9768104990224,1.6091,520.024268163719,520.024268163719
1995,"SPRING",13.0874319575288,2.1108,520.022359177979,520.022359177979
1996,"SPRING",9.9384490114793,1.603,519.99058087831,519.99058087831
1997,"SPRING",9.34837635387907,1.5078,520.001084618588,520.001084618588
1998,"SPRING",16.3916680301012,2.6438,520.004086167681,520.004086167681
1999,"SPRING",26.6103627636813,4.2919,520.013578221331,520.013578221331
2000,"SPRING",20.6203102169246,3.3258,520.01053030623,520.01053030623
2001,"SPRING",10.4751374022305,1.6895,520.014051626548,520.014051626548
2002,"SPRING",11.1898125687194,1.8048,520.002912717166,520.002912717166
2003,"SPRING",4.6258288505233,0.7461,520.001186238213,520.001186238213
2004,"SPRING",7.31353997024477,1.1796,520.001692967512,520.001692967512
2005,"SPRING",6.31963651451063,1.0193,519.99769591981,519.99769591981
2006,"SPRING",11.885243002313,1.9169,520.024153701967,520.024153701967
2007,"SPRING",5.40168648617306,0.8712,520.028292719589,520.028292719589
2008,"SPRING",8.26273080389889,1.3327,519.99930996465,519.99930996465
2009,"SPRING",3.63856231283998,1.129,222.281870047828,222.281870047828
2010,"SPRING",4.14736069756644,1.1663,255.599819734755,255.599819734755
2011,"SPRING",2.29273325694294,0.7157,220.348366206921,220.348366206921
2012,"SPRING",3.97648663097049,1.263,214.844547186895,214.844547186895
2013,"SPRING",1.55920064122497,0.5142,203.228440533834,203.228440533834
2014,"SPRING",2.41309374720458,0.6865,251.506736664906,251.506736664906
2015,"SPRING",1.81791624602252,0.4555,299.103456865536,299.103456865536
2016,"SPRING",7.08762738240778,2.0335,248.543269358632,248.543269358632
2017,"SPRING",4.31205963704622,1.3279,224.727738312088,224.727738312088
2018,"SPRING",2.32033276679488,0.7004,231.28680279767,231.28680279767
2019,"SPRING",0.843987024991588,0.2613,222.995417141825,222.995417141825
2020,"SPRING",0.571929417227769,0.191,199.439485459565,199.439485459565
