"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",2.674957525707,0.8545,213.043595752721,213.043595752721
1969,"SPRING",12.218451116669,3.903,213.052808523417,213.052808523417
1970,"SPRING",4.74330015602225,1.5152,213.0477927681,213.0477927681
1971,"SPRING",2.73528731862646,0.8738,213.033568165079,213.033568165079
1972,"SPRING",2.40698517726008,0.7689,213.042681396811,213.042681396811
1973,"SPRING",4.46993675833492,1.04,329.801611378358,329.801611378358
1974,"SPRING",3.1713943527892,0.7495,323.134670151994,323.134670151994
1975,"SPRING",1.19401881893972,0.219,445.214072575215,445.214072575215
1976,"SPRING",2.56996490125947,0.4414,482.230380892494,482.230380892494
1977,"SPRING",3.4938687579533,0.6,482.311459658884,482.311459658884
1978,"SPRING",5.53741020099397,0.951,482.272366035118,482.272366035118
1979,"SPRING",3.07003758477019,0.5273,482.218392711965,482.218392711965
1980,"SPRING",12.1106325115757,2.0799,482.269941419091,482.269941419091
1981,"SPRING",15.6139614284301,2.6816,482.26288143012,482.26288143012
1982,"SPRING",4.27735088154612,1.3663,213.060885716616,213.060885716616
1983,"SPRING",6.11484951141515,1.9533,213.052245503259,213.052245503259
1984,"SPRING",4.33198275236902,1.3838,213.049772537146,213.049772537146
1985,"SPRING",7.08922461749113,1.6292,335.135319021061,335.135319021061
1986,"SPRING",3.22240687420145,0.7405,335.166357083248,335.166357083248
1987,"SPRING",2.23941382470831,0.5146,335.175636359951,335.175636359951
1988,"SPRING",3.0661880946755,0.7046,335.167200493259,335.167200493259
1989,"SPRING",2.22518266613874,0.5114,335.115890914888,335.115890914888
1990,"SPRING",2.22032465132123,0.5103,335.101832514448,335.101832514448
1991,"SPRING",2.83331720475853,0.6511,335.158532446403,335.158532446403
1992,"SPRING",1.83595194039449,0.4219,335.162820667099,335.162820667099
1993,"SPRING",0.865617129016907,0.1989,335.202176479088,335.202176479088
1994,"SPRING",1.48045109475266,0.3402,335.17080974505,335.17080974505
1995,"SPRING",2.55711966003131,0.5877,335.106288928247,335.106288928247
1996,"SPRING",1.92851369267297,0.4432,335.133955928018,335.133955928018
1997,"SPRING",1.79665390890902,0.4129,335.130518021075,335.130518021075
1998,"SPRING",3.34420170687413,0.7685,335.159623535996,335.159623535996
1999,"SPRING",5.34359621099413,1.228,335.146271253593,335.146271253593
2000,"SPRING",5.08826289891046,1.1693,335.154613778368,335.154613778368
2001,"SPRING",2.60160141655594,0.5979,335.123167177779,335.123167177779
2002,"SPRING",3.0137580300288,0.6926,335.136879877101,335.136879877101
2003,"SPRING",1.11380440179587,0.256,335.079844451511,335.079844451511
2004,"SPRING",1.8093052024671,0.4158,335.138336331674,335.138336331674
2005,"SPRING",1.45642117720676,0.3347,335.142269855621,335.142269855621
2006,"SPRING",2.04630050161528,0.4703,335.105358625405,335.105358625405
2007,"SPRING",1.39883304826061,0.3215,335.095815944203,335.095815944203
2008,"SPRING",1.79688415812148,0.4129,335.186281937873,335.186281937873
2009,"SPRING",1.2620042309347,0.4632,172.453417732017,172.453417732017
2010,"SPRING",0.900949137484257,0.3221,179.711002013119,179.711002013119
2011,"SPRING",0.776868309202203,0.2771,180.356661567017,180.356661567017
2012,"SPRING",1.42881432692676,0.5134,178.304309880554,178.304309880554
2013,"SPRING",0.587437558872433,0.2156,172.466400219125,172.466400219125
2014,"SPRING",0.698989756835734,0.2475,182.420103772014,182.420103772014
2015,"SPRING",0.466260863587765,0.1508,209.191554103292,209.191554103292
2016,"SPRING",1.69590197834091,0.5678,198.679460785648,198.679460785648
2017,"SPRING",0.943442837015834,0.338,179.125099708826,179.125099708826
2018,"SPRING",0.706603402212482,0.2633,168.364376077661,168.364376077661
2019,"SPRING",0.307491425745836,0.1037,196.520179118453,196.520179118453
2020,"SPRING",0.196248342491551,0.0637,208.082170316407,208.082170316407
