"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",1.24079545454545,1.5702,-20.9785088176376,20.9785088176376
1969,"FALL",3.34806818181818,4.2369,-20.9783525261823,20.9783525261823
1970,"FALL",1.65531818181818,2.0948,-20.97965525023,20.97965525023
1971,"FALL",2.0353951048951,2.4948,-18.4144979599525,18.4144979599525
1972,"FALL",14.6545034965035,18.3022,-19.9303717776907,19.9303717776907
1973,"FALL",2.25977272727273,2.8597,-20.9786786280824,20.9786786280824
1974,"FALL",0.311931818181818,0.3947,-20.9698965842873,20.9698965842873
1975,"FALL",1.31565909090909,1.6649,-20.9766898366814,20.9766898366814
1976,"FALL",6.79626262626263,8.6006,-20.9792034711227,20.9792034711227
1977,"FALL",16.7338191600067,21.1765,-20.9792970509449,20.9792970509449
1978,"FALL",5.44355072427572,6.8887,-20.9785485755553,20.9785485755553
1979,"FALL",8.87135815050064,10.7798,-17.7038706608597,17.7038706608597
1980,"FALL",21.7220350053274,26.3949,-17.7036662183701,17.7036662183701
1981,"FALL",9.05585158464313,10.7712,-15.9253232263524,15.9253232263524
1982,"FALL",6.70731223094454,8.2029,-18.2324271788692,18.2324271788692
1983,"FALL",1.14078620116376,1.3904,-17.9526610210186,17.9526610210186
1984,"FALL",3.59067718770875,4.3808,-18.036039360191,18.036039360191
1985,"FALL",6.57536585365854,7.976,-17.560608655234,17.560608655234
1986,"FALL",4.10348537005163,4.9862,-17.7031533020811,17.7031533020811
1987,"FALL",2.03088765936974,2.4563,-17.3192338326044,17.3192338326044
1988,"FALL",6.85199573805426,8.326,-17.7036303380464,17.7036303380464
1989,"FALL",6.62878699788584,8.1865,-19.0278263252204,19.0278263252204
1990,"FALL",8.83513031718712,10.7357,-17.7032674423921,17.7032674423921
1991,"FALL",3.93065872824954,4.7541,-17.320655260732,17.320655260732
1992,"FALL",7.26244888140486,8.7838,-17.3199653748394,17.3199653748394
1993,"FALL",6.81901893287435,8.2859,-17.7033402180288,17.7033402180288
1994,"FALL",11.7932195121951,14.2344,-17.1498657323447,17.1498657323447
1995,"FALL",2.25420193211935,2.7648,-18.4678120616556,18.4678120616556
1996,"FALL",8.84520086600914,10.6981,-17.3198898308191,17.3198898308191
1997,"FALL",7.12945660191788,8.6631,-17.7031708982018,17.7031708982018
1998,"FALL",5.52818539010504,6.6863,-17.3207096584801,17.3207096584801
1999,"FALL",17.4598267981718,21.1174,-17.3201871529082,17.3201871529082
2000,"FALL",10.5827317073171,12.837,-17.5607096103679,17.5607096103679
2001,"FALL",5.34214634146341,6.4801,-17.5607422499126,17.5607422499126
2002,"FALL",2.15939898742447,2.6218,-17.636776740237,17.636776740237
2003,"FALL",9.86289420142421,12.0738,-18.3115986563947,18.3115986563947
2004,"FALL",1.71998997995992,2.0985,-18.0371703616907,18.0371703616907
2005,"FALL",3.04052751918994,3.6917,-17.6388244117902,17.6388244117902
2006,"FALL",4.07860235746933,4.933,-17.3200414054464,17.3200414054464
2007,"FALL",11.359738593537,13.7394,-17.3199805410934,17.3199805410934
2008,"FALL",15.8730093817657,19.1982,-17.320324917098,17.320324917098
2009,"FALL",43.6748456418892,25.6579,70.219876302773,70.219876302773
2010,"FALL",47.9241787122208,27.3856,74.9977313340615,74.9977313340615
2011,"FALL",21.6356346724401,12.5545,72.3337024368956,72.3337024368956
2012,"FALL",27.3988052281293,15.7802,73.6277438063476,73.6277438063476
2013,"FALL",39.1448159730575,21.645,80.8492306447563,80.8492306447563
2014,"FALL",27.7023895437415,14.7212,88.1802403590841,88.1802403590841
2015,"FALL",19.4291957341031,10.1673,91.094939011371,91.094939011371
2016,"FALL",24.0814690080988,13.3238,80.7402468372295,80.7402468372295
2017,"FALL",49.4051028378027,24.3604,102.80907882384,102.80907882384
2018,"FALL",27.397329805148,14.0358,95.1960686611946,95.1960686611946
2019,"FALL",50.1103359794724,24.2098,106.983684208347,106.983684208347
