"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.383272727272727,0.485,-20.9746954076851,20.9746954076851
1969,"FALL",1.25352727272727,1.5863,-20.9779188849982,20.9779188849982
1970,"FALL",0.481454545454545,0.6093,-20.9823493427629,20.9823493427629
1971,"FALL",0.525672727272727,0.6652,-20.9752364292352,20.9752364292352
1972,"FALL",4.11734825174825,5.168,-20.3299486890818,20.3299486890818
1973,"FALL",0.857163636363636,1.0847,-20.9768934854212,20.9768934854212
1974,"FALL",0.185454545454545,0.2347,-20.9822984854941,20.9822984854941
1975,"FALL",0.588169696969697,0.7443,-20.9767973975955,20.9767973975955
1976,"FALL",1.78860606060606,2.2635,-20.9805142210709,20.9805142210709
1977,"FALL",6.47074383394384,8.1886,-20.9786308533347,20.9786308533347
1978,"FALL",1.75966020646021,2.2268,-20.9780758729923,20.9780758729923
1979,"FALL",2.48418226476848,3.0186,-17.7041587236309,17.7041587236309
1980,"FALL",5.9474988082944,7.2269,-17.7033194274944,17.7033194274944
1981,"FALL",1.97489169458043,2.381,-17.0562077034677,17.0562077034677
1982,"FALL",2.1934286148392,2.6825,-18.2319248894986,18.2319248894986
1983,"FALL",0.273470989193682,0.3333,-17.9504982917244,17.9504982917244
1984,"FALL",1.48704876419506,1.8143,-18.0373276638342,18.0373276638342
1985,"FALL",1.29859512195122,1.5752,-17.5599846399683,17.5599846399683
1986,"FALL",0.746485738873863,0.9071,-17.7063456207846,17.7063456207846
1987,"FALL",0.449182102477748,0.5433,-17.3233752111636,17.3233752111636
1988,"FALL",0.942230145070076,1.1449,-17.7019700349309,17.7019700349309
1989,"FALL",1.51534289112051,1.8714,-19.0262428598639,19.0262428598639
1990,"FALL",1.640144701254,1.993,-17.7047314975416,17.7047314975416
1991,"FALL",0.86665375671558,1.0482,-17.3198095100572,17.3198095100572
1992,"FALL",1.65364445513592,2.0001,-17.3219111476469,17.3219111476469
1993,"FALL",0.788481067125645,0.9581,-17.7036773692051,17.7036773692051
1994,"FALL",2.33736829268293,2.8211,-17.1469181282859,17.1469181282859
1995,"FALL",0.638250833547063,0.7828,-18.4656574416117,18.4656574416117
1996,"FALL",2.26595220912517,2.7406,-17.3191195677892,17.3191195677892
1997,"FALL",1.92337841160561,2.3371,-17.7023485684992,17.7023485684992
1998,"FALL",1.40559097105284,1.7,-17.3181781733622,17.3181781733622
1999,"FALL",5.17973298051479,6.2648,-17.3200584134403,17.3200584134403
2000,"FALL",2.93679268292683,3.5624,-17.5614000974952,17.5614000974952
2001,"FALL",1.59937134146341,1.9401,-17.562427634482,17.562427634482
2002,"FALL",0.597919647231749,0.726,-17.6419218689051,17.6419218689051
2003,"FALL",2.81334524415056,3.444,-18.3116944207155,18.3116944207155
2004,"FALL",0.413065881763527,0.504,-18.042483777078,18.042483777078
2005,"FALL",0.528998530132288,0.6423,-17.6399610567822,17.6399610567822
2006,"FALL",0.681284700505172,0.824,-17.3198178998578,17.3198178998578
2007,"FALL",2.93564084676449,3.5506,-17.3198657476344,17.3198657476344
2008,"FALL",4.05649456338706,4.9063,-17.3206986244816,17.3206986244816
2009,"FALL",11.8286867933606,5.9561,98.5978541891607,98.5978541891607
2010,"FALL",10.4886335085414,5.3857,94.7496798659671,94.7496798659671
2011,"FALL",5.75572067195895,2.8982,98.5963933461786,98.5963933461786
2012,"FALL",7.04094138401091,3.5453,98.5993113138777,98.5993113138777
2013,"FALL",9.5287058375431,4.798,98.5974538879346,98.5974538879346
2014,"FALL",5.88453784780691,2.9533,99.2529660991742,99.2529660991742
2015,"FALL",3.75185490337583,1.8892,98.594902782968,98.594902782968
2016,"FALL",4.90121533958784,2.4679,98.5986198625489,98.5986198625489
2017,"FALL",8.6772345743296,4.4065,96.9189736600385,96.9189736600385
2018,"FALL",5.0571045625852,2.5464,98.5981999130223,98.5981999130223
2019,"FALL",7.61599807553524,3.8274,98.9862067078237,98.9862067078237
