"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",4.39781846153846,1.4197,209.770970031588,209.770970031588
1974,"SPRING",5.40203487179487,1.744,209.749705951541,209.749705951541
1975,"SPRING",8.49423419689119,2.7422,209.759835055473,209.759835055473
1976,"SPRING",9.37150671550672,3.0254,209.760914771823,209.760914771823
1977,"SPRING",3.07159951159951,0.9916,209.761951552996,209.761951552996
1978,"SPRING",0.917377435897436,0.2962,209.715542166589,209.715542166589
1979,"SPRING",3.61591507206941,1.1673,209.767418150382,209.767418150382
1980,"SPRING",13.4371269749593,4.3379,209.761105026841,209.761105026841
1981,"SPRING",13.6156919674797,4.3955,209.764349163455,209.764349163455
2009,"SPRING",35.3200682726783,16.625,112.451538482276,112.451538482276
2010,"SPRING",39.7300136316254,19.185,107.088942567763,107.088942567763
2011,"SPRING",23.92073610777,11.7302,103.924367084705,103.924367084705
2012,"SPRING",41.6183144896159,20.2187,105.840704346055,105.840704346055
2013,"SPRING",41.9214978750702,20.1069,108.493093789048,108.493093789048
2014,"SPRING",47.3928313687756,19.9309,137.785706459696,137.785706459696
2015,"SPRING",31.308154919413,14.3518,118.147932101987,118.147932101987
2016,"SPRING",43.2975302702269,20.0869,115.551081900278,115.551081900278
2017,"SPRING",33.0830246171117,14.4253,129.340288362195,129.340288362195
2018,"SPRING",21.7477748376233,10.1181,114.939315065312,114.939315065312
2019,"SPRING",44.3794322828963,19.6145,126.258289953332,126.258289953332
