"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",1.01543015384615,0.3393,199.272075993561,199.272075993561
1974,"SPRING",2.21868427039627,0.7413,199.296407715671,199.296407715671
1975,"SPRING",0.996897965951147,0.3331,199.278885004848,199.278885004848
1976,"SPRING",2.76784944832945,0.9248,199.291679101368,199.291679101368
1977,"SPRING",1.25324433788434,0.4188,199.246499017273,199.246499017273
1978,"SPRING",0.463320615384615,0.1548,199.302723116677,199.302723116677
1979,"SPRING",1.59296006688357,0.5322,199.316059166397,199.316059166397
1980,"SPRING",4.57528472039024,1.5287,199.292517851131,199.292517851131
1981,"SPRING",4.64324123577236,1.5514,199.293620972822,199.293620972822
2009,"SPRING",8.7193484025797,3.8856,124.401595701557,124.401595701557
2010,"SPRING",10.7525337984123,4.7917,124.399144320644,124.399144320644
2011,"SPRING",6.20682344639564,2.766,124.397087722185,124.397087722185
2012,"SPRING",11.1319429316013,4.9608,124.398140050018,124.398140050018
2013,"SPRING",10.7172227167028,4.776,124.397460567478,124.397460567478
2014,"SPRING",8.73456274556972,3.8924,124.400440488381,124.400440488381
2015,"SPRING",6.57924601074493,2.932,124.394475127726,124.394475127726
2016,"SPRING",9.08557152594018,4.0488,124.401588765565,124.401588765565
2017,"SPRING",6.2839193007778,2.8003,124.401646279963,124.401646279963
2018,"SPRING",4.45625234544143,1.9859,124.394599196406,124.394599196406
2019,"SPRING",8.75984330847566,3.9037,124.398476022124,124.398476022124
