"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",39.7824086363457,19.9737,99.1739569350982,99.1739569350982
2010,"FALL",16.9423972035691,8.533,98.5514731462455,98.5514731462455
2011,"FALL",16.543753234674,8.2791,99.8255031908545,99.8255031908545
2012,"FALL",14.6271084678361,7.3771,98.2772155431822,98.2772155431822
2013,"FALL",6.01734978601872,3.0009,100.518170749399,100.518170749399
2014,"FALL",6.64123158600208,3.3396,98.8630849802993,98.8630849802993
2015,"FALL",2.81284588529552,1.4164,98.5912090719798,98.5912090719798
2016,"FALL",2.94028630125585,1.4805,98.60089842998,98.60089842998
2017,"FALL",1.22474473369515,0.6099,100.810744990187,100.810744990187
2018,"FALL",3.85957133658357,1.7362,122.299927230939,122.299927230939
2019,"FALL",2.31581862622705,1.0273,125.427686773781,125.427686773781
