"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",16.1979971253794,6.7436,140.198071139739,140.198071139739
2010,"FALL",5.39765077116487,2.2471,140.205187626936,140.205187626936
2011,"FALL",5.88908028495794,2.4517,140.203951746051,140.203951746051
2012,"FALL",6.05286762168932,2.5199,140.202691443681,140.202691443681
2013,"FALL",2.1006807434371,0.8746,140.187599295347,140.187599295347
2014,"FALL",2.46043592257251,1.0243,140.206572544421,140.206572544421
2015,"FALL",1.12737774244276,0.4693,140.225387266729,140.225387266729
2016,"FALL",1.05380810281614,0.4387,140.211557514507,140.211557514507
2017,"FALL",0.470223585686689,0.1957,140.277764786249,140.277764786249
2018,"FALL",1.17315755066998,0.4884,140.204248703927,140.204248703927
2019,"FALL",0.727436498153672,0.3029,140.157312034887,140.157312034887
