"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",28.7952580218522,9.296,209.759660303918,209.759660303918
1974,"SPRING",19.4922543427468,6.2927,209.759790594606,209.759790594606
1975,"SPRING",14.9569678185591,4.8285,209.764270861739,209.764270861739
1976,"SPRING",22.6122946800356,7.2999,209.761704681373,209.761704681373
1977,"SPRING",7.05319394679014,2.277,209.758188264828,209.758188264828
1978,"SPRING",7.76286133423277,2.5061,209.758642282142,209.758642282142
1979,"SPRING",10.2815807684052,3.3192,209.760808881816,209.760808881816
1980,"SPRING",34.3135075951308,11.0775,209.758588085134,209.758588085134
1981,"SPRING",11.7891879864162,3.8059,209.760844646895,209.760844646895
2009,"SPRING",28.2258509971922,14.1017,100.159207735182,100.159207735182
2010,"SPRING",35.5631139641948,17.9488,98.1364434624868,98.1364434624868
2011,"SPRING",16.6719268389906,8.4118,98.1969000569508,98.1969000569508
2012,"SPRING",24.5570048753565,12.3477,98.8791829681354,98.8791829681354
2013,"SPRING",7.24720115992308,3.6106,100.720134047612,100.720134047612
2014,"SPRING",4.38678813444244,2.1853,100.740774010088,100.740774010088
2015,"SPRING",3.04301549338344,1.5329,98.5136338563145,98.5136338563145
2016,"SPRING",1.49130495726945,0.749,99.106135817016,99.106135817016
2017,"SPRING",1.2889522583019,0.6408,101.147356164467,101.147356164467
2018,"SPRING",0.0685961816676562,0.0348,97.1154645622306,97.1154645622306
2019,"SPRING",1.87813382919169,0.7889,138.069949194028,138.069949194028
