"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",8.79463131716391,2.9385,199.289818518425,199.289818518425
1974,"SPRING",8.13914388495385,2.7195,199.288247286408,199.288247286408
1975,"SPRING",5.01476759819704,1.6756,199.281904881657,199.281904881657
1976,"SPRING",6.80174600639827,2.2726,199.293584722268,199.293584722268
1977,"SPRING",2.99015656398778,0.9991,199.285012910397,199.285012910397
1978,"SPRING",2.21945532951073,0.7416,199.27930548958,199.27930548958
1979,"SPRING",3.80423164750253,1.2711,199.286574423927,199.286574423927
1980,"SPRING",13.336477434152,4.456,199.292581556374,199.292581556374
1981,"SPRING",5.86723144036307,1.9604,199.287463801421,199.287463801421
2009,"SPRING",10.8969968307993,4.8561,124.398114346889,124.398114346889
2010,"SPRING",13.3386462245555,5.9441,124.401443861232,124.401443861232
2011,"SPRING",5.74682140557446,2.561,124.397555859995,124.397555859995
2012,"SPRING",8.96503948527683,3.9951,124.400878207725,124.400878207725
2013,"SPRING",2.47681800508999,1.1037,124.410438080094,124.410438080094
2014,"SPRING",1.66154623703957,0.7404,124.411971507235,124.411971507235
2015,"SPRING",1.13713771042222,0.5067,124.420309931364,124.420309931364
2016,"SPRING",0.700477943939971,0.3122,124.368335663027,124.368335663027
2017,"SPRING",0.547002233990827,0.2438,124.365149298945,124.365149298945
2018,"SPRING",0.0276644851606861,0.0123,124.914513501513,124.914513501513
2019,"SPRING",0.724702082210863,0.3229,124.435454385526,124.435454385526
