"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",12,0.0194923145024652,0.03459,-43.6475440807599,43.6475440807599
1968,"FALL",13,0.0755999233400665,0.13417,-43.6536309606719,43.6536309606719
1968,"FALL",14,0.0771509301801,0.13693,-43.6566638573724,43.6566638573724
1968,"FALL",15,0.514501617151473,0.88898,-42.1245003091776,42.1245003091776
1968,"FALL",16,0.667843532326917,1.13207,-41.0068695109916,41.0068695109916
1968,"FALL",17,1.51184209410516,1.99015,-24.0337615704768,24.0337615704768
1968,"FALL",18,1.94314699203042,2.03312,-4.42536633202076,4.42536633202076
1968,"FALL",19,1.67863341796454,1.04473,60.6762912871788,60.6762912871788
1968,"FALL",20,2.55677533042636,0.69846,266.058948318638,266.058948318638
1968,"FALL",21,0.994458097375076,0.64015,55.3476681051434,55.3476681051434
1968,"FALL",22,1.18404896738052,1.58677,-25.37992479184,25.37992479184
1968,"FALL",23,1.89349543856436,2.45728,-22.9434399594529,22.9434399594529
1968,"FALL",24,3.31718047478278,1.95486,69.68890226322,69.68890226322
1968,"FALL",25,6.08284021661519,4.43724,37.0861214767556,37.0861214767556
1968,"FALL",26,6.23951683889712,5.84736,6.70656225881621,6.70656225881621
1968,"FALL",27,6.73619943115616,6.92796,-2.76792257524354,2.76792257524354
1968,"FALL",28,5.51310664380437,6.77333,-18.605668942686,18.605668942686
1968,"FALL",29,4.75146103317917,6.63951,-28.4365708737668,28.4365708737668
1968,"FALL",30,5.00991982931293,7.45925,-32.8361453321322,32.8361453321322
1968,"FALL",31,3.84650917459978,5.31607,-27.6437448227773,27.6437448227773
1968,"FALL",32,3.20427921854356,4.24974,-24.6005821875324,24.6005821875324
1968,"FALL",33,2.77444273146805,4.20384,-34.0021805904113,34.0021805904113
1968,"FALL",34,2.02413770294954,3.02689,-33.1281380245221,33.1281380245221
1968,"FALL",35,1.26272173292154,1.87359,-32.6041592385986,32.6041592385986
1968,"FALL",36,1.13944984625613,1.40315,-18.7934400273578,18.7934400273578
1968,"FALL",37,0.740998817876689,1.16535,-36.4140543290265,36.4140543290265
1968,"FALL",38,0.565358190147163,0.9551,-40.8063877973863,40.8063877973863
1968,"FALL",39,0.185805192184079,0.30562,-39.2038504731108,39.2038504731108
1968,"FALL",40,0.191124068675089,0.25204,-24.1691522476238,24.1691522476238
1968,"FALL",41,0.104535656197158,0.18553,-43.6556588168175,43.6556588168175
1968,"FALL",42,0.0859524063926244,0.15255,-43.6562396639631,43.6562396639631
1968,"FALL",43,0.0344274334016828,0.0611,-43.6539551527287,43.6539551527287
1968,"FALL",44,0.0506006441469632,0.0898,-43.6518439343394,43.6518439343394
1968,"FALL",45,0.0194923145024652,0.03459,-43.6475440807599,43.6475440807599
1969,"FALL",5,0.038404591455131,0.07952,-51.7044876067266,51.7044876067266
1969,"FALL",11,0.038404591455131,0.07952,-51.7044876067266,51.7044876067266
1969,"FALL",13,0.10298528536321,0.16396,-37.1887744796229,37.1887744796229
1969,"FALL",15,0.0554069421336223,0.07952,-30.3232619043985,30.3232619043985
1969,"FALL",16,0.14939401340192,0.25509,-41.4347824681798,41.4347824681798
1969,"FALL",17,0.123132050127456,0.17522,-29.7271714830181,29.7271714830181
1969,"FALL",18,0.227248790316426,0.1988,14.3102566984033,14.3102566984033
1969,"FALL",19,0.388495413124113,0.31532,23.206714805313,23.206714805313
1969,"FALL",20,0.569815151191366,0.85481,-33.3401397747609,33.3401397747609
1969,"FALL",21,0.864320821821623,1.66592,-48.1175073339882,48.1175073339882
1969,"FALL",22,1.34187184222979,2.16585,-38.0441008273986,38.0441008273986
1969,"FALL",23,1.72646268679499,3.2011,-46.066580650558,46.066580650558
1969,"FALL",24,2.68625005724055,3.91121,-31.3192066587949,31.3192066587949
1969,"FALL",25,3.34208744829271,4.85575,-31.1725799661699,31.1725799661699
1969,"FALL",26,2.86600789156351,4.18867,-31.5771380518516,31.5771380518516
1969,"FALL",27,3.38964251369957,4.92846,-31.2230896933409,31.2230896933409
1969,"FALL",28,4.19966800482347,6.6575,-36.9182425111007,36.9182425111007
1969,"FALL",29,4.69217178269962,6.97421,-32.7210998421381,32.7210998421381
1969,"FALL",30,4.72611809869797,7.17556,-34.1358988190752,34.1358988190752
1969,"FALL",31,5.11252613985011,7.67126,-33.3548056010342,33.3548056010342
1969,"FALL",32,3.89861516034985,5.71941,-31.8353613336016,31.8353613336016
1969,"FALL",33,3.87241501686688,5.28176,-26.6832454169277,26.6832454169277
1969,"FALL",34,2.6032222612306,3.76187,-30.7997814589394,30.7997814589394
1969,"FALL",35,2.17648024056294,3.01064,-27.7070576168874,27.7070576168874
1969,"FALL",36,1.09819463312625,1.21796,-9.83327587718401,9.83327587718401
1969,"FALL",37,0.494952528505793,0.61221,-19.1531454066754,19.1531454066754
1969,"FALL",38,0.148367881183887,0.18419,-19.4484601857391,19.4484601857391
1969,"FALL",39,0.276736296612886,0.35167,-21.3079601294151,21.3079601294151
1969,"FALL",40,0.106835666203654,0.09081,17.6474685647552,17.6474685647552
1969,"FALL",42,0.016262421198846,0.02886,-43.6506541966527,43.6506541966527
1969,"FALL",44,0.0181776899241372,0.03226,-43.6525420826497,43.6525420826497
1969,"FALL",47,0.0181776899241372,0.03226,-43.6525420826497,43.6525420826497
1970,"FALL",7,0.0149351188992176,0.02651,-43.6623202594582,43.6623202594582
1970,"FALL",8,0.0310930654984507,0.05518,-43.6515666936378,43.6515666936378
1970,"FALL",15,0.115974225641391,0.20583,-43.6553341877321,43.6553341877321
1970,"FALL",16,0.236718072918522,0.39107,-39.4691300998487,39.4691300998487
1970,"FALL",17,0.745948853238628,1.17905,-36.7330602401401,36.7330602401401
1970,"FALL",18,0.368537436166189,0.39367,-6.3841704559176,6.3841704559176
1970,"FALL",19,0.141759184351876,0.13581,4.3805201029938,4.3805201029938
1970,"FALL",20,0.142355546057865,0.25265,-43.6550381722285,43.6550381722285
1970,"FALL",21,0.0762478015389651,0.13532,-43.6537085878177,43.6537085878177
1970,"FALL",22,0.438610996630016,0.69127,-36.5499737251702,36.5499737251702
1970,"FALL",23,0.548627117264258,0.82841,-33.7734796460378,33.7734796460378
1970,"FALL",24,0.472828548023547,0.78105,-39.4624482397353,39.4624482397353
1970,"FALL",25,0.873837486877074,1.49297,-41.469856267904,41.469856267904
1970,"FALL",26,1.85679729383651,3.20822,-42.1237541740745,42.1237541740745
1970,"FALL",27,4.24850920173604,7.54012,-43.6546208583412,43.6546208583412
1970,"FALL",28,4.27880111156904,7.59389,-43.6546867077475,43.6546867077475
1970,"FALL",29,4.97993103998019,8.83823,-43.6546566452764,43.6546566452764
1970,"FALL",30,5.7420456838931,10.16175,-43.493535228744,43.493535228744
1970,"FALL",31,4.94988102446164,8.7849,-43.6546685282514,43.6546685282514
1970,"FALL",32,4.51955676311911,8.02117,-43.6546443583778,43.6546443583778
1970,"FALL",33,3.46609599960652,6.15152,-43.6546414608662,43.6546414608662
1970,"FALL",34,2.92717666722635,5.19506,-43.6546128971301,43.6546128971301
1970,"FALL",35,1.60476652640612,2.84809,-43.6546413067661,43.6546413067661
1970,"FALL",36,0.867447639739017,1.53952,-43.6546690046887,43.6546690046887
1970,"FALL",37,0.681133685087099,1.20886,-43.6548744199412,43.6548744199412
1970,"FALL",38,0.301216722041596,0.53459,-43.6546283990354,43.6546283990354
1970,"FALL",39,0.235159010001408,0.41735,-43.6542446384551,43.6542446384551
1970,"FALL",40,0.334182613459246,0.5931,-43.6549294454147,43.6549294454147
1970,"FALL",41,0.0116160151420329,0.02062,-43.666269922246,43.666269922246
1970,"FALL",42,0.0161579465992331,0.02868,-43.6612740612515,43.6612740612515
1970,"FALL",43,0.0319181773931213,0.05665,-43.6572331983737,43.6572331983737
1970,"FALL",46,0.0161579465992331,0.02868,-43.6612740612515,43.6612740612515
1971,"FALL",12,0.168020087616198,0.2982,-43.655235541181,43.655235541181
1971,"FALL",13,0.424177262528048,0.67146,-36.8276200327573,36.8276200327573
