"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",85.2934042847883,27.5353,209.760214287799,209.760214287799
1974,"SPRING",33.9896240660632,10.9729,209.75971772333,209.75971772333
1975,"SPRING",9.24275067292836,2.9838,209.764416949137,209.764416949137
1976,"SPRING",11.014442358955,3.5558,209.759895352805,209.759895352805
1977,"SPRING",13.0358736314523,4.2084,209.758426752502,209.758426752502
1978,"SPRING",34.8286546010715,11.2437,209.761507342526,209.761507342526
1979,"SPRING",10.9678214168384,3.5407,209.764210942423,209.764210942423
1980,"SPRING",27.462884334541,8.8659,209.758561844156,209.758561844156
1981,"SPRING",50.0445479811539,16.1559,209.760198943753,209.760198943753
2009,"SPRING",4.21180948819318,2.015,109.022803384277,109.022803384277
2010,"SPRING",6.01377750302315,2.8352,112.111226827848,112.111226827848
2011,"SPRING",4.96530540164208,2.2906,116.76876808007,116.76876808007
2012,"SPRING",5.25991406285775,2.4856,111.615467607731,111.615467607731
2013,"SPRING",4.83581613148875,2.2221,117.623695220231,117.623695220231
2014,"SPRING",3.24314771283732,1.6028,102.342632445553,102.342632445553
2015,"SPRING",0.897754262512784,0.4424,102.928178687338,102.928178687338
2016,"SPRING",0.815694764567508,0.3267,149.677001704165,149.677001704165
2017,"SPRING",0.259254312545262,0.1147,126.028171355939,126.028171355939
2018,"SPRING",0.47019980767176,0.1705,175.77701329722,175.77701329722
2019,"SPRING",0.712681791739383,0.2219,221.172506417027,221.172506417027
