"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",23.7572113819242,7.9378,199.292138652072,199.292138652072
1974,"SPRING",10.8910930270735,3.639,199.288074390588,199.288074390588
1975,"SPRING",3.01382122689135,1.007,199.287112898844,199.287112898844
1976,"SPRING",3.36673648302542,1.1249,199.292068897273,199.292068897273
1977,"SPRING",3.98750174151424,1.3323,199.294583916103,199.294583916103
1978,"SPRING",7.7801483631035,2.5995,199.294032048606,199.294032048606
1979,"SPRING",2.48009651302998,0.8286,199.311671859761,199.311671859761
1980,"SPRING",9.51645438042965,3.1797,199.287806410342,199.287806410342
1981,"SPRING",13.0445139528501,4.3585,199.289066257889,199.289066257889
2009,"SPRING",1.50896772014715,0.6725,124.381817122252,124.381817122252
2010,"SPRING",1.85371090835237,0.8261,124.393040594646,124.393040594646
2011,"SPRING",1.61834025456356,0.7212,124.395487321625,124.395487321625
2012,"SPRING",1.71383567345412,0.7638,124.382779975664,124.382779975664
2013,"SPRING",1.34008947176727,0.5972,124.395423939596,124.395423939596
2014,"SPRING",1.10972724412627,0.4945,124.414002856678,124.414002856678
2015,"SPRING",0.383930817547662,0.1711,124.389723873561,124.389723873561
2016,"SPRING",0.236836707388016,0.1056,124.277185026531,124.277185026531
2017,"SPRING",0.0744442458833446,0.0332,124.229656275134,124.229656275134
2018,"SPRING",0.110914909000249,0.0494,124.524107287954,124.524107287954
2019,"SPRING",0.0617195153803232,0.0275,124.434601382993,124.434601382993
