COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,SURVEY,PURPOSE_CODE,SEASON,YEAR,AGE,NO_AT_AGE,WT_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,3,2.9542,3.9361,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,8,1.0666,3.7375,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,6,1.7206,4.8618,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,10,0.3622,1.5743,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,1,12.3,3.0245,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,5,4.8503,11.2141,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,9,0.6859,2.3754,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,7,1.2866,4.4278,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,2,1.7695,1.4181,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,0,35.4316,0.9974,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,4,7.0372,12.4411,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1963,13,0.0846,0.6896,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,7,0.5392,1.9961,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,5,2.2336,4.9131,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,3,0.5331,0.7246,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,4,0.9923,1.9199,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,2,1.6737,1.1591,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,1,6.1547,1.2947,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,6,1.6858,4.6019,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1964,9,0.3639,1.778,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,3,4.9886,4.4856,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,9,0.0688,0.3276,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,5,1.369,2.9768,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,8,0.2452,0.8447,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,6,1.3156,3.2271,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,2,8.0843,3.0663,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,4,0.3276,0.5678,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,1,0.3791,0.0711,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1965,7,0.6816,2.2208,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,3,6.5268,5.8783,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,2,0.5158,0.2812,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,5,0.2945,0.7867,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,6,0.6048,1.6831,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,8,0.0752,0.2844,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,9,0.0212,0.0758,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,7,0.3547,1.1866,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1966,4,2.348,2.9274,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,9,0.0656,0.2518,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,7,0.0926,0.3136,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,8,0.2192,0.7452,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,5,1.8217,2.7637,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,4,8.1154,10.2448,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,6,0.4891,1.1118,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1967,3,1.3822,1.44,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1968,6,1.3609,3.1141,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1968,9,0.1122,0.4598,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1968,7,0.2447,0.7662,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1968,8,0.3152,1.1693,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1968,4,0.2404,0.376,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1968,5,6.2903,11.4214,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,10,0.0305,0.0869,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,14,0.1582,0.7304,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,9,0.0146,0.0494,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,8,0.1856,0.4843,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,5,0.0341,0.0625,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,6,4.0808,8.8417,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,4,0.0291,0.0444,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,7,0.8752,2.3478,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1969,3,0.0427,0.074,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1970,7,1.9611,4.8809,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1970,5,0.0619,0.1193,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1970,6,0.1686,0.3594,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1970,10,0.091,0.4567,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1970,1,0.048,0.0109,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1970,8,0.5872,1.5272,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1971,7,0.2725,0.9736,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1971,8,1.9093,5.6604,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1971,9,0.1674,0.7336,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1971,4,0.3073,0.0741,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1971,10,0.0465,0.1374,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1971,6,0.1765,0.58,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1972,11,0.0663,0.2189,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1972,10,0.1356,0.3345,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1972,1,1.1905,0.3198,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1972,9,0.5911,2.1626,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1973,11,0.1706,0.7412,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1973,10,1.2029,4.8973,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1973,14,0.0924,0.5107,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1973,9,0.1489,0.5141,Y,Y
Haddock,164744,GOM,NONE,NMFS fall BTS,10,FALL,1973,7,0.0629,0.2288,Y,Y
