COMNAME,SVSPP,SPECIES_ITIS,INDEX_TYPE,LENGTH,CALIBRATION_FACTOR,CALIBRATION_CV,STOCK,SEASON,SEX
ATLANTIC HERRING,32,161722,NUMBER,1,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,1,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,2,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,2,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,3,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,3,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,4,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,4,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,5,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,5,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,6,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,6,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,7,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,7,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,8,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,8,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,9,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,9,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,10,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,10,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,11,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,11,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,12,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,12,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,13,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,13,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,14,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,14,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,15,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,15,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,16,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,16,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,17,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,17,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,18,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,18,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,19,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,19,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,20,3.072595393,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,20,3.072595393,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,21,1.127809609,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,21,1.127809609,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,22,1.369712364,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,22,1.369712364,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,23,2.009378284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,23,2.009378284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,24,2.262988241,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,24,2.262988241,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,25,1.853354264,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,25,1.853354264,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,26,1.334194063,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,26,1.334194063,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,27,1.1148033,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,27,1.1148033,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,28,1.335302428,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,28,1.335302428,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,29,2.267460234,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,29,2.267460234,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,30,3.700766672,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,30,3.700766672,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,31,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,31,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,32,2.310094284,,UNIT,SPRING,NONE
