Cruise    Strata    Tow      Station    SPP       SEX       LENGTH    AGE      NUMAGE
201504    01130     010       0264      105       0         6         0         1
201504    01160     001       0285      105       2         36        3         1
201504    01160     002       0279      105       2         40        4         1
201504    01160     002       0279      105       2         40        4         1
201504    01160     002       0279      105       1         32        3         1
201504    01160     003       0273      105       1         38        4         1
201504    01160     004       0278      105       1         32        3         1
201504    01160     004       0278      105       2         35        2         1
201504    01160     005       0280      105       2         39        4         1
201504    01160     005       0280      105       1         35        3         1
201504    01160     005       0280      105       1         33        4         1
201504    01160     005       0280      105       0         5         0         1
201504    01160     005       0280      105       2         34        3         1
201504    01160     005       0280      105       1         35        4         1
201504    01160     005       0280      105       2         38        3         1
201504    01160     005       0280      105       2         36        4         1
201504    01160     005       0280      105       1         33        3         1
201504    01160     006       0310      105       2         40        4         1
201504    01160     006       0310      105       1         29        2         1
201504    01160     006       0310      105       1         30        2         1
201504    01160     006       0310      105       1         31        2         1
201504    01160     006       0310      105       1         34        3         1
201504    01160     006       0310      105       1         31        2         1
201504    01160     006       0310      105       1         28        2         1
201504    01160     006       0310      105       2         33        3         1
201504    01160     006       0310      105       2         34        2         1
201504    01160     007       0281      105       2         47        6         1
201504    01160     007       0281      105       2         40        3         1
201504    01160     007       0281      105       1         34        2         1
201504    01160     007       0281      105       2         44        5         1
201504    01160     007       0281      105       2         37        3         1
201504    01160     007       0281      105       1         30        1         1
201504    01160     007       0281      105       2         37        2         1
201504    01160     007       0281      105       2         38        4         1
201504    01160     007       0281      105       2         38        4         1
201504    01160     007       0281      105       2         39        3         1
201504    01160     007       0281      105       2         40        3         1
201504    01160     007       0281      105       2         35        3         1
201504    01160     007       0281      105       1         31        2         1
201504    01160     007       0281      105       1         33        2         1
201504    01160     007       0281      105       2         41        4         1
201504    01160     007       0281      105       1         32        2         1
201504    01160     007       0281      105       2         39        4         1
201504    01160     007       0281      105       2         44        4         1
201504    01160     007       0281      105       1         29        2         1
201504    01160     007       0281      105       2         41        5         1
201504    01160     007       0281      105       1         34        2         1
201504    01160     007       0281      105       2         43        4         1
201504    01160     007       0281      105       2         33        3         1
201504    01160     007       0281      105       2         41        4         1
201504    01160     007       0281      105       1         35        3         1
201504    01160     007       0281      105       2         43        5         1
201504    01160     007       0281      105       2         42        4         1
201504    01160     007       0281      105       2         42        3         1
201504    01160     007       0281      105       2         43        5         1
201504    01160     007       0281      105       2         42        5         1
201504    01160     007       0281      105       2         43        5         1
201504    01160     007       0281      105       2         36        3         1
201504    01160     007       0281      105       2         36        3         1
201504    01160     009       0307      105       1         30        2         1
201504    01160     009       0307      105       1         32        1         1
201504    01160     010       0282      105       2         37        2         1
201504    01160     010       0282      105       1         32        2         1
201504    01160     010       0282      105       1         31        2         1
201504    01160     011       0308      105       1         35        3         1
201504    01160     011       0308      105       1         32        2         1
201504    01160     011       0308      105       2         38        3         1
201504    01160     012       0311      105       1         31        2         1
201504    01160     014       0272      105       2         31        2         1
201504    01160     014       0272      105       2         43        4         1
201504    01160     014       0272      105       1         34        3         1
201504    01160     015       0284      105       1         31        2         1
201504    01160     015       0284      105       2         35        3         1
201504    01160     015       0284      105       1         33        3         1
201504    01190     002       0298      105       2         42        5         1
201504    01190     010       0261      105       2         36        3         1
201504    01210     001       0303      105       2         42        4         1
201504    01210     001       0303      105       2         34        2         1
201504    01210     001       0303      105       1         37        3         1
201504    01210     001       0303      105       2         37        3         1
201504    01210     001       0303      105       1         30        2         1
201504    01210     001       0303      105       1         32        2         1
201604    01130     004       0269      105       1         27        1         1
201604    01140     003       0229      105       2         28        1         1
201604    01140     003       0229      105       2         26        1         1
201604    01160     002       0285      105       2         34        2         1
201604    01160     004       0287      105       2         36        3         1
201604    01160     004       0287      105       1         32        2         1
201604    01160     004       0287      105       1         32        2         1
201604    01160     005       0292      105       2         37        3         1
201604    01160     005       0292      105       1         30        2         1
201604    01160     005       0292      105       1         36        3         1
201604    01160     005       0292      105       2         39        4         1
201604    01160     005       0292      105       1         33        3         1
201604    01160     005       0292      105       0         6         0         1
201604    01160     005       0292      105       1         33        2         1
201604    01160     005       0292      105       1         35        3         1
201604    01160     005       0292      105       2         43        6         1
201604    01160     005       0292      105       2         39        3         1
201604    01160     005       0292      105       2         40        5         1
201604    01160     005       0292      105       1         34        2         1
201604    01160     005       0292      105       2         28        1         1
201604    01160     005       0292      105       1         37        3         1
201604    01160     005       0292      105       2         41        6         1
201604    01160     005       0292      105       1         38        4         1
201604    01160     005       0292      105       1         32        2         1
201604    01160     005       0292      105       1         34        4         1
201604    01160     005       0292      105       1         35        4         1
201604    01160     005       0292      105       2         38        5         1
201604    01160     006       0294      105       2         41        4         1
201604    01160     006       0294      105       2         40        5         1
201604    01160     006       0294      105       1         35        3         1
201604    01160     006       0294      105       1         34        2         1
201604    01160     006       0294      105       2         39        4         1
201604    01160     006       0294      105       2         37        4         1
201604    01160     006       0294      105       2         45        7         1
201604    01160     007       0286      105       1         33        3         1
201604    01160     008       0293      105       1         33        2         1
201604    01160     008       0293      105       2         29        1         1
201604    01160     008       0293      105       2         24        1         1
201604    01160     008       0293      105       1         31        2         1
201604    01160     008       0293      105       1         38        4         1
201604    01160     009       0295      105       2         38        3         1
201604    01160     010       0284      105       2         38        3         1
201604    01160     010       0284      105       1         35        3         1
201604    01160     010       0284      105       2         33        2         1
201604    01160     010       0284      105       1         33        1         1
201604    01160     010       0284      105       2         41        4         1
201604    01160     010       0284      105       2         36        2         1
201604    01160     012       0283      105       2         36        3         1
201604    01160     012       0283      105       2         36        3         1
201604    01160     013       0291      105       1         32        2         1
201604    01160     013       0291      105       2         37        4         1
201604    01160     013       0291      105       1         34        3         1
201604    01160     013       0291      105       2         40        3         1
201604    01160     013       0291      105       2         42        5         1
201604    01160     013       0291      105       2         36        2         1
201604    01160     013       0291      105       2         37        3         1
201604    01160     013       0291      105       2         39        3         1
201604    01160     013       0291      105       2         40        6         1
201604    01160     013       0291      105       2         39        4         1
201604    01160     013       0291      105       2         36        3         1
201604    01160     013       0291      105       2         38        3         1
201604    01160     013       0291      105       1         34        3         1
201604    01160     013       0291      105       1         32        2         1
201604    01160     013       0291      105       2         42        5         1
201604    01160     013       0291      105       1         33        3         1
201604    01160     015       0290      105       2         37        3         1
201604    01160     015       0290      105       1         34        4         1
201604    01160     015       0290      105       2         37        3         1
