
Set # 1

Length,Numbers per Tow,Variance of Numbers,Proportion at Length,Variance of Proportion at Length,
    5,  1.958027E-002,  3.833871E-004,  6.961019E-003,  5.978318E-005,
    6,  2.183792E-002,  4.768946E-004,  7.763638E-003,  8.335744E-005,
    7,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
    8,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
    9,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   10,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   11,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   12,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   13,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   14,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   15,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   16,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   17,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   18,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   19,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   20,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   21,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   22,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   23,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   24,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   25,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   26,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   27,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   28,  1.958027E-002,  3.833871E-004,  6.961019E-003,  5.978318E-005,
   29,  7.832109E-002,  3.656923E-003,  2.784407E-002,  6.434320E-004,
   30,  1.076521E-001,  3.073699E-003,  3.827159E-002,  7.448530E-004,
   31,  1.566422E-001,  3.892853E-003,  5.568815E-002,  1.216966E-003,
   32,  2.445563E-001,  1.181413E-002,  8.694266E-002,  3.418900E-003,
   33,  2.349633E-001,  2.465474E-002,  8.353222E-002,  4.747225E-003,
   34,  2.055534E-001,  1.200957E-002,  7.307668E-002,  2.792913E-003,
   35,  4.111857E-001,  6.502835E-002,  1.461814E-001,  1.321423E-002,
   36,  2.600453E-001,  3.106414E-002,  9.244918E-002,  6.051398E-003,
   37,  2.153042E-001,  3.128720E-002,  7.654317E-002,  5.379837E-003,
   38,  2.741238E-001,  4.541662E-002,  9.745426E-002,  7.960317E-003,
   39,  9.790136E-002,  6.281650E-003,  3.480509E-002,  1.077114E-003,
   40,  1.370619E-001,  7.225372E-003,  4.872713E-002,  1.468248E-003,
   41,  5.874082E-002,  3.450484E-003,  2.088306E-002,  5.380486E-004,
   42,  9.357355E-002,  4.174668E-003,  3.326651E-002,  8.442687E-004,
   43,  9.790136E-002,  6.281650E-003,  3.480509E-002,  1.077114E-003,
   44,  3.916055E-002,  1.533548E-003,  1.392204E-002,  2.391327E-004,
   45,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   46,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   47,  3.916055E-002,  1.533548E-003,  1.392204E-002,  2.391327E-004,

Average Length,   3.528487E+001,
Variance of Average Length,   4.193428E+002,
Std Error of Average Length,   2.047786E+001,

Set # 2

Length,Numbers per Tow,Variance of Numbers,Proportion at Length,Variance of Proportion at Length,
    5,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
    6,  1.958027E-002,  3.833871E-004,  6.659308E-003,  4.973756E-005,
    7,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
    8,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
    9,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   10,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   11,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   12,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   13,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   14,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   15,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   16,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   17,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   18,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   19,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   20,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   21,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   22,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   23,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   24,  1.958027E-002,  3.833871E-004,  6.659308E-003,  4.973756E-005,
   25,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
   26,  1.508601E-002,  2.275877E-004,  5.130796E-003,  3.169449E-005,
   27,  2.183792E-002,  4.768946E-004,  7.427140E-003,  6.715781E-005,
   28,  3.466628E-002,  6.109747E-004,  1.179010E-002,  9.255481E-005,
   29,  1.958027E-002,  3.833871E-004,  6.659308E-003,  4.973756E-005,
   30,  7.808455E-002,  3.806138E-003,  2.655678E-002,  4.336207E-004,
   31,  1.170874E-001,  9.891027E-003,  3.982177E-002,  1.106020E-003,
   32,  3.766596E-001,  3.941985E-002,  1.281030E-001,  5.033774E-003,
   33,  4.688227E-001,  8.480288E-002,  1.594480E-001,  1.031169E-002,
   34,  3.223255E-001,  3.741917E-002,  1.096238E-001,  4.581742E-003,
   35,  2.247395E-001,  1.787437E-002,  7.643456E-002,  2.290346E-003,
   36,  2.630393E-001,  1.495125E-002,  8.946043E-002,  2.183917E-003,
   37,  2.152253E-001,  8.628629E-003,  7.319876E-002,  1.479710E-003,
   38,  2.055534E-001,  8.706540E-003,  6.990933E-002,  1.560706E-003,
