Set,Year,Cruise,Stratum,Tow,Station,Numbers,Weight,Temp,Depth,Latitude,Longitude,
1,2015,201504,01130,001,0270,0.000000E+000,0.000000E+000,1.500000E+001,9.400000E+001,4.071443E+001,-6.742382E+001,
1,2015,201504,01130,002,0231,0.000000E+000,0.000000E+000,1.670000E+001,7.000000E+001,4.098121E+001,-6.878615E+001,
1,2015,201504,01130,003,0271,0.000000E+000,0.000000E+000,1.320000E+001,9.600000E+001,4.080185E+001,-6.720195E+001,
1,2015,201504,01130,004,0263,0.000000E+000,0.000000E+000,2.010000E+001,6.000000E+001,4.092906E+001,-6.789975E+001,
1,2015,201504,01130,005,0249,0.000000E+000,0.000000E+000,1.440000E+001,1.020000E+002,4.031107E+001,-6.866714E+001,
1,2015,201504,01130,006,0256,0.000000E+000,0.000000E+000,2.060000E+001,6.200000E+001,4.061442E+001,-6.865800E+001,
1,2015,201504,01130,007,0266,0.000000E+000,0.000000E+000,1.550000E+001,1.030000E+002,4.058960E+001,-6.734575E+001,
1,2015,201504,01130,008,0255,0.000000E+000,0.000000E+000,1.670000E+001,7.900000E+001,4.067826E+001,-6.819683E+001,
1,2015,201504,01130,009,0254,0.000000E+000,0.000000E+000,1.640000E+001,8.700000E+001,4.064498E+001,-6.805895E+001,
1,2015,201504,01130,010,0264,1.000000E+000,3.000000E-003,1.530000E+001,7.400000E+001,4.072028E+001,-6.776963E+001,
1,2015,201504,01140,001,0269,0.000000E+000,0.000000E+000,1.550000E+001,1.160000E+002,4.059732E+001,-6.727022E+001,
1,2015,201504,01140,002,0250,0.000000E+000,0.000000E+000,1.310000E+001,1.520000E+002,4.019580E+001,-6.865245E+001,
1,2015,201504,01140,003,0265,0.000000E+000,0.000000E+000,1.460000E+001,1.180000E+002,4.054901E+001,-6.759422E+001,
1,2015,201504,01140,004,0251,0.000000E+000,0.000000E+000,1.300000E+001,1.620000E+002,4.026789E+001,-6.835868E+001,
1,2015,201504,01150,002,0252,0.000000E+000,0.000000E+000,1.240000E+001,1.930000E+002,4.035622E+001,-6.783026E+001,
1,2015,201504,01150,003,0253,0.000000E+000,0.000000E+000,-9.990000E+002,3.550000E+002,4.046984E+001,-6.814765E+001,
1,2015,201504,01150,004,0268,0.000000E+000,0.000000E+000,1.300000E+001,2.850000E+002,4.050097E+001,-6.717124E+001,
1,2015,201504,01160,001,0285,1.000000E+000,5.010000E-001,1.550000E+001,6.100000E+001,4.157455E+001,-6.703588E+001,
1,2015,201504,01160,002,0279,3.000000E+000,1.463000E+000,1.380000E+001,6.700000E+001,4.129055E+001,-6.698519E+001,
1,2015,201504,01160,003,0273,1.000000E+000,4.220000E-001,1.330000E+001,7.300000E+001,4.111484E+001,-6.683270E+001,
1,2015,201504,01160,004,0278,2.000000E+000,6.310000E-001,1.080000E+001,9.300000E+001,4.120722E+001,-6.648129E+001,
1,2015,201504,01160,005,0280,1.000000E+001,3.386000E+000,1.210000E+001,7.800000E+001,4.142232E+001,-6.677553E+001,
1,2015,201504,01160,006,0310,1.400000E+001,3.884000E+000,1.120000E+001,8.200000E+001,4.176894E+001,-6.634628E+001,
1,2015,201504,01160,007,0281,8.600000E+001,3.864700E+001,1.460000E+001,7.200000E+001,4.169144E+001,-6.673923E+001,
1,2015,201504,01160,008,0309,0.000000E+000,0.000000E+000,1.060000E+001,9.200000E+001,4.196521E+001,-6.616931E+001,
1,2015,201504,01160,009,0307,2.000000E+000,4.680000E-001,1.180000E+001,7.800000E+001,4.205542E+001,-6.659456E+001,
1,2015,201504,01160,010,0282,3.000000E+000,8.610000E-001,1.340000E+001,7.000000E+001,4.183787E+001,-6.668861E+001,
1,2015,201504,01160,011,0308,5.000000E+000,1.701000E+000,1.160000E+001,8.700000E+001,4.196381E+001,-6.635144E+001,
1,2015,201504,01160,012,0311,1.000000E+000,2.370000E-001,8.600000E+000,1.010000E+002,4.166543E+001,-6.597044E+001,
1,2015,201504,01160,014,0272,4.000000E+000,1.534000E+000,1.270000E+001,7.300000E+001,4.104713E+001,-6.692692E+001,
1,2015,201504,01160,015,0284,3.000000E+000,9.030000E-001,1.390000E+001,6.300000E+001,4.178261E+001,-6.694160E+001,
1,2015,201504,01170,001,0313,0.000000E+000,0.000000E+000,8.600000E+000,1.250000E+002,4.185344E+001,-6.587376E+001,
1,2015,201504,01170,002,0276,0.000000E+000,0.000000E+000,1.320000E+001,1.210000E+002,4.103070E+001,-6.647860E+001,
1,2015,201504,01170,003,0314,0.000000E+000,0.000000E+000,9.100000E+000,1.780000E+002,4.194651E+001,-6.582752E+001,
1,2015,201504,01170,004,0275,0.000000E+000,0.000000E+000,1.320000E+001,1.220000E+002,4.096585E+001,-6.654218E+001,
1,2015,201504,01180,002,0312,0.000000E+000,0.000000E+000,-9.990000E+002,2.690000E+002,4.162520E+001,-6.585693E+001,
1,2015,201504,01180,003,0277,0.000000E+000,0.000000E+000,8.200000E+000,3.370000E+002,4.102153E+001,-6.641564E+001,
1,2015,201504,01180,004,0274,0.000000E+000,0.000000E+000,9.900000E+000,2.710000E+002,4.088234E+001,-6.658252E+001,
1,2015,201504,01180,005,0316,0.000000E+000,0.000000E+000,-9.990000E+002,1.850000E+002,4.200284E+001,-6.588142E+001,
1,2015,201504,01190,001,0290,0.000000E+000,0.000000E+000,1.690000E+001,4.000000E+001,4.151594E+001,-6.784014E+001,
1,2015,201504,01190,002,0298,1.000000E+000,5.780000E-001,1.580000E+001,4.800000E+001,4.185260E+001,-6.730836E+001,
1,2015,201504,01190,004,0286,0.000000E+000,0.000000E+000,1.640000E+001,5.100000E+001,4.165912E+001,-6.736783E+001,
1,2015,201504,01190,005,0259,0.000000E+000,0.000000E+000,1.840000E+001,5.200000E+001,4.088564E+001,-6.824366E+001,
1,2015,201504,01190,006,0258,0.000000E+000,0.000000E+000,1.800000E+001,5.800000E+001,4.080812E+001,-6.833661E+001,
1,2015,201504,01190,007,0262,0.000000E+000,0.000000E+000,1.630000E+001,5.100000E+001,4.111135E+001,-6.787079E+001,
1,2015,201504,01190,008,0257,0.000000E+000,0.000000E+000,1.730000E+001,5.900000E+001,4.083331E+001,-6.855048E+001,
1,2015,201504,01190,009,0299,0.000000E+000,0.000000E+000,1.550000E+001,5.200000E+001,4.190643E+001,-6.727183E+001,
1,2015,201504,01190,010,0261,1.000000E+000,4.520000E-001,1.650000E+001,4.800000E+001,4.121342E+001,-6.797455E+001,
1,2015,201504,01200,001,0289,0.000000E+000,0.000000E+000,1.650000E+001,4.300000E+001,4.171511E+001,-6.768279E+001,
1,2015,201504,01200,002,0291,0.000000E+000,0.000000E+000,1.670000E+001,4.000000E+001,4.161722E+001,-6.806960E+001,
1,2015,201504,01200,003,0300,0.000000E+000,0.000000E+000,1.510000E+001,5.300000E+001,4.203699E+001,-6.716807E+001,
1,2015,201504,01200,006,0297,0.000000E+000,0.000000E+000,1.570000E+001,4.700000E+001,4.196423E+001,-6.758743E+001,
1,2015,201504,01200,007,0295,0.000000E+000,0.000000E+000,-9.990000E+002,5.900000E+001,4.193352E+001,-6.781801E+001,
1,2015,201504,01200,008,0288,0.000000E+000,0.000000E+000,1.580000E+001,5.000000E+001,4.181306E+001,-6.758582E+001,
1,2015,201504,01210,001,0303,1.000000E+001,3.246000E+000,9.900000E+000,6.600000E+001,4.211241E+001,-6.694667E+001,
1,2015,201504,01210,002,0301,0.000000E+000,0.000000E+000,9.500000E+000,9.000000E+001,4.213067E+001,-6.728475E+001,
1,2015,201504,01210,003,0306,0.000000E+000,0.000000E+000,1.000000E+001,8.500000E+001,4.208841E+001,-6.653061E+001,
1,2015,201504,01210,004,0296,0.000000E+000,0.000000E+000,7.400000E+000,1.660000E+002,4.204747E+001,-6.771460E+001,
2,2016,201604,01130,001,0263,0.000000E+000,0.000000E+000,1.580000E+001,7.400000E+001,4.097718E+001,-6.744660E+001,
2,2016,201604,01130,002,0265,0.000000E+000,0.000000E+000,1.680000E+001,6.700000E+001,4.084861E+001,-6.788862E+001,
2,2016,201604,01130,003,0264,0.000000E+000,0.000000E+000,1.720000E+001,7.100000E+001,4.094578E+001,-6.756987E+001,
2,2016,201604,01130,004,0269,1.000000E+000,1.640000E-001,1.520000E+001,1.040000E+002,4.043058E+001,-6.839215E+001,
2,2016,201604,01130,005,0232,0.000000E+000,0.000000E+000,1.640000E+001,6.400000E+001,4.064929E+001,-6.865385E+001,
2,2016,201604,01130,006,0266,0.000000E+000,0.000000E+000,1.640000E+001,7.900000E+001,4.067759E+001,-6.780529E+001,
2,2016,201604,01130,007,0268,0.000000E+000,0.000000E+000,1.660000E+001,9.500000E+001,4.050528E+001,-6.840632E+001,
2,2016,201604,01130,008,0231,0.000000E+000,0.000000E+000,1.550000E+001,1.000000E+002,4.037866E+001,-6.850048E+001,
2,2016,201604,01130,010,0274,0.000000E+000,0.000000E+000,1.320000E+001,9.500000E+001,4.082984E+001,-6.712394E+001,
2,2016,201604,01130,011,0267,0.000000E+000,0.000000E+000,1.680000E+001,7.500000E+001,4.074954E+001,-6.806713E+001,
2,2016,201604,01140,001,0273,0.000000E+000,0.000000E+000,-9.990000E+002,1.440000E+002,4.048275E+001,-6.760197E+001,
2,2016,201604,01140,002,0270,0.000000E+000,0.000000E+000,1.450000E+001,1.380000E+002,4.036173E+001,-6.828750E+001,
2,2016,201604,01140,003,0229,2.000000E+000,3.230000E-001,1.430000E+001,1.600000E+002,4.016151E+001,-6.873417E+001,
2,2016,201604,01140,004,0230,0.000000E+000,0.000000E+000,1.410000E+001,1.500000E+002,4.026845E+001,-6.849532E+001,
