Set,Year,Cruise,Stratum,Mean Numbers,Variance of Mean,Std Err Mean,CV Mean,Samp Variance,Est Pop,Var Pop Estim,
1,2015,201504,01130,    0.100000,  1.000000E-002,  1.000000E-001,      100.00000,  1.000000E-001,  2.374000E+004,  5.635876E+008,
1,2015,201504,01140,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01150,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01160,    9.642857,  3.554513E+001,  5.961974E+000,       61.82788,  4.976319E+002,  2.873571E+006,  3.156550E+012,
1,2015,201504,01170,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01180,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01190,    0.222222,  2.160494E-002,  1.469862E-001,       66.14378,  1.944444E-001,  5.453333E+004,  1.301074E+009,
1,2015,201504,01200,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01210,    2.500000,  6.250000E+000,  2.500000E+000,      100.00000,  2.500000E+001,  1.060000E+005,  1.123600E+010,
2,2016,201604,01130,    0.100000,  1.000000E-002,  1.000000E-001,      100.00000,  1.000000E-001,  2.374000E+004,  5.635876E+008,
2,2016,201604,01140,    0.500000,  2.500000E-001,  5.000000E-001,      100.00000,  1.000000E+000,  3.280000E+004,  1.075840E+009,
2,2016,201604,01150,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
2,2016,201604,01160,    6.357143,  5.523155E+000,  2.350139E+000,       36.96849,  7.732418E+001,  1.894429E+006,  4.904783E+011,
2,2016,201604,01170,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
2,2016,201604,01180,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
2,2016,201604,01190,    0.111111,  1.234568E-002,  1.111111E-001,      100.00000,  1.111111E-001,  2.726667E+004,  7.434711E+008,
2,2016,201604,01200,    0.166667,  2.777778E-002,  1.666667E-001,      100.00000,  1.666667E-001,  2.035000E+004,  4.141225E+008,
2,2016,201604,01210,   28.250000,  7.430625E+002,  2.725917E+001,       96.49265,  2.972250E+003,  1.197800E+006,  1.335848E+012,
3,2017,201704,01130,    0.100000,  1.000000E-002,  1.000000E-001,      100.00000,  1.000000E-001,  2.374000E+004,  5.635876E+008,
3,2017,201704,01140,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01150,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01160,    3.400000,  1.871111E+000,  1.367886E+000,       40.23193,  1.871111E+001,  1.013200E+006,  1.661622E+011,
3,2017,201704,01170,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01180,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01190,    1.200000,  6.400000E-001,  8.000000E-001,       66.66667,  3.200000E+000,  2.944800E+005,  3.854154E+010,
3,2017,201704,01200,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01210,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
