Set,Year,Cruise,Stratum,Mean Weight,Variance of Mean,Std Err Mean,CV Mean,Samp Variance,Est Pop,Var Pop Estim,
1,2015,201504,01130,    0.000300,  9.000000E-008,  3.000000E-004,      100.00000,  9.000000E-007,  7.122000E+001,  5.072288E+003,
1,2015,201504,01140,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01150,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01160,    3.902714,  7.235993E+000,  2.689980E+000,       68.92588,  1.013039E+002,  1.163009E+006,  6.425851E+011,
1,2015,201504,01170,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01180,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01190,    0.114444,  5.840420E-003,  7.642264E-002,       66.77706,  5.256378E-002,  2.808467E+004,  3.517169E+008,
1,2015,201504,01200,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
1,2015,201504,01210,    0.811500,  6.585323E-001,  8.115000E-001,      100.00000,  2.634129E+000,  3.440760E+004,  1.183883E+009,
2,2016,201604,01130,    0.016400,  2.689600E-004,  1.640000E-002,      100.00000,  2.689600E-003,  3.893360E+003,  1.515825E+007,
2,2016,201604,01140,    0.080750,  6.520563E-003,  8.075000E-002,      100.00000,  2.608225E-002,  5.297200E+003,  2.806033E+007,
2,2016,201604,01150,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
2,2016,201604,01160,    2.595857,  9.240023E-001,  9.612504E-001,       37.03017,  1.293603E+001,  7.735654E+005,  8.205510E+010,
2,2016,201604,01170,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
2,2016,201604,01180,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
2,2016,201604,01190,    0.032333,  1.045444E-003,  3.233333E-002,      100.00000,  9.409000E-003,  7.934600E+003,  6.295788E+007,
2,2016,201604,01200,    0.063333,  4.011111E-003,  6.333333E-002,      100.00000,  2.406667E-002,  7.733000E+003,  5.979929E+007,
2,2016,201604,01210,    8.188000,  6.257566E+001,  7.910478E+000,       96.61063,  2.503027E+002,  3.471712E+005,  1.124960E+011,
3,2017,201704,01130,    0.000700,  4.900000E-007,  7.000000E-004,      100.00000,  4.900000E-006,  1.661800E+002,  2.761579E+004,
3,2017,201704,01140,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01150,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01160,    1.222200,  2.616009E-001,  5.114694E-001,       41.84826,  2.616009E+000,  3.642156E+005,  2.323121E+010,
3,2017,201704,01170,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01180,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01190,    0.598200,  2.414172E-001,  4.913423E-001,       82.13679,  1.207086E+000,  1.467983E+005,  1.453843E+010,
3,2017,201704,01200,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
3,2017,201704,01210,    0.000000,  0.000000E+000,  0.000000E+000,        0.00000,  0.000000E+000,  0.000000E+000,  0.000000E+000,
