Cruise    Strata    Tow      Station    SPP       SEX       EXPFAC          CATCHWT      CATCHNUM      LENGTH          NUMLEN
201504    01130     010       0264      105       0         1              0.003          1              6              1              
201504    01160     001       0285      105       0         1              0.501          1              36             1              
201504    01160     002       0279      105       0         1              1.463          3              32             1              
201504    01160     002       0279      105       0         1              1.463          3              40             2              
201504    01160     003       0273      105       0         1              0.422          1              38             1              
201504    01160     004       0278      105       0         1              0.631          2              35             1              
201504    01160     004       0278      105       0         1              0.631          2              32             1              
201504    01160     005       0280      105       0         1              3.386          10             33             2              
201504    01160     005       0280      105       0         1              3.386          10             34             1              
201504    01160     005       0280      105       0         1              3.386          10             36             1              
201504    01160     005       0280      105       0         1              3.386          10             39             1              
201504    01160     005       0280      105       0         1              3.386          10             5              1              
201504    01160     005       0280      105       0         1              3.386          10             38             1              
201504    01160     005       0280      105       0         1              3.386          10             35             3              
201504    01160     006       0310      105       0         1              3.884          14             28             1              
201504    01160     006       0310      105       0         1              3.884          14             33             1              
201504    01160     006       0310      105       0         1              3.884          14             29             3              
201504    01160     006       0310      105       0         1              3.884          14             40             1              
201504    01160     006       0310      105       0         1              3.884          14             34             3              
201504    01160     006       0310      105       0         1              3.884          14             31             3              
201504    01160     006       0310      105       0         1              3.884          14             30             2              
201504    01160     007       0281      105       0         1              38.647         86             31             1              
201504    01160     007       0281      105       0         1              38.647         86             29             1              
201504    01160     007       0281      105       0         1              38.647         86             40             4              
201504    01160     007       0281      105       0         1              38.647         86             39             4              
201504    01160     007       0281      105       0         1              38.647         86             30             2              
201504    01160     007       0281      105       0         1              38.647         86             35             13             
201504    01160     007       0281      105       0         1              38.647         86             43             4              
201504    01160     007       0281      105       0         1              38.647         86             42             3              
201504    01160     007       0281      105       0         1              38.647         86             33             8              
201504    01160     007       0281      105       0         1              38.647         86             44             2              
201504    01160     007       0281      105       0         1              38.647         86             47             2              
201504    01160     007       0281      105       0         1              38.647         86             38             11             
201504    01160     007       0281      105       0         1              38.647         86             36             9              
201504    01160     007       0281      105       0         1              38.647         86             32             5              
201504    01160     007       0281      105       0         1              38.647         86             37             9              
201504    01160     007       0281      105       0         1              38.647         86             41             3              
201504    01160     007       0281      105       0         1              38.647         86             34             5              
201504    01160     009       0307      105       0         1              0.468          2              32             1              
201504    01160     009       0307      105       0         1              0.468          2              30             1              
201504    01160     010       0282      105       0         1              0.861          3              32             1              
201504    01160     010       0282      105       0         1              0.861          3              31             1              
201504    01160     010       0282      105       0         1              0.861          3              37             1              
201504    01160     011       0308      105       0         1              1.701          5              35             3              
201504    01160     011       0308      105       0         1              1.701          5              32             1              
201504    01160     011       0308      105       0         1              1.701          5              38             1              
201504    01160     012       0311      105       0         1              0.237          1              31             1              
201504    01160     014       0272      105       0         1              1.534          4              43             1              
201504    01160     014       0272      105       0         1              1.534          4              31             1              
201504    01160     014       0272      105       0         1              1.534          4              34             1              
201504    01160     014       0272      105       0         1              1.534          4              36             1              
201504    01160     015       0284      105       0         1              0.903          3              33             1              
201504    01160     015       0284      105       0         1              0.903          3              35             1              
201504    01160     015       0284      105       0         1              0.903          3              31             1              
201504    01190     002       0298      105       0         1              0.578          1              42             1              
201504    01190     010       0261      105       0         1              0.452          1              36             1              
201504    01210     001       0303      105       0         1              3.246          10             32             5              
201504    01210     001       0303      105       0         1              3.246          10             30             1              
201504    01210     001       0303      105       0         1              3.246          10             34             1              
201504    01210     001       0303      105       0         1              3.246          10             37             2              
201504    01210     001       0303      105       0         1              3.246          10             42             1              
201604    01130     004       0269      105       0         1              0.164          1              27             1              
201604    01140     003       0229      105       0         1              0.323          2              28             1              
201604    01140     003       0229      105       0         1              0.323          2              26             1              
201604    01160     002       0285      105       0         1              0.362          1              34             1              
201604    01160     004       0287      105       0         1              0.811          3              32             2              
201604    01160     004       0287      105       0         1              0.811          3              36             1              
201604    01160     005       0292      105       0         1              10.582         28             33             5              
201604    01160     005       0292      105       0         1              10.582         28             39             2              
201604    01160     005       0292      105       0         1              10.582         28             35             4              
201604    01160     005       0292      105       0         1              10.582         28             6              1              
201604    01160     005       0292      105       0         1              10.582         28             38             4              
201604    01160     005       0292      105       0         1              10.582         28             28             1              
201604    01160     005       0292      105       0         1              10.582         28             37             3              
201604    01160     005       0292      105       0         1              10.582         28             43             1              
201604    01160     005       0292      105       0         1              10.582         28             40             1              
201604    01160     005       0292      105       0         1              10.582         28             41             1              
201604    01160     005       0292      105       0         1              10.582         28             36             1              
201604    01160     005       0292      105       0         1              10.582         28             32             1              
201604    01160     005       0292      105       0         1              10.582         28             30             1              
201604    01160     005       0292      105       0         1              10.582         28             34             2              
201604    01160     006       0294      105       0         1              4.703          10             41             1              
