Cruise    Strata    Tow      Station    SHG       SV        SG        Year     Month      Day       Time      DistB     DistW    Depth      Area      Temp      Lat       Lon
201504    01130     001       0270      111       HB        10        2015      10        10        1724      1.0170    0         94        525       15        40.714433  -67.423818  
201504    01130     002       0231      123       HB        10        2015      09        28        1704      0.9640    0         70        525       16.70     40.981215  -68.786152  
201504    01130     003       0271      111       HB        10        2015      10        10        1930      0.9830    0         96        525       13.20     40.801847  -67.201947  
201504    01130     004       0263      111       HB        10        2015      10        09        1859      1.0010    0         60        525       20.10     40.929060  -67.899753  
201504    01130     005       0249      111       HB        10        2015      10        08        0443      1.0060    0         102       525       14.40     40.311067  -68.667137  
201504    01130     006       0256      111       HB        10        2015      10        09        0234      0.9670    0         62        525       20.60     40.614420  -68.658000  
201504    01130     007       0266      111       HB        10        2015      10        10        0842      1.0060    0         103       525       15.50     40.589605  -67.345755  
201504    01130     008       0255      111       HB        10        2015      10        08        2345      1.0050    0         79        525       16.70     40.678262  -68.196828  
201504    01130     009       0254      111       HB        10        2015      10        08        2213      0.9790    0         87        525       16.40     40.644977  -68.058947  
201504    01130     010       0264      111       HB        10        2015      10        09        2327      0.9670    0         74        525       15.30     40.720285  -67.769635  
201504    01140     001       0269      111       HB        10        2015      10        10        1503      1.0120    0         116       525       15.50     40.597318  -67.270220  
201504    01140     002       0250      111       HB        10        2015      10        08        0654      0.9730    0         152       525       13.10     40.195803  -68.652445  
201504    01140     003       0265      111       HB        10        2015      10        10        0532      0.9870    0         118       525       14.60     40.549015  -67.594220  
201504    01140     004       0251      111       HB        10        2015      10        08        1153      1.0050    0         162       525       13        40.267893  -68.358680  
201504    01150     002       0252      111       HB        10        2015      10        08        1552      1.0120    0         193       525       12.40     40.356220  -67.830260  
201504    01150     003       0253      111       HB        10        2015      10        08        1938      0.9690    0         355       525       -999         40.469840  -68.147652  
201504    01150     004       0268      136       HB        10        2015      10        10        1203      0.9820    0         285       525       13        40.500973  -67.171245  
201504    01160     001       0285      111       HB        10        2015      10        12        0437      1.0260    0         61        562       15.50     41.574548  -67.035880  
201504    01160     002       0279      111       HB        10        2015      10        11        1503      1.0370    0         67        562       13.80     41.290545  -66.985187  
201504    01160     003       0273      111       HB        10        2015      10        10        2330      1.0130    0         73        562       13.30     41.114838  -66.832703  
201504    01160     004       0278      111       HB        10        2015      10        11        1139      0.9990    0         93        562       10.80     41.207222  -66.481293  
201504    01160     005       0280      111       HB        10        2015      10        11        1708      1.0370    0         78        562       12.10     41.422323  -66.775528  
201504    01160     006       0310      111       HB        10        2015      10        14        2241      0.9670    0         82        552       11.20     41.768937  -66.346280  
201504    01160     007       0281      111       HB        10        2015      10        11        2034      1.0110    0         72        552       14.60     41.691437  -66.739230  
201504    01160     008       0309      111       HB        10        2015      10        14        1907      0.9990    0         92        551       10.60     41.965213  -66.169310  
201504    01160     009       0307      111       HB        10        2015      10        14        1420      0.9550    0         78        551       11.80     42.055415  -66.594555  
201504    01160     010       0282      111       HB        10        2015      10        11        2234      0.9880    0         70        551       13.40     41.837868  -66.688610  
201504    01160     011       0308      111       HB        10        2015      10        14        1700      1.0090    0         87        551       11.60     41.963810  -66.351445  
201504    01160     012       0311      111       HB        10        2015      10        15        0126      0.9970    0         101       552       8.60      41.665427  -65.970437  
201504    01160     014       0272      111       HB        10        2015      10        10        2207      0.9560    0         73        562       12.70     41.047135  -66.926920  
201504    01160     015       0284      111       HB        10        2015      10        12        0209      0.9660    0         63        562       13.90     41.782608  -66.941597  
201504    01170     001       0313      111       HB        10        2015      10        15        0712      1.0050    0         125       551       8.60      41.853437  -65.873763  
201504    01170     002       0276      111       HB        10        2015      10        11        0657      1.0070    0         121       562       13.20     41.030700  -66.478603  
201504    01170     003       0314      111       HB        10        2015      10        15        0915      0.99      0         178       551       9.10      41.946510  -65.827522  
201504    01170     004       0275      111       HB        10        2015      10        11        0445      1.0380    0         122       562       13.20     40.965848  -66.542178  
201504    01180     002       0312      111       HB        10        2015      10        15        0446      1.0060    0         269       552       -999         41.625202  -65.856925  
201504    01180     003       0277      111       HB        10        2015      10        11        0937      1         0         337       562       8.20      41.021533  -66.415637  
201504    01180     004       0274      111       HB        10        2015      10        11        0256      1.0020    0         271       562       9.90      40.882343  -66.582523  
201504    01180     005       0316      111       HB        10        2015      10        15        1308      0.9710    0         185       551       -999         42.002843  -65.881420  
201504    01190     001       0290      111       HB        10        2015      10        12        1701      0.98      0         40        522       16.90     41.515943  -67.840140  
201504    01190     002       0298      111       HB        10        2015      10        13        1529      1.0230    0         48        561       15.80     41.852605  -67.308365  
201504    01190     004       0286      111       HB        10        2015      10        12        0725      0.9570    0         51        562       16.40     41.659122  -67.367832  
201504    01190     005       0259      111       HB        10        2015      10        09        0859      1.0140    0         52        525       18.40     40.885640  -68.243657  
201504    01190     006       0258      111       HB        10        2015      10        09        0712      0.9990    0         58        525       18        40.808120  -68.336613  
201504    01190     007       0262      111       HB        10        2015      10        09        1656      0.9910    0         51        525       16.30     41.111352  -67.870792  
201504    01190     008       0257      111       HB        10        2015      10        09        0514      0.9930    0         59        525       17.30     40.833310  -68.550478  
201504    01190     009       0299      111       HB        10        2015      10        13        1837      0.99      0         52        561       15.50     41.906433  -67.271832  
201504    01190     010       0261      111       HB        10        2015      10        09        1413      1.0290    0         48        525       16.50     41.213422  -67.974552  
201504    01200     001       0289      111       HB        10        2015      10        12        1250      0.9550    0         43        522       16.50     41.715112  -67.682788  
201504    01200     002       0291      111       HB        10        2015      10        12        2102      0.9680    0         40        522       16.70     41.617223  -68.069605  
201504    01200     003       0300      111       HB        10        2015      10        13        2319      0.96      0         53        561       15.10     42.036992  -67.168073  
201504    01200     006       0297      111       HB        10        2015      10        13        1244      0.9950    0         47        561       15.70     41.964227  -67.587433  
201504    01200     007       0295      111       HB        10        2015      10        13        0720      0.9740    0         59        522       -999         41.933522  -67.818010  
201504    01200     008       0288      121       HB        10        2015      10        12        1057      0.9620    0         50        562       15.80     41.813058  -67.585817  
201504    01210     001       0303      111       HB        10        2015      10        14        0600      1.0950    0         66        551       9.90      42.112410  -66.946673  
